編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKLQHKGFDN98CB,三條段,62.35,都市：住,100000,1423,持分移轉,07580000
RPQNMLOLQHKGFAN56CB,延平段,22.04,都市：住,10000,76,持分移轉,09790000
RPPNMLOLQHKGFAN09CB,延平段,22.62,都市：住,10000,78,持分移轉,09790000
RPSNMLSLQHKGFAN17CB,金興段,99.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,268,持分移轉,00270000
RPSNMLOLQHKGFAN76CB,延平段,22.04,都市：住,10000,76,持分移轉,09790000
RPRNMLOLQHKGFAN66CB,延平段,17.11,都市：住,10000,59,持分移轉,09790000
RPTNMLSLQHKGFAN27CB,金興段,116.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,313,持分移轉,00270000
RPPNMLSLQHKGFAN86CB,牛稠子段下廍小段,26.41,都市：住,100000,690,持分移轉,00420001
RPPNMLRLQHKGFHN47CB,梧鳳段,72.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5563,持分移轉,07620000
RPPNMLRLQHKGFHN47CB,梧鳳段,11.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,4410,102,持分移轉,07610000
RPPNMLRLQHKGFHN47CB,梧鳳段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,264600,683,持分移轉,07550000
RPPNMLRLQHKGFEN17CB,社張段,94.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04660015
RPPNMLRLQHKGFEN17CB,社張段,17.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,32000,1778,持分移轉,04660000
RPPNMLRLQHKGFEN17CB,社張段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,500,27,持分移轉,04660006
RPRNMLKMQHKGFCN56CB,鹿福段,1.39,都市：住,100000,1149,持分移轉,09610000
RPRNMLKMQHKGFCN56CB,鹿福段,1.56,都市：住,100000,1149,持分移轉,09620000
RPRNMLKMQHKGFCN56CB,鹿福段,4.02,都市：住,100000,1149,持分移轉,09630000
RPRNMLKMQHKGFCN56CB,鹿福段,4.10,都市：住,100000,1149,持分移轉,09640000
RPRNMLKMQHKGFCN56CB,鹿福段,3.75,都市：住,100000,1149,持分移轉,09650000
RPRNMLKMQHKGFCN56CB,鹿福段,.75,都市：住,100000,1149,持分移轉,09660000
RPRNMLKMQHKGFCN56CB,鹿福段,6.24,都市：住,100000,1149,持分移轉,09670000
RPRNMLKMQHKGFCN56CB,鹿福段,.86,都市：住,100000,1149,持分移轉,09680000
RPRNMLKMQHKGFCN56CB,鹿福段,.28,都市：住,100000,1149,持分移轉,09730000
RPPNMLNJRHKGFEN66CB,中山段,21.51,都市：住,10000,201,持分移轉,14700000
RPPNMLNJRHKGFEN66CB,中山段,21.64,都市：住,10000,201,持分移轉,14710000
RPPNMLMJRHKGFDN09CB,橋愛段,27.04,都市：住,100000,1004,持分移轉,13040000
RPPNMLLMQHKGFEN66CB,新社段,27.57,都市：住,100000,1995,持分移轉,09050017
RPPNMLLMQHKGFEN66CB,新社段,.72,都市：住,64,1,持分移轉,09050016
RPPNMLLMQHKGFEN66CB,新社段,12.31,都市：住,64,1,持分移轉,09050018
RPQNMLNJRHKGFEN76CB,中山段,21.51,都市：住,10000,201,持分移轉,14700000
RPQNMLNJRHKGFEN76CB,中山段,21.64,都市：住,10000,201,持分移轉,14710000
RPQNMLRLQHKGFFN37CB,大松段,28.42,都市：商,1000000,19955,持分移轉,01780000
RPPNMLLLQHKGFEN56CB,高鐵社頭段,105.75,都市：住,1,1,全筆移轉,02560007
RPPNMLLLQHKGFEN56CB,高鐵社頭段,.47,都市：住,38,1,持分移轉,02560004
RPQNMLNJRHKGFFN86CB,新豐段,21.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3025,持分移轉,06290001
RPQNMLNJRHKGFFN86CB,新豐段,46.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6069,持分移轉,06300000
RPQNMLNJRHKGFAN98CB,西門口段,35.62,都市：住,1000000,18416,持分移轉,05120001
RPPNMLRLQHKGFFN27CB,大松段,28.42,都市：商,1000000,19955,持分移轉,01780000
RPPNMLNJRHKGFFN76CB,新豐段,21.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3025,持分移轉,06290001
RPPNMLNJRHKGFFN76CB,新豐段,78.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,10130,持分移轉,06300000
RPPNMLMLQHKGFFN76CB,復興段,26.98,都市：住,20,1,持分移轉,11650000
RPPNMLOJRHKGFAN98CB,中山段,21.86,都市：住,100000,1878,持分移轉,09090000
RPPNMLOJRHKGFAN98CB,中山段,1.30,都市：住,100000,1878,持分移轉,09100000
RPQNMLLJRHKGFCN98CB,振興段,27.79,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,341,持分移轉,18120000
RPQNMLLJRHKGFCN98CB,振興段,2.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,341,持分移轉,18120001
RPPNMLOJRHKGFFN86CB,大新段,84.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08790000
RPPNMLOJRHKGFFN86CB,大新段,18.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,08790009
RPPNMLOJRHKGFFN86CB,大新段,3.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08790013
RPPNMLOJRHKGFFN86CB,大新段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,08790011
RPPNMLOJRHKGFFN86CB,大新段,.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,08790012
RPPNMLOJRHKGFFN86CB,大新段,1.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,08790014
RPPNMLPJRHKGFAN09CB,花壇段,109.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,543,持分移轉,04270000
RPQNMLOJRHKGFAN09CB,中山段,18.31,都市：住,100000,1573,持分移轉,09090000
RPQNMLOJRHKGFAN09CB,中山段,1.09,都市：住,100000,1573,持分移轉,09100000
RPPNMLSJRHKGFHN47CB,東門段,84.87,都市：住,108400,8487,持分移轉,12720001
RPRNMLSJRHKGFHN67CB,東門段,80.25,都市：住,108400,8025,持分移轉,12720001
RPQNMLSJRHKGFHN57CB,東門段,88.05,都市：住,108400,8805,持分移轉,12720001
RPPNMLTJRHKGFAN86CB,金興段,93.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,252,持分移轉,00270000
RPRNMLQJRHKGFFN27CB,螺青段,79.00,都市：住,1,1,全筆移轉,09840002
RPRNMLQJRHKGFFN27CB,螺青段,6.00,都市：住,3,1,持分移轉,09840000
RPRNMLQJRHKGFFN27CB,螺青段,26.90,都市：其他:計畫道路,100000,2969,持分移轉,09820000
RPQNMLQJRHKGFFN17CB,螺青段,78.00,都市：住,1,1,全筆移轉,09840001
RPQNMLQJRHKGFFN17CB,螺青段,6.00,都市：住,3,1,持分移轉,09840000
RPQNMLQJRHKGFFN17CB,螺青段,26.90,都市：其他:計畫道路,100000,2969,持分移轉,09820000
RPPNMLKKRHKGFCN88CB,振興段,17.52,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,215,持分移轉,18120000
RPPNMLKKRHKGFCN88CB,振興段,1.47,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,215,持分移轉,18120001
RPPNMLQJRHKGFFN07CB,螺青段,54.00,都市：住,1,1,全筆移轉,09840009
RPPNMLQJRHKGFFN07CB,螺青段,26.90,都市：其他:計畫道路,100000,2969,持分移轉,09820000
RPQNMLKKRHKGFCN98CB,振興段,27.71,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,340,持分移轉,18120000
RPQNMLKKRHKGFCN98CB,振興段,2.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,340,持分移轉,18120001
RPQNMLKKRHKGFDN09CB,新西東段,15.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1661,持分移轉,10130000
RPQNMLKKRHKGFDN09CB,新西東段,7.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1661,持分移轉,10140000
RPQNMLKKRHKGFDN09CB,新西東段,6.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1661,持分移轉,10150000
RPPNMLKKRHKGFDN98CB,復興段,34.90,都市：住,100000,8156,持分移轉,13030001
