編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKLQHKGFBN98CC,坡道平面,0,32.07,地下一樓
RPPNMLMKRHKGFAN98CC,坡道平面,2300,26.45,地下二樓
RPPNMLNLRHKGFDN86CC,坡道平面,200,29.88,地下一樓
RPXNMLPLRHKGFAN57CC,坡道平面,0,29.19,地下二樓
RPPNMLQLRHKGFAN86CC,一樓平面,1000,6.61,一樓
RPPNMLLJRHKGFGN76CC,其他,0,,一樓
RPPNMLLLQHKGFGN86CC,一樓平面,0,,一樓
RPPNMLMJIIKGFAN08CC,坡道平面,0,16.52,地下一樓
RPPNMLSJIIKGFEN09CC,一樓平面,0,,一樓
RPPNMLKLIIKGFDN38CC,坡道平面,0,28.73,地下三樓
RPPNMLRLIIKGFGN76CC,一樓平面,0,,一樓
RPQNMLSLIIKGFBN09CC,升降機械,0,6.90,地下一樓
RPPNMLPJJIKGFAN48CC,一樓平面,1800,9.88,一樓
RPQNMLOJJIKGFAN48CC,坡道平面,0,28.95,地下三樓
RPQNMLQJJIKGFAN68CC,坡道平面,0,36.41,地下二樓
RPRNMLOLJIKGFAN78CC,坡道機械,0,15.78,地下二樓
