編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLLJKIKGFAO28DA,,19.00,住家用,土造,,一層,一層,持分移轉
RPRNMLKKJIKGFAO28DA,41,5.65,見使用執照,鋼筋混凝土造,73年9月12日,五層,地下層 見其他登記事項,持分移轉
RPRNMLKKJIKGFAO28DA,41,74.96,住家用,鋼筋混凝土造,73年9月12日,五層,五層 陽台,全筆移轉
RPRNMLKKJIKGFAO28DA,41,7.77,共有部分,鋼筋混凝土造,73年9月12日,五層,,持分移轉
RPVNMLMKJIKGFAO88DA,47,57.38,住家用,鋼筋混凝土造,68年4月10日,三層,一層 二層 三層,持分移轉
RPPNMLRKJIKGFAO78DA,29,62.82,住家用,鋼筋混凝土造,86年1月31日,十二層,七層 陽台,全筆移轉
RPPNMLRKJIKGFAO78DA,29,17.66,共有部分,鋼筋混凝土造,86年1月31日,十二層,,持分移轉
RPPNMLMKJIKGFAO38EA,18,.22,守衛室,鋼筋混凝土造,96年12月6日,一層,一層 雨遮,持分移轉
RPPNMLMKJIKGFAO38EA,18,111.23,辦公室,鋼筋混凝土造,96年12月6日,十三層,一層 陽台,全筆移轉
RPPNMLMKJIKGFAO38EA,18,15.84,梯間、水箱、昇降梯房,鋼筋混凝土造,96年12月6日,十三層,,持分移轉
RPPNMLMKJIKGFAO38EA,18,46.97,防空避難室兼停車空間、開放空間、公共服務空間,鋼筋混凝土造,96年12月6日,十三層,,持分移轉
RPPNMLMKJIKGFAO38EA,18,23.85,防空避難室兼停車空間、開放空間、公共服務空間,鋼筋混凝土造,96年12月6日,十三層,,持分移轉
RPOPMLKKJIKGFAO18DA,28,25.76,住家用,鋼筋混凝土造,87年3月18日,四層,四層 陽台,全筆移轉
RPOPMLKKJIKGFAO18DA,28,6.45,共有部分,鋼筋混凝土造,87年3月18日,四層,,持分移轉
