編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKQHKGFAO86CB,香村段,212.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100054
RPPNMLSKQHKGFAO86CB,香村段,29.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10,1,持分移轉,03100053
RPPNMLPLQHKGFAO66CB,香村段,181.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100038
RPPNMLSKQHKGFAO86CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLSKQHKGFAO86CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPRNMLKLQHKGFAO98CB,中央段,13.02,都市：商,100000,501,持分移轉,15830000
RPPNMLPLQHKGFAO66CB,香村段,31.12,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10,1,持分移轉,03100040
RPPNMLSKQHKGFAO86CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLPLQHKGFAO66CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLSKQHKGFAO86CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPPNMLPLQHKGFAO66CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPNMLPLQHKGFAO66CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLPLQHKGFAO66CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPPNMLPLQHKGFAO66CB,香村段,32.78,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100039
RPPNMLTJRHKGFAO96CB,虎山段,24.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,540,持分移轉,05360000
RPRNMLOKQHKGFAO66CB,香村段,181.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100009
RPRNMLOKQHKGFAO66CB,香村段,35.95,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,03100006
RPRNMLOKQHKGFAO66CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPRNMLOKQHKGFAO66CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPRNMLOKQHKGFAO66CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPRNMLOKQHKGFAO66CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPQNMLLJRHKGFAO88CB,中雅段,42.70,都市：住,10000,181,持分移轉,00860000
RPPNMLSJRHKGFAO86CB,香村段,181.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100051
RPPNMLSJRHKGFAO86CB,香村段,29.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10,1,持分移轉,03100053
RPPNMLSJRHKGFAO86CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLSJRHKGFAO86CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPNMLSJRHKGFAO86CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLSJRHKGFAO86CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPPNMLSJRHKGFAO86CB,香村段,32.78,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100052
RPPNMLKKRHKGFAO78CB,水源段,31.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6749,持分移轉,03700000
RPPNMLKKRHKGFAO78CB,水源段,1.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6749,持分移轉,03700001
RPPNMLMKRHKGFAO98CB,樹下段,26.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8288,持分移轉,01220001
RPPNMLOJRHKGFAO09CB,湖港段,29.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5365,持分移轉,08220000
RPPNMLQLQHKGFAO76CB,光武段,14.04,都市：商,100000,403,持分移轉,10150000
RPSNMLKLQHKGFAO09CB,中央段,13.12,都市：商,100000,505,持分移轉,15830000
RPQNMLKKRHKGFAO88CB,育賢段,49.90,都市：住,100000,1487,持分移轉,00140002
RPRNMLPKRHKGFAO86CB,樹下段,26.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8378,持分移轉,01220001
RPPNMLPKRHKGFAO66CB,香村段,141.19,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100017
RPPNMLPKRHKGFAO66CB,香村段,26.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,8,1,持分移轉,03100015
RPPNMLPKRHKGFAO66CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLPKRHKGFAO66CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPNMLPKRHKGFAO66CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLPKRHKGFAO66CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPQNMLPKRHKGFAO76CB,樹下段,26.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8378,持分移轉,01220001
RPQNMLOLRHKGFAO76CB,民富段,13.33,都市：商,100000,1766,持分移轉,27130000
RPSNMLPKRHKGFAO96CB,樹下段,26.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8288,持分移轉,01220001
RPPNMLOLRHKGFAO66CB,香村段,121.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100019
RPPNMLOLRHKGFAO66CB,香村段,26.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,8,1,持分移轉,03100015
RPPNMLOLRHKGFAO66CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLOLRHKGFAO66CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPNMLOLRHKGFAO66CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLOLRHKGFAO66CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPPNMLMLRHKGFAO09CB,香村段,160.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100056
RPPNMLNLRHKGFAO56CB,香村段,157.43,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100007
RPQNMLQKRHKGFAO86CB,南門段一小段,11.81,都市：商,100000,10835,持分移轉,00410006
RPPNMLNLRHKGFAO56CB,香村段,35.95,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,03100006
RPPNMLNLRHKGFAO56CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
