鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市西大路５８２巷１５弄２７號３樓之１,0.0,,,,1140811,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851105,23.900000000000002,1,0,1,有,有,有,6800,285,,0.0,0,租金總額含管理費；,RPRNMLOKQHKGFAO76CC,獨立套房,有,1140813~1150812,有,冷氣、熱水器、電視機、冰箱、有線電視,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市光華街９５巷３號４樓之７,0.0,,,,1140811,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,59.06,1,1,1,有,有,有,15000,254,,0.0,0,租金總額含管理費；續租案件；,RPPNMLPKQHKGFAO66CC,獨立套房,有,1140820~1150819,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、有線電視,社會住宅代管
新竹市,租賃房屋,新竹市新竹市光復路一段５７６巷１６弄１１號５樓之３,0.0,,,,1140815,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101206,45.36,1,1,1,有,有,有,24000,529,,0.0,0,租金總額含管理費；網路費；,RPXNMLPKQHKGFAO47CC,獨立套房,有,1140815~1150814,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
新竹市,租賃房屋,新竹市新竹市明湖路１０５０巷４４８號３樓,0.0,,,,1140811,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870826,80.25999999999999,2,1,1,有,有,有,17000,212,,0.0,0,租金總額含管理費；續租案件；,RPPNMLSKQHKGFAO96CC,整棟(戶)出租,有,1140823~1150822,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋+車位,新竹市新竹市香山區中華路六段７９９巷８弄１６號,0.0,,,,1140815,土地0建物1車位1,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841016,151.1,3,2,2,有,有,有,19000,126,坡道平面,0.0,0,租金總額含管理費；,RPUNMLTKQHKGFAO57CC,整棟(戶)出租,有,1140820~1160819,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視,
新竹市,租賃房屋,新竹市新竹市經國路二段２６３號１１樓之４,0.0,,,,1140815,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0910831,44.88,1,1,1,有,有,有,14000,312,,0.0,0,租金總額含管理費；網路費；,RPXNMLTKQHKGFAO87CC,獨立套房,有,1140816~1150815,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市光復路二段２７４號３樓之３,0.0,,,,1140814,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870211,48.07,1,0,1,有,有,有,14800,308,,0.0,0,租金總額含管理費；水費；電費；,RPOOMLTKQHKGFAO07CC,獨立套房,有,1140814~1150813,有,冷氣、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市林森路７３號１０樓之１,0.0,,,,1140815,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780107,23.84,1,0,1,有,有,有,9000,378,,0.0,0,租金總額含管理費；,RPPOMLTKQHKGFAO17CC,獨立套房,有,1140816~1150815,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市中山路７７５巷２號,0.0,,,,1140815,土地0建物0車位0,全,4,透天厝,停車空間、住宅、水箱,鋼筋混凝土造,1020810,19.48,6,0,6,有,無,有,7500,385,,0.0,0,租金總額含網路費；,RPQOMLTKQHKGFAO27CC,分租套房,無,1140815~1150814,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
