編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLKLQHKGFAO96CC,坡道平面,0,34.14,地下三樓
RPUNMLKLQHKGFAO76CC,坡道平面,0,34.14,地下三樓
RPUNMLTKQHKGFAO57CC,坡道平面,0,,地下二樓
RPUNMLLLQHKGFAO86CC,坡道平面,0,33.76,地下二樓
RPQNMLQLQHKGFAO96CC,坡道平面,0,34.14,地下三樓
RPPNMLNJRHKGFAO09CC,坡道平面,0,34.14,地下三樓
RPUNMLOJRHKGFAO07CC,升降機械,0,,一樓
RPQNMLPJRHKGFAO76CC,坡道平面,0,34.14,地下三樓
RPTOMLPJRHKGFAO17CC,坡道平面,0,,地下二樓
RPXNMLPJRHKGFAO47CC,坡道平面,0,,地下一樓
RPOOMLPJRHKGFAO66CC,坡道平面,0,,地下二樓
RPXOMLSJRHKGFAO87CC,坡道平面,0,,地下二樓
RPQNMLKKRHKGFAO98CC,一樓平面,0,,一樓
RPQNMLKKRHKGFAO98CC,一樓平面,0,,一樓
RPOOMLKKRHKGFAO88CC,坡道平面,0,34.58,地下二樓
RPPNMLTJRHKGFAO07CC,坡道平面,0,25.45,地下三樓
RPRNMLTJRHKGFAO27CC,坡道平面,0,,地下三樓
RPPNMLMKRHKGFAO09CC,坡道平面,0,,地下一樓
RPPNMLMKRHKGFAO09CC,坡道平面,0,,地下二樓
RPRNMLMKRHKGFAO66CC,其他,0,,一樓
RPUNMLQKRHKGFAO37CC,坡道平面,0,28.88,地下五樓含以下
RPVNMLMLRHKGFAO17CC,坡道平面,0,34.14,地下三樓
RPWNMLMLRHKGFAO27CC,坡道平面,0,34.14,地下三樓
RPSNMLTKRHKGFAO47CC,坡道機械,0,,地下二樓
RPRNMLOLRHKGFAO96CC,坡道平面,0,,地下三樓
RPTNMLOLRHKGFAO17CC,坡道平面,0,,地下三樓
RPPNMLPLRHKGFAO86CC,坡道平面,0,52.18,地下三樓
RPVNMLQLRHKGFAO57CC,一樓平面,0,7.99,一樓
RPPOMLLJIIKGFAO18CC,坡道平面,0,,地下五樓含以下
RPSNMLMJIIKGFAO48CC,升降機械,0,19.52,地下一樓
RPVNMLLJIIKGFAO68CC,坡道平面,0,,地下一樓
RPQNMLOJIIKGFAO48CC,升降平面,0,51.03,地下一樓
RPSNMLPJIIKGFAO78CC,坡道平面,0,,地下二樓
RPRNMLPJIIKGFAO68CC,坡道平面,0,,地下一樓
RPWNMLRJIIKGFAO76CC,坡道平面,0,31.96,地下二樓
RPWNMLSJIIKGFAO86CC,一樓平面,0,,一樓
RPQNMLKKIIKGFAO18CC,坡道平面,0,,地下一樓
RPQNMLSJIIKGFAO88CC,坡道平面,0,27.17,地下二樓
RPTNMLQKIIKGFAO09CC,升降機械,0,19.52,地下一樓
RPRNMLKLIIKGFAO38CC,坡道平面,0,,地下一樓
RPQNMLKLIIKGFAO28CC,坡道平面,3500,30.70,地下一樓
RPUNMLSLIIKGFAO86CC,坡道平面,0,34.14,地下三樓
RPOOMLRLIIKGFAO88CC,升降機械,0,12.86,一樓
RPVNMLSLIIKGFAO96CC,坡道平面,0,34.14,地下三樓
RPWNMLSLIIKGFAO07CC,坡道平面,0,,地下二樓
RPUNMLRLIIKGFAO76CC,坡道平面,0,,地下三樓
RPTNMLKMIIKGFAO68CC,坡道平面,4500,37.39,地下二樓
RPRNMLLMIIKGFAO58CC,一樓平面,0,27.00,一樓
RPRNMLLMIIKGFAO58CC,一樓平面,0,27.00,一樓
RPRNMLNJJIKGFAO58CC,坡道機械,0,,地下一樓
RPSNMLPJJIKGFAO88CC,坡道平面,0,30.16,地下二樓
RPSNMLNJJIKGFAO68CC,坡道平面,0,27.10,地下一樓
RPWNMLPJJIKGFAO66CC,坡道機械,0,,地下一樓
RPPOMLPJJIKGFAO68CC,坡道平面,0,33.74,地下一樓
RPXNMLQJJIKGFAO86CC,坡道平面,0,,地下一樓
RPPOMLRJJIKGFAO88CC,坡道平面,0,,地下一樓
RPOOMLRJJIKGFAO78CC,升降機械,0,,地下一樓
RPVNMLRJJIKGFAO76CC,坡道平面,0,,地下一樓
RPVNMLNKJIKGFAO09CC,坡道平面,2000,,地下一樓
RPPOMLLJKIKGFAO38CC,坡道平面,0,,地下三樓
RPROMLLJKIKGFAO58CC,坡道平面,0,,地下五樓含以下
RPQNMLOLJIKGFAO78CC,坡道平面,0,27.54,地下二樓
RPRNMLRLJIKGFAO56CC,坡道平面,0,34.14,地下二樓
