編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLPLQHKGFAP27CB,雲林溪段,115.17,都市：住,1,1,全筆移轉,00220003
RPQNMLMJRHKGFAP09CB,科加段,31.38,非都市：工業區 ; 非都市編定：丁種建築用地,10000,78,持分移轉,00060000
RPQNMLMJRHKGFAP09CB,科加段,3.05,非都市：工業區 ; 非都市編定：丁種建築用地,100000,623,持分移轉,00060002
RPPNMLQLQHKGFAP86CB,雲林溪段,25.75,都市：住,1000000,14884,持分移轉,01280000
RPPNMLSKQHKGFAP07DB,八德段,17.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2784,持分移轉,08850000
RPPNMLSKQHKGFAP07DB,八德段,17.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2784,持分移轉,08860000
RPPNMLSKQHKGFAP07DB,八德段,5.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2784,持分移轉,08900000
RPPNMLNLQHKGFAP56CB,科加段,23.34,非都市：工業區 ; 非都市編定：丁種建築用地,10000,58,持分移轉,00060000
RPPNMLNLQHKGFAP56CB,科加段,2.27,非都市：工業區 ; 非都市編定：丁種建築用地,100000,463,持分移轉,00060002
RPRNMLPKQHKGFAP96DB,保庄段,25.41,都市：住,100000,1649,持分移轉,08890000
RPPNMLQLQHKGFDP17CB,馬公厝段,90.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05450042
RPRNMLMJRHKGFAP56CB,雲林溪段,12.27,都市：商,202785,1227,持分移轉,01590000
RPQNMLMLQHKGFAP56CB,北環段,136.66,都市：住,1,1,全筆移轉,02910003
RPQNMLPKQHKGFAP86DB,保庄段,23.49,都市：住,100000,1524,持分移轉,08890000
RPPNMLPKQHKGFBP76CB,僑真段,39.71,都市：住,24,1,持分移轉,03030000
RPRNMLMLQHKGFAP76DB,保庄段,24.47,都市：住,100000,1588,持分移轉,08890000
RPQNMLMLQHKGFAP66DB,保庄段,23.47,都市：住,100000,1523,持分移轉,08890000
RPPNMLPKQHKGFAP76DB,保庄段,25.21,都市：住,100000,1636,持分移轉,08890000
RPPNMLMLQHKGFAP56DB,保庄段,20.79,都市：住,100000,1349,持分移轉,08890000
RPPNMLMJRHKGFBP09CB,僑真段,.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,666,持分移轉,07740001
RPPNMLMJRHKGFBP09CB,僑真段,22.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,657,持分移轉,07790000
RPPNMLMJRHKGFBP09CB,僑真段,1.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,658,持分移轉,07790001
RPPNMLLLQHKGFDP66CB,大學段,109.00,都市：住,1,1,全筆移轉,03320007
RPPNMLLLQHKGFDP66CB,大學段,16.05,都市：住,25,1,持分移轉,03320060
RPPNMLLLQHKGFDP66CB,大學段,1.46,都市：住,25,1,持分移轉,03320071
RPPNMLLLQHKGFDP66CB,大學段,.41,都市：住,25,1,持分移轉,03320061
RPPNMLNJRHKGFDP76CB,五間段,28.98,都市：住,10000,198,持分移轉,04220001
RPPNMLNJRHKGFDP76CB,五間段,3.28,都市：住,10000,198,持分移轉,04220002
RPPNMLNJRHKGFAP09CB,海豐崙段海豐崙小段,18.70,都市：住,1000000,4828,持分移轉,04110009
RPPNMLNJRHKGFAP09CB,海豐崙段海豐崙小段,5.15,都市：住,1000000,4828,持分移轉,04110010
RPPNMLNJRHKGFAP09CB,海豐崙段海豐崙小段,2.08,都市：住,1000000,4828,持分移轉,04110079
RPPNMLNJRHKGFAP09CB,海豐崙段海豐崙小段,.42,都市：住,1000000,4828,持分移轉,04110107
RPPNMLQLQHKGFCP07CB,西螺段,28.39,都市：住,100000,1066,持分移轉,10670000
RPPNMLNJRHKGFCP66CB,西螺段,28.39,都市：住,100000,1066,持分移轉,10670000
