鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市中堅西路５２７號,0.0,,,,1140812,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0840308,32.03,7,0,7,有,無,有,7000,219,,0.0,0,租金總額含水費；瓦斯費；網路費；其他公共水費；,RPPNMLPKQHKGFAP76CC,分租套房,無,1140901~1150831,無,冷氣、洗衣機、電視機、冰箱、有線電視、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市文化路６３３巷１８之２８號,0.0,,,,1140812,土地0建物0車位0,全,4,透天厝,住宅、車庫,鋼筋混凝土造,0830120,13.0,7,0,7,有,無,有,4500,346,,0.0,0,,RPRNMLPKQHKGFAP96CC,分租套房,無,1140812~1150811,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
斗六市,租賃房屋,雲林縣斗六市嘉東南路５０巷９８號,0.0,,,,1140819,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951110,19.9,8,0,8,有,無,有,4500,226,,0.0,0,,RPQNMLTKQHKGFAP27CC,分租套房,無,1140819~1150819,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之１６,0.0,,,,1140812,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,19.43,1,0,1,有,有,有,4200,216,,0.0,0,含增建或未登記建物；,RPSNMLKLQHKGFAP66CC,獨立套房,有,1140910~1150909,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號二樓之２３,0.0,,,,1140812,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；續租案件；,RPUNMLKLQHKGFAP86CC,獨立套房,有,1140914~1150313,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市中堅西路５２７號,0.0,,,,1140815,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0840308,32.03,7,0,7,有,無,有,8400,262,,0.0,0,租金總額含水費；瓦斯費；網路費；其他公共水費；,RPOOMLKLQHKGFAP98CC,分租套房,無,1140815~1150814,無,冷氣、洗衣機、電視機、冰箱、有線電視、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市上海路２６６號,0.0,,,,1140817,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0831030,52.09,8,4,8,有,無,有,10000,192,,0.0,0,,RPQNMLLLQHKGFAP56CC,分層出租,無,1140820~1150819,無,冷氣、熱水器、洗衣機、冰箱,一般代管
斗南鎮,租賃房屋,雲林縣斗南鎮南昌路２２０號,128.0,商,,,1140820,土地1建物1車位0,一層,1,店面(店鋪),店舖,鋼骨造,1130918,99.34,0,0,0,無,無,無,38500,388,,0.0,0,租金總額含稅；其他二代健保；,RPPNMLLLQHKGFBP56CC,,無,1141001~1240930,無,,
斗六市,土地,海豐崙段朱丹灣小段279地號,914.88,住,,,1140820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,90000,98,,0.0,0,含增建或未登記建物；,RPPNMLMLQHKGFAP56CC,,,1141001~1241231,,,
