鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大林鎮,房地(土地+建物),嘉義縣大林鎮溝背段60-32地號,122.29,,鄉村區,乙種建築用地,1140815,土地4建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,104.04,2,2,2,有,無,11400000,109573,,0.0,0,,RPPNMLSKQHKGFCQ27CB,知心,A棟1號,
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,103.31,,鄉村區,乙種建築用地,1140818,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.84,4,2,4,有,無,9600000,64935,,0.0,0,,RPPNMLQLQHKGFCQ17CB,新社團三期,H棟9號,
大林鎮,房地(土地+建物),嘉義縣大林鎮忠孝路569巷13弄,150.0,住,,,1140815,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.4,4,2,4,有,無,14350000,86238,,0.0,0,,RPPNMLNJRHKGFCQ86DB,好運道 15,G棟1號,
大林鎮,房地(土地+建物),嘉義縣大林鎮甘蔗崙,84.73,住,,,1140820,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.14,4,2,3,有,無,10200000,77191,,0.0,0,,RPPNMLSJRHKGFCQ27CB,輕井澤,B6棟0號,
太保市,房地(土地+建物)+車位,嘉義縣太保市嘉64鄉道及嘉49鄉道交叉口新埤桃花宮後方,35.43,,鄉村區,乙種建築用地,1140901,土地6建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.91,3,2,2,有,無,12750000,108406,一樓平面,13.75,1350000,,RPPNMLSJRHKGFDQ37CB,桃花新市鎮,1棟5A2號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉民溪路5巷,24.6,住,,,1140902,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.19,2,2,1,有,無,5870000,74126,,0.0,0,,RPPNMLLKRHKGFCQ66CB,寓幸福99(第七期),5C號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉?墘廣祥傢俱旁,105.33,農,,,1140908,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.35,3,2,3,有,無,12800000,76946,,0.0,0,,RPPNMLMKRHKGFCQ76CB,福德人家7,C棟3號,
義竹鄉,房地(土地+建物),嘉義縣義竹鄉傳秀村義竹474之49號 旁,111.63,住,,,1140816,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,197.38,5,3,4,有,無,15280000,77414,,0.0,0,,RPPNMLPKRHKGFBQ96CB,京品雅築 NO.5,A棟2號,
太保市,房地(土地+建物),嘉義縣太保市嘉義縣太保市嘉64鄉道及嘉49鄉道交叉口新埤桃花宮後方,27.94,,鄉村區,乙種建築用地,1140910,土地6建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.94,2,2,2,有,無,8300000,100072,,0.0,0,,RPPNMLPKRHKGFDQ17CB,桃花新市鎮,1棟5B1號,
