編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLRHKGFDQ27CB,新埤段新埤小段,5.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,18409,持分移轉,06030000
RPPNMLPLRHKGFDQ27CB,新埤段新埤小段,5.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,18409,持分移轉,06030002
RPPNMLPLRHKGFDQ27CB,新埤段新埤小段,4.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,18409,持分移轉,06030003
RPPNMLPLRHKGFDQ27CB,新埤段新埤小段,1.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,18409,持分移轉,06030004
RPPNMLPLRHKGFDQ27CB,新埤段新埤小段,1.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,18409,持分移轉,06030005
RPPNMLPLRHKGFDQ27CB,新埤段新埤小段,4.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,18409,持分移轉,06030006
RPRNMLMLRHKGFDQ17CB,新埤段新埤小段,6.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,19099,持分移轉,06030000
RPRNMLMLRHKGFDQ17CB,新埤段新埤小段,6.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,19099,持分移轉,06030002
RPQNMLKMRHKGFEQ17DB,轆子腳段,101.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1666,持分移轉,01930163
RPRNMLMLRHKGFDQ17CB,新埤段新埤小段,4.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,19099,持分移轉,06030003
RPQNMLKMRHKGFEQ17DB,轆子腳段,2.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1666,持分移轉,01930178
RPQNMLKMRHKGFEQ17DB,轆子腳段,1.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1666,持分移轉,01930218
RPRNMLMLRHKGFDQ17CB,新埤段新埤小段,1.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,19099,持分移轉,06030004
RPRNMLMLRHKGFDQ17CB,新埤段新埤小段,1.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,19099,持分移轉,06030005
RPRNMLMLRHKGFDQ17CB,新埤段新埤小段,4.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,19099,持分移轉,06030006
RPPNMLSJRHKGFDQ37CB,新埤段新埤小段,8.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28007,持分移轉,06030000
RPPNMLSJRHKGFDQ37CB,新埤段新埤小段,8.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28007,持分移轉,06030002
RPPNMLSJRHKGFDQ37CB,新埤段新埤小段,6.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28007,持分移轉,06030003
RPPNMLSJRHKGFDQ37CB,新埤段新埤小段,1.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28007,持分移轉,06030004
RPPNMLSJRHKGFDQ37CB,新埤段新埤小段,1.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28007,持分移轉,06030005
RPPNMLSJRHKGFDQ37CB,新埤段新埤小段,6.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28007,持分移轉,06030006
RPPNMLKMRHKGFEQ07DB,轆子腳段,106.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1738,持分移轉,01930163
RPPNMLKMRHKGFEQ07DB,轆子腳段,2.26,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1738,持分移轉,01930178
RPPNMLKMRHKGFEQ07DB,轆子腳段,1.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1738,持分移轉,01930218
RPPNMLNJRHKGFCQ86DB,甘蔗崙段甘蔗崙小段,150.00,都市：住,1,1,全筆移轉,01350032
RPPNMLPKRHKGFDQ17CB,新埤段新埤小段,6.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,22090,持分移轉,06030000
RPPNMLPKRHKGFDQ17CB,新埤段新埤小段,6.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,22090,持分移轉,06030002
RPPNMLPKRHKGFDQ17CB,新埤段新埤小段,5.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,22090,持分移轉,06030003
RPPNMLPKRHKGFDQ17CB,新埤段新埤小段,1.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,22090,持分移轉,06030004
RPPNMLPKRHKGFDQ17CB,新埤段新埤小段,1.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,22090,持分移轉,06030005
RPPNMLPKRHKGFDQ17CB,新埤段新埤小段,5.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,22090,持分移轉,06030006
RPPNMLKMRHKGFCQ76CB,溝背段,9.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00600034
RPPNMLKMRHKGFCQ76CB,溝背段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00600035
RPPNMLKMRHKGFCQ76CB,溝背段,1.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,00600036
RPPNMLMLRHKGFDQ96CB,新埤段新埤小段,10.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34166,持分移轉,06030000
RPPNMLMLRHKGFDQ96CB,新埤段新埤小段,10.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34166,持分移轉,06030002
RPPNMLMLRHKGFDQ96CB,新埤段新埤小段,8.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34166,持分移轉,06030003
RPPNMLMLRHKGFDQ96CB,新埤段新埤小段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34166,持分移轉,06030004
RPPNMLMLRHKGFDQ96CB,新埤段新埤小段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34166,持分移轉,06030005
RPPNMLMLRHKGFDQ96CB,新埤段新埤小段,8.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34166,持分移轉,06030006
RPPNMLMJIIKGFDQ58CB,新埤段新埤小段,12.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39154,持分移轉,06030000
RPPNMLMJIIKGFDQ58CB,新埤段新埤小段,12.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39154,持分移轉,06030002
RPPNMLMJIIKGFDQ58CB,新埤段新埤小段,9.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39154,持分移轉,06030003
RPPNMLMJIIKGFDQ58CB,新埤段新埤小段,2.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39154,持分移轉,06030004
RPPNMLMJIIKGFDQ58CB,新埤段新埤小段,2.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39154,持分移轉,06030005
RPPNMLMJIIKGFDQ58CB,新埤段新埤小段,9.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39154,持分移轉,06030006
RPPNMLPJIIKGFBQ68CB,小槺榔段仁和小段,42.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2700,持分移轉,01010000
RPQNMLMLRHKGFDQ07CB,新埤段新埤小段,7.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,23369,持分移轉,06030000
RPQNMLMLRHKGFDQ07CB,新埤段新埤小段,7.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,23369,持分移轉,06030002
