編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRJJIKGFET96DA,萬里桐段,1.93,非都市：國家公園區 ; 非都市編定：,11760,98,持分移轉,00990000
RPPNMLTJJIKGFET17DA,公順段,86.64,都市：其他:住宅區,1,1,全筆移轉,08180000
RPPNMLTJJIKGFET17DA,公順段,30.15,都市：其他:住宅區,1,1,全筆移轉,08190000
RPPNMLNKJIKGFAT98EA,新清溪段,27.00,都市：其他:農業區,15786,3690,持分移轉,10730000
RPPNMLRKJIKGFAT76EA,水源段二小段,7.61,都市：其他:住宅區,100000,580,持分移轉,04590000
RPQNMLRKJIKGFBT86DA,新德段,199.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05980001
RPPNMLLKJIKGFBT78DA,瀰力肚段,582.50,非都市：一般農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,11330000
RPPNMLPJKIKGFBT56DA,新日段,238.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,02160000
RPQOMLRKJIKGFAT86DA,九明段,1461.43,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03110000
RPSNMLNKJIKGFDT86DA,中林段,2.30,都市：其他:住宅區,900,3,持分移轉,12830000
RPTNMLNKJIKGFDT96DA,鹽龍段,18.92,都市：其他:道路用地,360,56,持分移轉,01410000
RPSNMLNKJIKGFDT86DA,中林段,1.18,都市：其他:住宅區,900,3,持分移轉,12840000
RPPOMLSKJIKGFAT86DA,水源段二小段,29.00,都市：其他:住宅區,1,1,全筆移轉,12900000
RPTNMLNJJIKGFDT86DA,頂義段,64.89,都市：其他:道路用地,3,1,持分移轉,09800000
RPQOMLRKJIKGFAT86DA,九明段,1031.33,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03430000
RPRNMLOKJIKGFDT86DA,銀放索段,89.64,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01640001
RPTNMLNJJIKGFDT86DA,頂義段,68.51,都市：其他:道路用地,3,1,持分移轉,09970000
RPPNMLQJJIKGFDT76DA,後寮溪段,116.92,都市：其他:乙種工業區,36,6,持分移轉,10280000
RPPNMLQJJIKGFDT76DA,後寮溪段,267.86,都市：其他:乙種工業區,935400,155898,持分移轉,10590000
RPSNMLMJKIKGFAT09DA,萬安段,256.00,都市：其他:住宅區,6,3,持分移轉,09730000
RPTNMLKKJIKGFAT98DA,玉水段,186.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08890000
RPPOMLLKJIKGFAT78DA,溝美段一小段,165.34,都市：其他:住宅區,1,1,全筆移轉,03790003
RPSNMLNKJIKGFAT56DA,橋福段,23.08,都市：其他:住宅區,1,1,全筆移轉,03240000
RPSNMLNKJIKGFAT56DA,民生段,19.00,都市：其他:道路用地,1,1,全筆移轉,04710000
RPQNMLLKJIKGFFT76EA,佳和段,179.00,都市：其他:住宅區,1,1,全筆移轉,09230002
RPRNMLSKJIKGFAT96DA,清溪段,501.50,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,21090000
RPQNMLSKJIKGFAT86DA,清溪段,501.50,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,21090000
RPQNMLKLJIKGFAT88EA,崙頂段,38.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,21740002
RPQNMLKLJIKGFAT88EA,崙頂段,311.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,1,持分移轉,21790000
