編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLKLQHKGFCT37CC,新生段,48.62,都市：商,,,,04610000
RPTNMLKLQHKGFCT37CC,新生段,17.88,都市：商,,,,04620000
RPUNMLPLQHKGFCT97CC,建基段,80.63,都市：商,,,,07420000
RPPNMLMJRHKGFBT96CC,潮北段,477.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04690000
RPPNMLMJRHKGFBT96CC,潮北段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04700000
RPPNMLNJRHKGFAT96CC,田厝段,426.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15270000
RPPNMLNJRHKGFAT96CC,田厝段,427.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15270003
RPPNMLNJRHKGFAT96CC,田厝段,427.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15270004
RPSNMLNJRHKGFAT27CC,豐田段,86.00,都市：住,,,,04690000
RPTNMLTJRHKGFCT18CC,壽比段,78.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03430000
RPTNMLQKRHKGFAT77CC,明正段,76.00,都市：住,,,,08840010
RPPNMLRKRHKGFAT47CC,萬興段,99.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09920000
RPPNMLSKRHKGFAT57CC,長春段,77.00,都市：住,,,,05630000
RPPNMLTKRHKGFDT97CC,盛海段,22.98,都市：住,,,,07080000
RPPNMLMLRHKGFET47CC,紅柴坑段,789.55,非都市：國家公園區 ; 非都市編定：,,,,06880000
RPRNMLNJIIKGFCT56CC,三共段,88.21,都市：住,,,,00110000
RPPNMLNJIIKGFDT09CC,東新段,43.65,都市：住,,,,11640000
RPRNMLOKIIKGFCT76CC,五魁寮段二小段,15.08,都市：住,,,,01150000
RPSNMLPKIIKGFAT76CC,明正段,80.00,都市：住,,,,06020007
RPPNMLSLIIKGFCT07CC,榮田段,23.44,都市：住,,,,10100000
RPRNMLRLIIKGFAT96CC,水源段二小段,9.21,都市：住,,,,00210000
RPTNMLTLIIKGFAT37CC,溝美段,70.00,都市：住,,,,00940000
RPPNMLRJJIKGFDT96CC,鹽龍段,11.78,都市：住,,,,07180000
RPPNMLRJJIKGFDT96CC,鹽龍段,1019.60,都市：住,,,,07190000
RPPNMLKKJIKGFFT56CC,塭豐段,1102.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,00650000
RPPNMLLKJIKGFAT78CC,新全段,155.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,17900000
RPQNMLRKJIKGFCT07CC,新豐段,3477.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00390027
RPPNMLMLJIKGFAT98CC,水源段一小段,94.00,都市：住,,,,00450004
