編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLMLQHKGFAT27CC,升降平面,0,,地下一樓
RPPNMLLLQHKGFCT07CC,一樓平面,0,,一樓
RPPNMLTLQHKGFCT87CC,一樓平面,2000,,一樓
RPQNMLSLQHKGFAT77DC,坡道平面,0,,地下一樓
RPRNMLQKRHKGFAT57CC,一樓平面,0,,一樓
RPQNMLQKRHKGFAT47CC,坡道平面,0,,地下一樓
RPUNMLRKRHKGFAT97CC,坡道平面,0,33.02,地下二樓
RPPNMLMLRHKGFET47CC,一樓平面,0,,一樓
RPPNMLMLRHKGFET47CC,一樓平面,0,,一樓
RPPNMLMLRHKGFET47CC,一樓平面,0,,一樓
RPPNMLMLRHKGFET47CC,一樓平面,0,,一樓
RPRNMLMLRHKGFAT27CC,一樓平面,0,,一樓
RPRNMLLLIIKGFAT98CC,一樓平面,0,,一樓
RPSNMLRLIIKGFAT07CC,一樓平面,0,,一樓
