編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPJKIKGFAU56DA,31,20.66,住家用,鋼筋混凝土造,83年11月15日,十二層,十一層 陽台,全筆移轉
RPPNMLPJKIKGFAU56DA,31,6.40,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLPJKIKGFAU56DA,31,3.38,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLRKJIKGFBU86DA,44,113.26,住家用,鋼筋混凝土加強磚造,70年12月15日,二層,一層 二層 騎樓,全筆移轉
RPPNMLRKJIKGFBU86DA,44,113.26,住家用,鋼筋混凝土加強磚造,70年12月4日,二層,一層 二層 騎樓,全筆移轉
RPPNMLOKJIKGFAU09DA,26,100.11,商業用,鋼筋混凝土造,88年11月25日,六層,一層 平台 夾層,全筆移轉
RPPNMLOKJIKGFAU09DA,26,70.88,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPWNMLNKJIKGFAU07DA,3,52.50,集合住宅,鋼筋混凝土造,112年4月6日,八層,三層 陽台,全筆移轉
RPWNMLNKJIKGFAU07DA,3,33.53,共有部份,鋼筋混凝土造,112年4月6日,八層,,持分移轉
RPRNMLRLJIKGFAU07DA,,157.82,住宅,鋼筋混凝土（ＲＣ）、磚造,114年10月30日,二層,一層 二層,全筆移轉
RPUNMLRLJIKGFAU37DA,30,20.16,住家用,鋼筋混凝土造,84年8月19日,十一層,十一層 陽台,全筆移轉
RPUNMLRLJIKGFAU37DA,30,7.12,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPPNMLRKJIKGFCU96DA,43,81.52,住家用,鋼筋混凝土加強磚造,71年9月4日,二層,一層 二層,全筆移轉
RPXNMLRLJIKGFAU67DA,25,65.74,住家用,鋼筋混凝土造,89年6月23日,五層,五層 陽台,全筆移轉
RPXNMLRLJIKGFAU67DA,25,14.54,共有部份,鋼筋混凝土造,89年6月23日,五層,,持分移轉
RPPOMLLJKIKGFAU88DA,1,77.50,集合住宅,鋼筋混凝土造,113年7月31日,十一層,八層 陽台,全筆移轉
RPPOMLLJKIKGFAU88DA,1,30.50,共有部份,鋼筋混凝土造,113年7月31日,十一層,,持分移轉
RPQNMLSLJIKGFAU07DA,9,318.29,住家用,鋼筋混凝土造,105年11月30日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPSNMLSLJIKGFAU27DA,26,20.04,住家用,鋼筋混凝土造,88年11月25日,六層,三層 陽台,全筆移轉
RPSNMLSLJIKGFAU27DA,26,14.25,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPQNMLNJKIKGFAU09DA,26,20.55,住家用,鋼筋混凝土造,88年11月25日,六層,三層 陽台,全筆移轉
RPQNMLNJKIKGFAU09DA,26,14.60,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPRNMLNJKIKGFAU56DA,33,28.16,住家用,鋼筋混凝土造,81年8月20日,五層,三層 陽台,全筆移轉
RPRNMLNJKIKGFAU56DA,33,6.60,共有部份,鋼筋混凝土造,81年8月20日,五層,,持分移轉
RPPNMLRLJIKGFCU17EA,,114.38,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPPNMLNJKIKGFCU66EA,49,64.00,住家用,鋼筋混凝土加強磚造,66年3月7日,二層,一層 二層,全筆移轉
RPQNMLMJKIKGFCU66EA,,261.95,農舍,鋼筋混凝土加強磚造,72年8月0日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPQNMLOJKIKGFAU56DA,31,208.50,住宅、儲藏室、自用車庫,鋼筋混凝土造,83年6月24日,四層,一層 二層 三層 四層 陽台 平台 地下層,全筆移轉
RPSNMLPLJIKGFAU96DA,,36.76,集合住宅,鋼筋混凝土造,114年7月4日,七層,六層 陽台,全筆移轉
RPSNMLPLJIKGFAU96DA,,19.41,共有部份,鋼筋混凝土造,114年7月4日,七層,,持分移轉
RPOOMLOJKIKGFAU09DA,23,111.42,住家用,鋼筋混凝土造,91年12月2日,十三層,十三層 陽台,全筆移轉
RPOOMLOJKIKGFAU09DA,23,63.77,共有部份,鋼筋混凝土造,91年12月2日,十三層,,持分移轉
RPWNMLPLJIKGFAU37DA,23,100.48,住家用,鋼筋混凝土造,91年11月21日,十一層,五層 陽台,全筆移轉
RPWNMLPLJIKGFAU37DA,23,66.88,共有部份,鋼筋混凝土造,91年11月21日,十一層,,持分移轉
RPQNMLSJKIKGFAU96DA,31,151.98,住家用,鋼筋混凝土造,83年10月19日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLPJKIKGFAU27DA,1,259.34,住宅,鋼筋混凝土造,114年4月7日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPOMLNJKIKGFAU09DA,10,235.84,住家用,鋼筋混凝土造,105年2月26日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLLLJIKGFAU09DA,30,27.22,住家用,鋼筋混凝土造,85年2月2日,十層,七層 陽台,全筆移轉
RPRNMLLLJIKGFAU09DA,30,2.99,共有部份,鋼筋混凝土造,85年2月2日,十層,,持分移轉
RPRNMLLLJIKGFAU09DA,30,6.20,共有部份,鋼筋混凝土造,85年2月2日,十層,,持分移轉
RPOPMLMJKIKGFAU98DA,28,66.82,住家用,鋼筋混凝土造,86年8月27日,九層,四層 五層 陽台 花台,全筆移轉
RPOPMLMJKIKGFAU98DA,28,10.27,共有部份,鋼筋混凝土造,86年8月27日,九層,,持分移轉
RPOPMLMJKIKGFAU98DA,28,8.81,共有部份,鋼筋混凝土造,86年8月27日,九層,,持分移轉
RPOPMLMJKIKGFAU98DA,28,3.04,共有部份,鋼筋混凝土造,86年8月27日,九層,,持分移轉
RPXNMLLLJIKGFAU07DA,11,136.90,農舍,鋼筋混凝土造,103年12月5日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPUOMLRLIIKGFAU37DA,31,22.87,住家用,鋼筋混凝土造,83年11月15日,十二層,七層 陽台,全筆移轉
RPUOMLRLIIKGFAU37DA,31,4.88,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPUOMLRLIIKGFAU37DA,31,6.92,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPVOMLRLIIKGFAU47DA,38,.94,共有部份,鋼筋混凝土造,76年6月30日,十層,,持分移轉
RPVOMLRLIIKGFAU47DA,36,16.88,住家用,鋼筋混凝土造,78年6月30日,十層,六層,全筆移轉
RPOOMLRKJIKGFAU76DA,28,89.17,住宅,鋼筋混凝土造,87年4月3日,十層,六層 陽台,全筆移轉
RPOOMLRKJIKGFAU76DA,28,17.00,共有部份,鋼筋混凝土造,87年4月3日,十層,,持分移轉
RPTNMLKLJIKGFAU56DA,48,126.26,住商用,鋼筋混凝土加強磚造,66年8月9日,二層,一層 二層 騎樓,全筆移轉
