編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKJIKGFAV09DA,富岡段,8.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09780003
RPSNMLKKJIKGFAV09DA,東海段,22.69,都市：其他:住宅區,10000,38,持分移轉,01300000
RPSNMLKKJIKGFAV09DA,東海段,1.46,都市：其他:住宅區,10000,38,持分移轉,01300002
RPQNMLKLJIKGFAV98DA,中山段,48.00,都市：其他:市場用地,1,1,全筆移轉,02200000
RPUNMLRKJIKGFAV37DA,豐川段,2521.27,非都市：特定農業區 ; 非都市編定：農牧用地,18,16,持分移轉,03160000
RPPNMLKLJIKGFAV88DA,台東段,19.73,都市：其他:商業區,100000,1150,持分移轉,02350000
RPPNMLKLJIKGFAV88DA,台東段,.26,都市：其他:住宅區,100000,1150,持分移轉,02350016
RPPNMLKLJIKGFAV88DA,台東段,.45,都市：其他:住宅區,100000,1150,持分移轉,02350017
RPRNMLKLJIKGFAV09DA,台東段,24.00,都市：其他:住宅區,1,1,全筆移轉,01600594
RPTNMLKLJIKGFAV66DA,青林段,113.00,都市：其他:住宅區,1,1,全筆移轉,00220007
RPPNMLNKJIKGFAV09DA,台東段,121.00,都市：其他:住宅區,1,1,全筆移轉,05610029
RPTNMLKLJIKGFAV66DA,建和段,2.41,都市：其他:住宅區,1,1,全筆移轉,13040003
RPPNMLRJJIKGFCV96DA,慶豐段,399.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12580002
RPPNMLNKJIKGFCV66DA,鹿寮段,136.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08000000
RPPNMLNKJIKGFCV66DA,鹿寮段,19.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08010000
RPPNMLKLJIKGFCV56EA,鸞山段,8590.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02590000
RPQNMLLLJIKGFAV09DA,東興段,2601.29,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00560000
RPPNMLSJKIKGFBV07DA,小馬東段,237.35,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04650000
RPQNMLOLJIKGFBV86DA,新港段新港小段,2038.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,03450001
RPQNMLOLJIKGFBV86DA,新港段新港小段,427.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,03460000
RPPNMLMKJIKGFBV09DA,三民段,85.46,都市：其他:住宅區,1,1,全筆移轉,03120010
RPPNMLSKJIKGFBV07DA,南都蘭段,1008.21,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,02860000
RPPNMLLLJIKGFBV09DA,北佳里段,394.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09410000
RPPNMLMKJIKGFBV09DA,三民段,70.92,都市：其他:住宅區,1,1,全筆移轉,03220001
RPQNMLQLJIKGFBV07DA,北都歷段,935.68,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,01540000
RPPNMLMLJIKGFAV09DA,東海段,25.08,都市：其他:住宅區,10000,42,持分移轉,01300000
RPPNMLMLJIKGFAV09DA,東海段,1.62,都市：其他:住宅區,10000,42,持分移轉,01300002
RPPNMLQLJIKGFBV96DA,長光段,26.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03670002
RPPNMLQLJIKGFCV07DA,瑞里段,118.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00710000
RPRNMLQLJIKGFBV17DA,忠智段,106.25,都市：其他:住宅區,1,1,全筆移轉,11700005
