編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLKLJIKGFAV88DA,坡道平面,0,35.47,地下二樓
RPUNMLKKJIKGFAV66DA,一樓平面,0,,一樓
RPTNMLLKJIKGFAV66DA,坡道平面,0,,地下一樓
RPSNMLQLJIKGFAV17DA,其他,0,,一樓
RPTNMLPLJIKGFAV17DA,坡道平面,0,28.75,地下一樓
RPUNMLPKIIKGFAV07DA,坡道平面,0,13.63,地下二樓
RPQNMLLMIIKGFAV09DA,一樓平面,0,14.34,一樓
RPPNMLQKIIKGFAV66DA,坡道平面,600000,28.74,地下二樓
RPTNMLSLIIKGFAV37DA,坡道平面,0,28.75,地下一樓
RPSOMLRJQHKGFAV77DA,升降機械,0,4.31,無固定樓層
RPQNMLPLQHKGFAV47DA,一樓平面,1100000,27.57,一樓
RPVOMLRJQHKGFAV08DA,升降機械,0,4.31,無固定樓層
RPPNMLNKRHKGFAV17DA,坡道平面,0,28.75,地下二樓
RPQNMLLJKIKGFAV98DA,其他,0,,一樓
RPTNMLSJRHKGFAV97DA,一樓平面,0,13.75,一樓
RPTNMLSJRHKGFAV97DA,一樓平面,0,13.75,一樓
RPTNMLSJRHKGFAV97DA,一樓平面,0,13.75,一樓
RPTNMLSJRHKGFAV97DA,一樓平面,0,13.75,一樓
RPUNMLQKPHKGFAV77DA,坡道平面,0,36.93,地下一樓
RPPNMLRKJIKGFAV86DA,一樓平面,0,15.51,一樓
RPRNMLRKJIKGFAV07DA,一樓平面,0,15.02,一樓
RPTNMLKLIIKGFAV56DA,一樓平面,0,,一樓
RPQNMLRKJIKGFAV96DA,一樓平面,0,21.73,一樓
RPQOMLMLRHKGFAV37DA,坡道平面,780000,35.47,地下一樓
RPWNMLMKRHKGFAV77DA,坡道平面,680000,35.47,地下二樓
RPSNMLRKNHKGFAV47DA,其他,0,,一樓
RPSNMLOJNHKGFAV07DA,一樓平面,0,,一樓
