編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLOJJIKGFAV56CB,岩灣段,44.83,都市：住,10000,803,持分移轉,01090000
RPPNMLRLIIKGFAV86CB,新生段,40.39,都市：住,10000,821,持分移轉,14100000
RPPNMLQJJIKGFAV66CB,岩灣段,45.05,都市：住,10000,807,持分移轉,01090000
RPRNMLSKQHKGFAV77CB,新生段,43.59,都市：住,10000,886,持分移轉,14100000
RPPNMLMJIIKGFAV78CB,興安段,52.03,都市：住,5,1,持分移轉,02860000
RPPNMLMKJIKGFAV98CB,普優瑪段,53.66,都市：住,100000,11736,持分移轉,06700000
RPPNMLOKIIKGFAV09CB,常德段,21.71,都市：商,100000,462,持分移轉,06120000
RPQNMLTJIIKGFAV96CB,馬蘭段,4.50,都市：住,100000,1080,持分移轉,19020001
RPQNMLTJIIKGFAV96CB,馬蘭段,39.13,都市：住,100000,1080,持分移轉,19030000
RPQNMLRLIIKGFAV96CB,利泰段,26.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6307,持分移轉,00290000
RPPNMLOJJIKGFAV09CB,常德段,22.09,都市：商,100000,470,持分移轉,06120000
RPPNMLLLQHKGFAV96CB,常德段,15.23,都市：商,100000,324,持分移轉,06120000
RPPNMLOJRHKGFAV17CB,岩灣段,42.51,都市：住,10000,1389,持分移轉,01720000
RPQNMLTKRHKGFAV87CB,馬蘭段,4.50,都市：住,100000,1080,持分移轉,19020001
RPQNMLTKRHKGFAV87CB,馬蘭段,39.13,都市：住,100000,1080,持分移轉,19030000
RPPNMLTJIIKGFAV86CB,岩灣段,28.64,都市：住,10000,744,持分移轉,01090001
RPPNMLRKIIKGFAV76CB,岩灣段,42.51,都市：住,10000,1389,持分移轉,01720000
RPPNMLQKRHKGFAV47CB,岩灣段,42.51,都市：住,10000,1389,持分移轉,01720000
RPPNMLTKRHKGFAV77CB,馬蘭段,4.48,都市：住,100000,1074,持分移轉,19020001
RPPNMLTKRHKGFAV77CB,馬蘭段,38.91,都市：住,100000,1074,持分移轉,19030000
RPPNMLMKRHKGFAV07CB,清榮段,52.91,都市：住,10,1,持分移轉,00030000
RPQNMLNKJIKGFAV56CB,清榮段,44.46,都市：住,10000,598,持分移轉,00400000
RPPNMLNKQHKGFCV37DB,中福段,12.38,都市：住,100000,4843,持分移轉,04500001
RPPNMLNKQHKGFCV37DB,中福段,23.85,都市：住,100000,4843,持分移轉,04510001
RPTNMLMJKIKGFAV76CB,順天段,8.92,都市：住,100000,2683,持分移轉,07480000
RPTNMLMJKIKGFAV76CB,順天段,9.84,都市：住,100000,2683,持分移轉,07480010
RPTNMLMJKIKGFAV76CB,順天段,6.73,都市：住,100000,2683,持分移轉,07480011
RPPNMLOKJIKGFAV56CB,馬蘭段,4.48,都市：住,100000,1074,持分移轉,19020001
RPPNMLOKJIKGFAV56CB,馬蘭段,38.91,都市：住,100000,1074,持分移轉,19030000
RPUNMLMJKIKGFAV86CB,順天段,8.84,都市：住,100000,2658,持分移轉,07480000
RPUNMLMJKIKGFAV86CB,順天段,9.75,都市：住,100000,2658,持分移轉,07480010
RPUNMLMJKIKGFAV86CB,順天段,6.66,都市：住,100000,2658,持分移轉,07480011
RPPNMLNJKIKGFAV09CB,順天段,7.93,都市：住,100000,2386,持分移轉,07480000
RPPNMLNJKIKGFAV09CB,順天段,8.75,都市：住,100000,2386,持分移轉,07480010
RPPNMLNJKIKGFAV09CB,順天段,5.98,都市：住,100000,2386,持分移轉,07480011
