編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLKLQHKGFAV47CC,32,38.26,集合住宅,鋼筋混凝土造,82年5月22日,十二層,,
RPQNMLSJRHKGFAV77CC,35,70.58,住宅，避難室,鋼筋混凝土造,79年10月2日,四層,,
RPUNMLKLQHKGFAV47CC,32,4.88,共同使用部份,鋼筋混凝土造,82年5月22日,十二層,,
RPUNMLKLQHKGFAV47CC,32,10.28,走廊．電樓梯間接（共同使用部分）,鋼筋混凝土造,82年5月22日,十二層,,
RPQNMLSLQHKGFAV87CC,3,84.69,集合住宅,ＲＣ造,111年3月28日,十四層,,
RPQNMLSLQHKGFAV87CC,3,13.62,防空避難室兼停車空間、台電配電室、電信室、水箱、停車空間、消防機械室、污水機房、騎樓、管委會空間、發電機室、垃圾間,ＲＣ造,111年3月28日,十四層,,
RPQNMLSLQHKGFAV87CC,3,21.64,梯間、消防水箱、昇降機防、水箱,ＲＣ造,111年3月28日,十四層,,
RPQNMLSLQHKGFAV87CC,3,.04,店舖,ＲＣ造,111年3月28日,十四層,,
RPQNMLSLQHKGFAV87CC,3,28.69,防空避難室兼停車空間、台電配電室、電信室、水箱、停車空間、消防機械室、污水機房、騎樓、管委會空間、發電機室、垃圾間,ＲＣ造,111年3月28日,十四層,,
RPPNMLQLQHKGFAV57CC,45,89.51,住家用,加強磚造,69年8月10日,二層,,
RPQNMLSLQHKGFAV87CC,3,.01,梯間、消防水箱、昇降機房、水箱,ＲＣ造,111年3月28日,十四層,,
RPQNMLLLQHKGFAV17CC,32,27.05,集合住宅,鋼筋混凝土造,82年5月22日,十二層,,
RPQNMLLLQHKGFAV17CC,32,3.45,共同使用部份,鋼筋混凝土造,82年5月22日,十二層,,
RPQNMLLLQHKGFAV17CC,32,7.26,走廊．電樓梯間接（共同使用部分）,鋼筋混凝土造,82年5月22日,十二層,,
RPSNMLKLQHKGFAV27CC,30,18.32,集合住宅,鋼筋混凝土造,84年5月17日,七層,,
RPPNMLTKQHKGFAV77CC,44,193.39,住家用,鋼筋混凝土加強磚造,70年11月30日,三層,,
RPSNMLKLQHKGFAV27CC,30,9.67,通廊．電梯．汽車昇降孔．共同使用,鋼筋混凝土造,84年5月17日,七層,,
RPQNMLOJRHKGFAV37CC,35,329.00,住家用,鋼筋混凝土造,80年1月3日,六層,,
