鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
烈嶼鄉,土地,陵水湖測段311地號,1867.69,農,,,1141203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,3213,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTJKIKGFAW47DA,0.0,0.0,0.0,無,
金湖鎮,土地,峰上段454地號,183.61,農,,,1141101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,312137,1700,,0.0,0,,RPPNMLRJJIKGFAW96EA,0.0,0.0,0.0,無,001
金沙鎮,土地,高坑劃測段778地號,1325.01,農,,,1141104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5830040,4400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKJIKGFAW09EA,0.0,0.0,0.0,無,
金沙鎮,土地,北九劃段1166地號,1000.0,農,,,1141106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4120000,4120,,0.0,0,,RPQNMLQJJIKGFAW86DA,0.0,0.0,0.0,無,
金城鎮,土地,前水頭測段257-1地號,196.38,都市：其他:生活發展用地,,,1141112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,6620,,0.0,0,,RPTNMLMKJIKGFAW86DA,0.0,0.0,0.0,無,
金沙鎮,土地,官嶼劃段981地號,1000.0,農,,,1141110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,2900,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOKJIKGFAW76EA,0.0,0.0,0.0,無,
烈嶼鄉,土地,公園測段970地號,38.22,都市：其他:自然村專用區,,,1141105,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,695500,18197,,0.0,0,,RPPNMLPJJIKGFAW66DA,0.0,0.0,0.0,無,002
烈嶼鄉,土地,西方劃測段615地號,273.74,農,,,1141104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1370000,5005,,0.0,0,,RPPNMLKLJIKGFAW98DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮市港一路２１２號一樓之１,42.91,都市：其他:自然村專用區,,,1141103,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140527,97.46000000000001,3,1,2,有,無,6000000,61564,,0.0,0,本買賣標的另含3號停車位之使用權,RPWNMLLKJIKGFAW07DA,76.41,0.0,5.88,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐２９０號三樓,28.87,都市：其他:自然村專用區,,,1141117,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070130,74.24000000000001,2,1,2,有,有,4800000,64655,,0.0,0,,RPPNMLTKJIKGFAW17DA,59.74,0.0,6.68,有,003
金湖鎮,土地,后壟測段164地號,142.18,都市：其他:自然村專用區,,,1141101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2390000,16810,,0.0,0,,RPQNMLOKJIKGFAW76DA,0.0,0.0,0.0,無,
