編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRKJIKGFAA47DB,坡道平面,3100000,34.52,地下三樓
RPPNMLRKJIKGFAA47DB,坡道平面,3000000,34.52,地下三樓
RPSOMLRKJIKGFCA97CB,坡道平面,3800000,32.45,地下三樓
RPPNMLRKJIKGFCA57CB,坡道平面,4200000,32.45,地下二樓
RPQNMLSKJIKGFAA57CB,坡道平面,3300000,24.79,地下二樓
RPPOMLRKJIKGFDA77CB,坡道平面,2800000,26.73,地下五樓含以下
RPTNMLSKJIKGFAA87CB,坡道平面,3400000,24.79,地下三樓
RPWNMLSKJIKGFAA18CB,坡道平面,3000000,22.83,地下四樓
RPOOMLSKJIKGFAA47CB,坡道平面,3000000,24.79,地下四樓
RPPOMLSKJIKGFAA57CB,坡道平面,3500000,24.79,地下三樓
RPUNMLSKJIKGFAA97CB,坡道平面,3000000,24.79,地下四樓
RPPNMLOKJIKGFDA37CB,坡道平面,3650000,31.15,地下二樓
RPPNMLNKJIKGFAA96CB,其他,2000000,9.43,地下三樓
RPRNMLSKJIKGFAA67CB,坡道平面,3300000,24.79,地下四樓
RPTOMLSKJIKGFAA97CB,坡道平面,3000000,24.79,地下四樓
RPSOMLSKJIKGFAA87CB,坡道平面,3100000,22.83,地下三樓
RPUOMLSKJIKGFAA08CB,坡道平面,3000000,24.79,地下四樓
RPPNMLKLJIKGFDA07CB,坡道平面,3750000,37.03,地下四樓
RPQNMLSKJIKGFDA87CB,坡道平面,3750000,27.92,地下五樓含以下
RPQNMLKLJIKGFDA17CB,坡道平面,2700000,41.04,地下四樓
RPQNMLKLJIKGFDA17CB,坡道平面,2700000,41.04,地下四樓
RPTNMLOLJIKGFAA57CB,其他,1800000,9.43,地下三樓
RPPNMLOLJIKGFDA47CB,坡道平面,3800000,33.76,地下二樓
RPPNMLOLJIKGFAA17CB,其他,1800000,9.43,地下三樓
RPPNMLSKJIKGFAA47CB,坡道平面,3100000,22.83,地下四樓
RPQNMLRKJIKGFEA87CB,坡道平面,3500000,38.79,地下二樓
RPRNMLOLJIKGFEA77CB,坡道平面,3000000,38.79,地下四樓
RPVNMLOLJIKGFEA18CB,坡道平面,3000000,27.50,地下二樓
RPVNMLOLJIKGFEA18CB,坡道平面,2900000,25.72,地下二樓
RPPNMLMLJIKGFEA37CB,坡道平面,2000000,18.16,地下四樓
RPPNMLMLJIKGFEA37CB,坡道平面,2000000,18.16,地下四樓
RPPNMLMLJIKGFEA37CB,坡道平面,2000000,18.16,地下四樓
RPPNMLOLJIKGFEA57CB,坡道平面,2700000,38.79,地下五樓含以下
RPQNMLSKJIKGFBA77DB,坡道平面,5500000,27.26,地下二樓
RPWNMLOLJIKGFEA28CB,坡道平面,2900000,27.50,地下五樓含以下
RPQNMLSKJIKGFBA77DB,坡道平面,5600000,27.26,地下二樓
RPQNMLOLJIKGFEA67CB,坡道平面,2700000,38.79,地下五樓含以下
RPSNMLOLJIKGFEA87CB,坡道平面,3700000,42.31,地下二樓
RPTOMLOLJIKGFEA08CB,坡道平面,3500000,34.32,地下一樓
RPPNMLLLJIKGFEA27CB,坡道平面,2950000,26.01,地下四樓
RPRNMLPLJIKGFDA77CB,坡道平面,3250000,26.73,地下五樓含以下
RPPNMLPLJIKGFCA47CB,其他,2300000,13.03,地下二樓
RPPNMLNLJIKGFEA47CB,其他,2000000,24.39,地下四樓
RPPNMLKLJIKGFFA27CB,坡道平面,4500000,35.79,地下五樓含以下
RPTNMLOLJIKGFEA97CB,坡道平面,3200000,34.02,地下二樓
RPPNMLPKJIKGFBA27CB,升降機械,2100000,22.05,無固定樓層
RPQNMLQLJIKGFCA67CB,坡道平面,3400000,24.20,地下二樓
RPPNMLPLJIKGFFA77CB,坡道平面,3400000,44.11,地下一樓
RPPNMLQLJIKGFCA57CB,坡道平面,3200000,24.20,地下三樓
RPQNMLQLJIKGFBA67DB,塔式車位,2500000,14.58,
RPRNMLRLJIKGFCA87CB,坡道平面,3700000,28.07,地下一樓
RPSNMLRLJIKGFCA97CB,坡道平面,3500000,38.23,地下五樓含以下
RPPNMLRLJIKGFDA77CB,坡道平面,3700000,33.76,地下三樓
RPPNMLRLJIKGFDA77CB,坡道平面,3550000,31.15,地下三樓
RPTNMLRLJIKGFDA18CB,坡道平面,3750000,36.75,地下三樓
RPSNMLRLJIKGFDA08CB,坡道平面,3100000,36.75,地下五樓含以下
RPRNMLRLJIKGFDA97CB,坡道平面,4000000,36.75,地下二樓
RPSNMLLKJIKGFBA17CB,坡道平面,3200000,33.79,地下四樓
RPUNMLRLJIKGFDA28CB,坡道平面,4000000,36.75,地下二樓
RPVNMLRLJIKGFDA38CB,坡道平面,5000000,32.66,地下三樓
RPVNMLRLJIKGFDA38CB,坡道平面,5000000,32.66,地下三樓
RPPNMLRLJIKGFFA97CB,其他,2800000,12.82,地下五樓含以下
RPPNMLSLJIKGFAA57CB,坡道平面,3000000,22.83,地下四樓
RPQNMLSLJIKGFAA67CB,坡道平面,3400000,24.79,地下三樓
RPRNMLSLJIKGFAA77CB,坡道平面,3100000,24.79,地下四樓
RPSNMLSLJIKGFAA87CB,坡道平面,3100000,24.79,地下四樓
RPUNMLSLJIKGFAA08CB,坡道平面,3100000,24.79,地下四樓
RPVNMLSLJIKGFAA18CB,坡道平面,3700000,24.79,地下二樓
RPVNMLSLJIKGFAA18CB,坡道平面,3500000,22.83,地下二樓
RPWNMLSLJIKGFAA28CB,坡道平面,3300000,24.79,地下三樓
RPXNMLSLJIKGFAA38CB,坡道平面,3200000,24.79,地下三樓
RPXNMLSLJIKGFAA38CB,坡道平面,3000000,22.83,地下三樓
RPOOMLSLJIKGFAA57CB,坡道平面,3400000,24.79,地下三樓
RPOOMLSLJIKGFAA57CB,坡道平面,3200000,24.79,地下三樓
RPPOMLSLJIKGFAA67CB,坡道平面,3100000,22.83,地下三樓
