鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
西屯區,房地(土地+建物),臺中市西屯區華夏巷東二弄１５號,25.2,住,,,1151218,土地1建物1車位0,全,二層,透天厝,住家用,鐵筋加強磚造,0640506,27.63,4,2,2,有,無,3000000,108578,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLNKJHLGFCB37DA,27.63,0.0,0.0,無,
豐原區,房地(土地+建物),臺中市豐原區府前街１６２巷５２號,16.0,商,,,1150302,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0660118,67.53,3,2,2,有,無,7000000,103658,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLPJLHLGFDB97DA,67.53,0.0,0.0,無,
太平區,土地,長億段381地號,26.89,,,,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,22313,,0.0,0,包含公共設施保留地用地；,RPWNMLOJLHLGFJB88DA,0.0,0.0,0.0,無,
大雅區,房地(土地+建物)+車位,臺中市大雅區月祥路９０號二樓之１,15.23,住,,,1150203,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121228,77.06,3,2,2,有,有,5650000,73319,坡道平面,29.61,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJKHLGFHB38DA,38.06,0.0,3.81,有,0001
霧峰區,房地(土地+建物),臺中市霧峰區中正路４２３號,168.24,,鄉村區,乙種建築用地,1150202,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840427,368.76,9,2,5,有,無,29800000,80811,,0.0,0,,RPPNMLSJKHLGFIB38DA,355.66,0.0,13.1,有,
北屯區,房地(土地+建物),臺中市北屯區松竹路二段５０巷１８號,10.68,,,,1150202,土地1建物1車位0,全,一層,透天厝,商業用,鋼筋混凝土造,0770712,8.25,0,0,0,無,無,350000,42424,,0.0,0,,RPTQMLMJKHLGFBB77DA,8.25,0.0,0.0,無,
沙鹿區,土地,中清段733-1地號,185.12,農,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4900000,26469,,0.0,0,,RPPNMLTJKHLGFFB18DA,0.0,0.0,0.0,無,0002
大安區,土地,松子段170-13地號,887.82,,特定農業區,農牧用地,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2718000,3061,,0.0,0,,RPSNMLOJKHLGFEB87DA,0.0,0.0,0.0,無,
南區,房地(土地+建物)+車位,臺中市南區南和二街７號,32.27,住,,,1150204,土地1建物1車位2,一層，二層，三層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830718,188.54000000000002,0,0,0,無,有,9000000,47735,坡道機械,16.84,0,,RPWNMLQJKHLGFAB08DA,128.55,6.11,11.12,有,0003
豐原區,房地(土地+建物),臺中市豐原區直興街１２９巷１號十樓之２,5.48,商,,,1150206,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841020,49.81,2,1,1,有,有,2600000,52198,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKKHLGFDB37DA,29.57,0.0,3.6,有,
沙鹿區,土地,六福段322地號,166.32,住,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20000000,120250,,0.0,0,,RPWNMLPJKHLGFFB48DA,0.0,0.0,0.0,無,0004
東勢區,土地,石圍墻一段507地號,98.66,,山坡地保育區,丙種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,656582,6655,,0.0,0,,RPPNMLMKKHLGFGB67DA,0.0,0.0,0.0,無,
東勢區,土地,石圍墻一段507-1地號,58.01,,山坡地保育區,丙種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,386057,6655,,0.0,0,,RPRNMLMKKHLGFGB87DA,0.0,0.0,0.0,無,
