編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLOJLHLGFJB88DA,長億段,26.89,,1,1,全筆移轉,03810000
RPSNMLPJLHLGFDB97DA,豐原段,16.00,都市：其他:第二種商業區,4,2,持分移轉,06930007
RPQNMLLKKHLGFDB37DA,南村段,4.89,都市：其他:第二種商業區,100000,356,持分移轉,05990000
RPQNMLLKKHLGFDB37DA,南村段,.60,都市：其他:第三種住宅區。,100000,356,持分移轉,05990001
RPPNMLQKKHLGFDB77DA,西湳段,105.11,都市：其他:農業區,1,1,全筆移轉,00050002
RPSNMLOJKHLGFDB77DA,圳寮段,1.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,120000,42,持分移轉,03850000
RPPNMLTJKHLGFHB38DA,清雅段,15.23,都市：其他:第二種住宅區,200000,651,持分移轉,02620000
RPTQMLMJKHLGFBB77DA,長安段,10.68,都市：其他:市場用地,100000,140,持分移轉,03510000
RPOPMLTJKHLGFCB97DA,大明段,2.82,都市：其他:第一種商業區,1000,11,持分移轉,01910000
RPQNMLLKKHLGFCB27DA,國安段,3.84,都市：其他:第一之一種住宅區,10000,15,持分移轉,02920002
RPPNMLNKKHLGFDB47DA,市政段,2.68,都市：其他:第二種住宅區,30000,71,持分移轉,01210000
RPPNMLPLKHLGFIB38EA,三和段,3.01,都市：其他:第一種住宅區,1,1,全筆移轉,01350004
RPPNMLPLKHLGFIB38EA,三和段,4.63,,1,1,全筆移轉,01350010
RPRNMLPLKHLGFDB97DA,新圳段,26.30,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,06240001
RPXOMLMKKHLGFCB18DA,惠安段,29.26,都市：其他:第四之一種商業區,100000,978,持分移轉,02430000
RPPNMLTJKHLGFFB18DA,中清段,185.12,都市：其他:農業區,402497,56000,持分移轉,07330001
RPWNMLPJKHLGFFB48DA,六福段,166.32,都市：其他:第二種住宅區,1,1,全筆移轉,03220000
RPPNMLSJKHLGFIB38DA,峰谷段,168.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06380000
RPPNMLMLKHLGFEB57DA,劍井段,3667.96,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07970000
RPSNMLOJKHLGFEB87DA,松子脚段,887.82,非都市：特定農業區 ; 非都市編定：農牧用地,17,13,持分移轉,01700013
RPPNMLNKKHLGFKB18DA,龍崗段,136.78,都市：其他:第四種住宅區,1,1,全筆移轉,10490000
RPPNMLNKKHLGFKB18DA,龍崗段,316.01,都市：其他:第四種住宅區,365,161,持分移轉,13520000
RPQNMLOLKHLGFKB48DA,木本段,.83,都市：其他:道路用地,40,1,持分移轉,01100000
RPQNMLOLKHLGFKB48DA,木本段,5.40,都市：其他:第四種住宅區,40,1,持分移轉,01110000
RPQNMLOLKHLGFKB48DA,木本段,28.06,都市：其他:第四種住宅區,1,1,全筆移轉,01110004
RPQNMLOLKHLGFKB48DA,木本段,.27,都市：其他:第四種住宅區,60,1,持分移轉,01120000
RPQNMLOLKHLGFKB48DA,木本段,29.07,都市：其他:第四種住宅區,60,1,持分移轉,01130000
RPPNMLOLKHLGFKB38DA,木本段,.83,都市：其他:道路用地,40,1,持分移轉,01100000
