編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTJKHLGFHB38DA,坡道平面,0,29.61,地下一樓
RPPNMLNKKHLGFDB47DA,坡道平面,0,,地下一樓
RPXOMLMKKHLGFCB18DA,坡道平面,0,30.58,地下五樓含以下
RPXOMLMKKHLGFCB18DA,坡道平面,0,30.58,地下五樓含以下
RPXOMLMKKHLGFCB18DA,坡道平面,0,30.58,地下五樓含以下
RPQNMLKKKHLGFJB87DA,坡道機械,800000,7.43,地下一樓
RPXNMLTJKHLGFBB58DA,坡道平面,0,24.78,地下二樓
RPXOMLPJKHLGFBB28DA,坡道機械,0,,地下二樓
RPSOMLPLKHLGFBB97DA,坡道平面,0,24.79,地下二樓
RPVNMLTJKHLGFAB28DA,坡道平面,0,21.40,地下二樓
RPWNMLQJKHLGFAB08DA,坡道機械,0,8.42,地下一樓
RPWNMLQJKHLGFAB08DA,坡道機械,0,8.42,地下一樓
RPVNMLQLKHLGFAB18DA,坡道平面,0,18.18,地下三樓
RPUNMLPJKHLGFBB87DA,坡道平面,0,24.79,地下二樓
RPQOMLMJLHLGFHB97DA,坡道平面,0,,地下二樓
RPQNMLMKKHLGFJB08DA,坡道平面,0,21.23,地下一樓
RPTNMLPLKHLGFFB38DA,坡道平面,0,35.86,地下一樓
RPSOMLNJLHLGFAB57DA,坡道機械,0,,地下二樓
RPSOMLNJLHLGFAB57DA,坡道機械,0,,地下二樓
RPVOMLMKKHLGFCB97DA,坡道平面,0,25.72,地下一樓
RPVOMLMKKHLGFCB97DA,坡道平面,0,25.72,地下一樓
RPQWMLMJLHLGFCB28DA,坡道平面,0,12.95,地下一樓
RPRNMLNKKHLGFCB67EA,坡道平面,1300000,,地下二樓
RPXPMLMJLHLGFBB18DA,坡道機械,0,,地下一樓
RPSRMLMJLHLGFCB97DA,坡道平面,0,24.94,地下二樓
RPUNMLPLKHLGFKB98DA,坡道機械,0,14.30,地下一樓
