編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSKJIKGFDB38CB,口庄段,25.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,25,1,持分移轉,02680000
RPUNMLSKJIKGFDB38CB,口庄段,72.47,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02680005
RPSNMLPKJIKGFDB87CB,一心段,19.11,都市：住,100000,2058,持分移轉,04350000
RPVNMLSKJIKGFDB48CB,口庄段,25.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,25,1,持分移轉,02680000
RPVNMLSKJIKGFDB48CB,口庄段,61.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02680014
RPQNMLSKJIKGFDB97CB,中興段,16.78,都市：住,100000,3887,持分移轉,00270000
RPPNMLQKJIKGFFB87CB,興農段,18.82,都市：商,100000,556,持分移轉,06070000
RPTNMLSKJIKGFDB28CB,口庄段,25.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,25,1,持分移轉,02680000
RPTNMLSKJIKGFDB28CB,口庄段,61.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02680015
RPPNMLTKJIKGFFB18CB,鹿寮段,2.91,都市：住,100000,420,持分移轉,10850003
RPPNMLTKJIKGFFB18CB,鹿寮段,3.10,都市：住,100000,420,持分移轉,10860002
RPPNMLTKJIKGFFB18CB,鹿寮段,4.10,都市：住,100000,420,持分移轉,10870002
RPPNMLTKJIKGFFB18CB,鹿寮段,1.02,都市：住,100000,420,持分移轉,10880003
RPPNMLTKJIKGFFB18CB,鹿寮段,1.04,都市：住,100000,420,持分移轉,10880010
RPPNMLTKJIKGFFB18CB,鹿寮段,1.23,都市：住,100000,420,持分移轉,10880011
RPPNMLPKJIKGFCB47CB,三塊厝段,11.48,都市：住,100000,291,持分移轉,12860003
RPPNMLPKJIKGFCB47CB,三塊厝段,3.54,都市：住,100000,291,持分移轉,12900000
RPPNMLPKJIKGFCB47CB,永定段,.03,都市：住,100000,291,持分移轉,06730002
RPPNMLPKJIKGFCB47CB,永定段,.06,都市：住,100000,291,持分移轉,06730006
RPRNMLSKJIKGFCB97CB,鎮福段,22.48,都市：住,10000,185,持分移轉,03280000
RPTNMLTKJIKGFFB58CB,市鎮北段,10.47,都市：商,10000,19,持分移轉,04100000
RPQNMLSKJIKGFCB87CB,福德段,22.19,都市：住,100000,2915,持分移轉,02500000
RPRNMLRKJIKGFIB48CB,新榮和段,27.19,都市：住,10000,28,持分移轉,01380000
RPQNMLTKJIKGFIB58CB,五福南段,24.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1930,持分移轉,10290000
RPQNMLTKJIKGFIB58CB,五福南段,7.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1930,持分移轉,10980000
RPRNMLTKJIKGFIB68CB,五福南段,16.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1317,持分移轉,10290000
RPRNMLTKJIKGFIB68CB,五福南段,5.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1317,持分移轉,10980000
RPPNMLLLJIKGFDB27CB,中興段,20.05,都市：住,100000,4645,持分移轉,00270000
RPPNMLMLJIKGFCB27CB,惠民段,3.07,都市：其他:第六種新市政中心專用區,100000,264,持分移轉,01280000
RPPNMLMLJIKGFCB27CB,惠民段,4.79,都市：其他:第六種新市政中心專用區,100000,264,持分移轉,01290000
RPPNMLMLJIKGFCB27CB,惠民段,4.78,都市：其他:第六種新市政中心專用區,100000,264,持分移轉,01300000
RPPNMLMLJIKGFCB27CB,惠民段,3.40,都市：其他:第六種新市政中心專用區,100000,264,持分移轉,01310000
RPRNMLKLJIKGFCB27CB,昌明段,27.09,都市：住,100000,1852,持分移轉,01620002
RPRNMLTKJIKGFHB58CB,四德段,.19,都市：住,100000,823,持分移轉,04190004
RPRNMLTKJIKGFHB58CB,四德段,.13,都市：住,100000,823,持分移轉,04200007
RPRNMLTKJIKGFHB58CB,四德段,5.31,都市：住,100000,823,持分移轉,04210002
RPRNMLTKJIKGFHB58CB,四德段,11.68,都市：住,100000,823,持分移轉,04220000
