編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOKJIKGFCB77CC,昌明段,2383.17,都市：住,,,,02730000
RPQNMLRKJIKGFAB67CC,旱溪段,117.00,都市：住,,,,01430161
RPQNMLRKJIKGFAB67CC,旱溪段,15.00,都市：住,,,,01430369
RPQNMLRKJIKGFAB67CC,旱溪段,18.00,都市：住,,,,01430390
RPQNMLRKJIKGFAB67CC,旱溪段,13.00,都市：住,,,,01430396
RPOOMLRKJIKGFBB67CC,環中段,800.92,都市：商,,,,00810000
RPSOMLTKJIKGFAB18CC,半平厝段,92.00,都市：住,,,,02540007
RPQOMLTKJIKGFCB18CC,大墩段,24.85,都市：住,,,,04030000
RPSNMLTKJIKGFDB38CC,十五庄段,83.20,都市：住,,,,08100000
RPUNMLKLJIKGFAB47CC,城隍段三小段,99.00,都市：住,,,,00020043
RPUNMLLLJIKGFIB38CC,成功段,156.45,都市：住,,,,03670000
RPUNMLLLJIKGFIB38CC,成功段,18.87,都市：住,,,,03700000
RPROMLOLJIKGFBB77CC,洲際段,291.62,都市：住,,,,05230000
RPVNMLOLJIKGFCB18CC,民安段,326.64,都市：住,,,,00220005
RPVOMLPLJIKGFCB38CC,三塊厝段,20.82,都市：住,,,,09710000
RPPNMLPLJIKGFFB08DC,南簡段,94.00,都市：住,,,,07060004
RPQNMLPLJIKGFFB18DC,庄北段,67.00,都市：住,,,,01970000
RPUNMLQLJIKGFBB18CC,環中段,561.06,都市：商,,,,00850000
RPQNMLQLJIKGFCB87CC,新富段,1741.51,都市：住,,,,04330000
RPQNMLPLJIKGFCB97EC,黎明段,59.00,都市：住,,,,15140000
RPPNMLPLJIKGFJB58EC,新福段,21.60,都市：住,,,,00440000
RPQOMLQLJIKGFCB97CC,中仁段,2.75,都市：商,,,,03360000
RPQNMLQLJIKGFHB38CC,清雅段,63.07,都市：住,,,,03440000
RPOOMLRLJIKGFAB67CC,樹子腳段,14.43,都市：其他:市場用地,,,,13000015
RPQNMLQLJIKGFIB58DC,福大段,82.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01630000
RPQPMLRLJIKGFBB08CC,竹興段,374.00,都市：住,,,,01750000
RPQNMLRLJIKGFCB97CC,上石碑段,28.96,都市：商,,,,26710000
RPUNMLRLJIKGFCB38CC,惠泰段,78.02,都市：住,,,,00200004
RPUNMLSLJIKGFBB38CC,新賴厝廍二段,12.86,都市：住,,,,10620000
RPUNMLLJKIKGFCB67CC,大墩段,78.00,都市：商,,,,00640006
RPUNMLNJKIKGFAB67CC,練武段,27.47,都市：商,,,,10740000
RPPOMLNJKIKGFCB47CC,豐業段,125.18,都市：住,,,,02860003
RPXNMLOJKIKGFBB18CC,景福段,290.24,都市：住,,,,00600001
RPXNMLOJKIKGFCB28CC,大新段,252.00,都市：住,,,,06560000
RPPNMLSJKIKGFBB77CC,文正段,18.00,都市：住,,,,00930058
RPOOMLSJKIKGFAB67CC,建國段一小段,72.00,都市：商,,,,00110019
RPWNMLSJKIKGFBB48CC,洲際段,1743.13,都市：住,,,,03470000
RPPNMLSJKIKGFIB48CC,武德段,418.00,都市：工,,,,12200005
RPPNMLSJKIKGFIB48CC,武德段,17.41,都市：工,,,,12220003
RPPNMLSJKIKGFIB48CC,武德段,28.37,都市：工,,,,12280000
RPUNMLSJKIKGFIB98CC,新榮泉段,99.99,都市：住,,,,00590008
RPVNMLSJKIKGFJB56CC,義平段,191.00,都市：工,,,,12050000
RPVNMLSJKIKGFJB56CC,義平段,634.00,都市：工,,,,12060000
RPVNMLSJKIKGFJB56CC,義平段,4.00,都市：工,,,,12060003
RPRNMLTJKIKGFCB18CC,惠仁段,125.45,都市：住,,,,00550029
RPRNMLTJKIKGFCB18CC,惠仁段,3.51,都市：住,,,,00550023
RPRNMLTJKIKGFCB18CC,惠仁段,2.03,都市：住,,,,00550022
RPTNMLTJKIKGFCB38CC,龍富段,14.67,都市：住,,,,00860000
RPTNMLKKKIKGFCB57CC,建功段,11.60,都市：住,,,,00260000
RPQOMLLKKIKGFAB27CC,大益段,99.00,都市：其他:住2,,,,02790009
RPPOMLLKKIKGFCB37CC,惠信段,11.24,都市：住,,,,00550000
RPWOMLLKKIKGFCB08CC,昌明段,1639.68,都市：住,,,,00970000
RPQNMLNKKIKGFCB57CC,上石碑段,9.73,都市：住,,,,16170000
RPPNMLNKKIKGFCB47CC,保安段,9.99,都市：住,,,,04580000
RPVOMLMKKIKGFCB08CC,寶山段,22.69,都市：住,,,,08300000
RPPNMLPKKIKGFCB67CC,大進段,9.25,都市：住,,,,06170000
RPRNMLPKKIKGFDB97CC,豐原段,17.00,都市：商,,,,00950001
RPRNMLPKKIKGFDB97CC,豐原段,83.00,都市：商,,,,00950002
RPRNMLQKKIKGFCB97CC,龍富段,4488.02,都市：住,,,,00860000
RPQNMLQKKIKGFCB87CC,龍富段,4488.02,都市：住,,,,00860000
RPQNMLQKKIKGFDB97CC,大仁段,71.57,都市：商,,,,05270002
RPQNMLQKKIKGFJB58CC,和平段,67.00,都市：其他:平-市6,,,,11060000
RPOOMLRKKIKGFBB77CC,新賴厝廍三段,14.49,都市：住,,,,05000000
RPPOMLRKKIKGFAB77CC,中墩段二小段,20.53,都市：住,,,,00050000
