鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中正區,房地(土地+建物),基隆市中正區中船路１８號二樓,16.84,商,,,1150209,土地9建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0891229,113.36999999999999,3,2,2,有,有,8300000,73212,,0.0,0,,RPROMLKKKHLGFDC57DA,82.71,0.0,9.5,有,
信義區,房地(土地+建物),基隆市信義區義六路２３之３號,24.2,住,,,1150201,土地3建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710913,114.8,3,2,2,有,無,14800000,128920,,0.0,0,房屋180萬元+土地1300萬元＝1480萬元買賣總價金,RPXNMLPJKHLGFDC48DA,99.23,0.0,15.57,有,
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷３弄３號４樓,22.4,住,,,1150204,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,92.26,3,1,1,有,無,3550000,38478,,0.0,0,,RPTNMLNLKHLGFDC18EA,69.82,1.28,6.38,無,
中正區,房地(土地+建物),基隆市中正區正義路１００巷１０５號,51.0,都市：其他:住宅區,,,1150206,土地3建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0570514,48.6,2,2,1,有,無,300000,6173,,0.0,0,其他增建：壹樓空地陽台外推；其他增建；,RPQNMLNKKHLGFDC67DA,48.6,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區安樂路一段２６０號２樓,13.6,住,,,1150203,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761009,45.18,2,1,1,有,無,2500000,55334,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPQNMLPLKHLGFDC97DA,43.07,0.0,2.11,無,
七堵區,房地(土地+建物)+車位,基隆市七堵區俊賢路５３號,43.43,工,,,1150206,土地1建物1車位1,一層，騎樓,六層,華廈(10層含以下有電梯),工商用,鋼筋混凝土造,0810612,220.73,0,0,0,無,有,23369500,105874,坡道平面,0.0,0,,RPQNMLKKKHLGFDC37DA,178.35,0.0,0.0,有,
安樂區,建物,基隆市安樂區安一路１００巷４０號,0.0,,,,1150202,土地0建物1車位0,全,一層,透天厝,住家用,木造,0350500,69.09,2,1,1,有,無,1500000,21711,,0.0,0,建物坐落地號：西定段539地號；親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTNMLKKKHLGFDC67DA,69.09,0.0,0.0,無,
仁愛區,車位,基隆市仁愛區劉銘傳路３號底二層,4.16,商,,,1150202,土地4建物1車位1,地下二層,八層,其他,防空避難室兼停車場,鋼筋混凝土造,0821230,53.89,0,0,0,無,有,900000,,坡道平面,0.0,900000,僅車位交易；,RPPNMLNLKHLGFDC77EA,0.0,0.0,0.0,有,001
仁愛區,房地(土地+建物),基隆市仁愛區劉銘傳路４３巷３０號,27.75,住,,,1150224,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650217,52.7,2,1,1,有,無,3500000,66414,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQLKHLGFDC08EA,52.7,0.0,0.0,無,002
