編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLQLKHLGFDC38DA,坡道平面,0,24.45,地下一樓
RPQNMLQJKHLGFDC87DA,坡道平面,0,27.14,地下三樓
RPQNMLKKKHLGFDC37DA,坡道平面,0,,地下一樓
RPVOMLNKJHLGFDC18DA,坡道平面,0,,地下二樓
RPXOMLNKJHLGFDC38DA,坡道平面,0,,地下一樓
RPPNMLNLKHLGFDC77EA,坡道平面,900000,,地下二樓
RPPNMLRKJHLGFDC87DA,坡道平面,1250000,39.27,地下一樓
RPUNMLTJJHLGFDC48DA,坡道平面,1150000,39.27,地下二樓
RPWNMLTKJHLGFDC78DA,坡道平面,0,,地下一樓
RPQOMLQKJHLGFDC97DA,其他,0,,地下一樓
RPVNMLSLJHLGFDC68DA,坡道平面,0,31.21,地下三樓
RPPNMLTLJHLGFDC18DA,坡道平面,0,48.96,地下三樓
RPQNMLNJKHLGFDC57DA,坡道機械,0,18.99,地下一樓
RPWNMLPJKHLGFDC38DA,坡道平面,0,34.69,地下一樓
RPXNMLLLJHLGFDC18DA,坡道平面,0,27.14,地下一樓
RPRNMLQJKHLGFDC97DA,坡道平面,1800000,37.88,地下二樓
RPVNMLQJKHLGFDC38DA,坡道平面,0,,地下二樓
RPSOMLKKKHLGFDC67DA,坡道平面,800000,,地下一樓
RPTOMLKKKHLGFDC77DA,坡道平面,800000,,地下一樓
RPWNMLMKKHLGFDC18DA,坡道平面,1500000,36.20,地下三樓
RPUNMLOLKHLGFDC28DA,坡道平面,1800000,37.88,地下二樓
RPXNMLOLKHLGFDC58DA,坡道平面,1800000,37.88,地下二樓
RPXNMLOLKHLGFDC58DA,坡道平面,1800000,37.88,地下二樓
RPWNMLPKJHLGFDC38DA,坡道平面,0,33.05,地下二樓
RPTNMLQJKHLGFDC18DA,坡道平面,0,,地下三樓
RPOOMLMLJHLGFDC47DA,坡道平面,2200000,28.40,地下三樓
RPQNMLMJLHLGFDC57DA,坡道平面,1500000,34.17,地下一樓
RPOOMLKKKHLGFDC27DA,坡道機械,0,23.21,地下二樓
RPOOMLQJKHLGFDC77DA,坡道平面,0,,地下二樓
RPWNMLPLKHLGFDC58DA,坡道平面,1500000,,地下一樓
RPXNMLKKKHLGFDC08DA,升降機械,0,10.93,地下一樓
RPXNMLKKKHLGFDC08DA,升降機械,0,10.93,地下一樓
RPRNMLPLKHLGFDC08DA,坡道平面,0,,地下一樓
RPRNMLMJLHLGFDC67DA,坡道平面,0,,地下一樓
RPWNMLMJLHLGFDC18DA,坡道機械,0,23.21,地下二樓
RPVOMLNJLHLGFDC28DA,坡道機械,0,17.71,地下四樓
RPTNMLKMJHLGFDC77DA,坡道平面,0,20.77,地下三樓
RPWOMLNLKHLGFDC48DA,坡道機械,0,20.77,地下三樓
RPROMLSKKIKGFDC38DA,坡道平面,0,27.97,地下一樓
RPPNMLRKKIKGFDC97DA,坡道平面,0,24.52,地下三樓
RPPNMLRKKIKGFDC97DA,坡道平面,0,24.52,地下三樓
RPPNMLMLKIKGFDC57DA,坡道平面,0,,地下一樓
RPSOMLPKKIKGFDC18DA,坡道平面,0,,地下四樓
RPTNMLPLKIKGFDC28DA,坡道平面,1900000,30.44,地下一樓
RPQNMLPLKIKGFDC97DA,坡道平面,1800000,37.88,地下二樓
RPTNMLPLKIKGFDC28DA,坡道平面,2000000,37.88,地下一樓
RPQNMLPLKIKGFDC97DA,坡道平面,1800000,37.88,地下二樓
RPXNMLTJKIKGFDC88DA,坡道平面,0,,地下一樓
RPSNMLPLKIKGFDC18DA,坡道平面,2000000,37.88,地下一樓
RPUPMLTLKIKGFDC98DA,坡道平面,2000000,37.88,地下一樓
RPSNMLPLKIKGFDC18DA,坡道平面,2000000,37.88,地下一樓
RPVUMLMLKIKGFDC88DA,坡道平面,2090000,58.78,地下二樓
RPPNMLPLKIKGFDC87DA,坡道平面,2000000,37.88,地下一樓
RPPNMLOLKIKGFDC87EA,一樓平面,0,,一樓
RPRNMLPLKIKGFDC08DA,坡道平面,1800000,37.88,地下二樓
RPRNMLPLKIKGFDC08DA,坡道平面,1800000,37.88,地下二樓
RPPNMLTLKIKGFDC28DA,坡道平面,1200000,34.99,地下一樓
RPUPMLOLKIKGFDC48DA,坡道平面,0,,地下一樓
RPXNMLQJJHLGFDC48DA,坡道機械,0,,地下一樓
RPSNMLMKJHLGFDC67DA,坡道平面,0,30.47,地下一樓
RPTNMLLMKIKGFDC97DA,坡道平面,0,,地下二樓
RPUNMLRJJHLGFDC28DA,坡道平面,0,,地下一樓
RPWNMLQJJHLGFDC38DA,坡道平面,2000000,37.88,地下一樓
RPWNMLQJJHLGFDC38DA,坡道平面,1800000,37.88,地下二樓
RPUNMLPLKIKGFDC38DA,坡道平面,2000000,37.88,地下一樓
RPUNMLPLKIKGFDC38DA,坡道平面,2000000,39.04,地下一樓
RPVOMLMKJHLGFDC08DA,一樓平面,0,20.70,一樓
RPSPMLMKJHLGFDC87DA,坡道平面,2000000,37.88,地下一樓
RPSOMLRKKIKGFDC38DA,一樓平面,0,,一樓
RPQNMLLMKIKGFDC67DA,坡道平面,1800000,37.88,地下二樓
RPQNMLLMKIKGFDC67DA,坡道平面,1700000,30.44,地下二樓
RPRNMLNKJHLGFDC77EA,坡道平面,1400000,39.72,地下一樓
RPUOMLMJJHLGFDC87DA,坡道平面,1900000,30.44,地下一樓
RPUOMLMJJHLGFDC87DA,坡道平面,2000000,37.88,地下一樓
RPSOMLMJJHLGFDC67DA,坡道平面,1800000,37.88,地下二樓
RPSOMLMJJHLGFDC67DA,坡道平面,1800000,37.88,地下二樓
RPVOMLMJJHLGFDC97DA,坡道平面,1800000,37.88,地下二樓
RPPOMLOKJHLGFDC67DA,坡道平面,0,,地下一樓
RPROMLQKKIKGFDC18DA,坡道平面,0,,地下一樓
RPUOMLNKJHLGFDC08DA,坡道平面,0,,地下二樓
RPQNMLNLKIKGFDC77DA,坡道平面,0,47.67,地下一樓
RPUOMLRKKIKGFDC58DA,坡道平面,0,,地下一樓
RPVNMLQKJHLGFDC38DA,坡道平面,2000000,37.88,地下一樓
RPWNMLKLJHLGFDC97DA,坡道平面,0,24.17,地下二樓
RPQOMLNKJHLGFDC67DA,坡道平面,0,,二樓含以上
RPQOMLNKJHLGFDC67DA,坡道機械,0,,二樓含以上
RPQOMLQJJHLGFDC87DA,坡道平面,1200000,,地下二樓
RPOPMLNKJHLGFDC57DA,坡道平面,0,,地下二樓
RPVNMLNLJHLGFDC18DA,坡道平面,1450000,27.14,地下三樓
RPUNMLTKJHLGFDC58DA,坡道平面,2000000,33.03,地下二樓
RPPOMLQLJHLGFDC97DA,坡道平面,0,,地下一樓
RPUNMLLLJHLGFDC87DA,坡道平面,650000,34.17,地下二樓
RPWNMLRLJHLGFDC68DA,坡道平面,0,,地下二樓
RPPNMLMKJHLGFDC37DA,坡道平面,0,,地下二樓
RPOPMLMJLHLGFDC57DA,坡道平面,1000000,28.62,地下四樓
RPQOMLKLJHLGFDC47DA,坡道平面,1680000,32.08,地下二樓
RPTNMLQLJHLGFDC28DA,坡道平面,0,,地下一樓
RPWNMLNJKHLGFDC18DA,坡道平面,0,34.99,地下二樓
RPPNMLPJKHLGFDC67DA,坡道平面,0,35.96,地下三樓
RPQOMLPJKHLGFDC87DA,坡道平面,0,29.59,地下二樓
RPROMLKLJHLGFDC57DA,坡道平面,0,17.88,地下三樓
RPPOMLMJKHLGFDC47DA,坡道平面,0,,地下一樓
RPUNMLMJKHLGFDC87DA,坡道平面,0,,地下二樓
RPQOMLNJKHLGFDC67DA,坡道平面,0,,地下一樓
RPVNMLNLKHLGFDC28DA,坡道平面,0,24.96,地下二樓
RPOOMLLKKHLGFDC37DA,其他,0,,地下一樓
RPQNMLPJKHLGFDC77DA,坡道平面,1500000,40.03,地下二樓
RPQNMLPJKHLGFDC77DA,坡道平面,1500000,35.96,地下二樓
RPQNMLNLKHLGFDC77DA,其他,0,,地下一樓
RPQNMLQKJHLGFDC87DA,坡道平面,0,35.96,地下一樓
RPUNMLPLKHLGFDC38DA,坡道平面,2000000,39.27,地下三樓
RPVNMLRLJHLGFDC58DA,坡道平面,0,14.88,地下二樓
RPSNMLMJLHLGFDC77DA,坡道機械,0,,地下一樓
RPPOMLRLJHLGFDC08DA,坡道機械,0,17.52,地下三樓
RPOOMLMJLHLGFDC47DA,坡道平面,0,41.37,地下四樓
RPPOMLLKKHLGFDC47DA,坡道機械,0,17.52,地下一樓
RPRNMLMKKHLGFDC67DA,坡道機械,0,17.52,地下三樓
RPRNMLMKKHLGFDC67DA,坡道機械,0,17.52,地下三樓
RPTNMLOJLHLGFDC08DA,其他,700000,15.12,一樓
RPQNMLKKKIKGFDC37DA,坡道平面,0,36.36,地下二樓
RPSNMLSJKIKGFDC28DA,坡道平面,2000000,41.26,地下一樓
RPPNMLQKKIKGFDC97EA,坡道平面,0,,地下一樓
RPXNMLSKKIKGFDC88DA,坡道平面,0,34.17,地下二樓
RPWNMLLJKIKGFDC97DA,坡道平面,0,,地下二樓
RPOOMLTKKIKGFDC18DA,坡道平面,0,,地下一樓
RPQOMLSKKIKGFDC28DA,坡道平面,0,31.55,地下一樓
RPWNMLTKKIKGFDC88DA,坡道平面,0,12.90,地下一樓
RPVQMLMLKIKGFDC48DA,坡道平面,0,,地下二樓
RPPNMLNLKIKGFDC77EA,坡道平面,1500000,35.45,地下一樓
RPRQMLOLKIKGFDC28DA,坡道平面,0,,地下一樓
RPQNMLNLKIKGFDC87EA,坡道平面,1900000,29.66,地下二樓
RPVNMLSJKIKGFDC58DA,坡道平面,0,,地下二樓
RPPNMLMLKIKGFDC67EA,坡道平面,0,15.87,地下五樓含以下
RPUNMLRLJIKGFDC48DA,坡道機械,1600000,17.04,地下四樓
RPVNMLSLJIKGFDC68DA,升降機械,0,,一樓
RPWNMLQKKIKGFDC58DA,坡道平面,0,23.21,地下二樓
RPPNMLSLKIKGFDC18DA,坡道平面,950000,40.23,地下一樓
RPPNMLLMKIKGFDC57DA,坡道平面,0,,地下一樓
RPPNMLLMKIKGFDC67EA,坡道平面,1600000,35.45,地下一樓
RPOOMLPJJHLGFDC57DA,坡道平面,0,17.88,地下三樓
RPPNMLTJJHLGFDC08EA,坡道平面,1000000,33.90,地下二樓
RPQNMLQJLHLGFDC97DA,坡道平面,0,17.88,地下三樓
RPXNMLSJJHLGFDC68DA,坡道平面,1000000,,地下一樓
RPTPMLMLKIKGFDC18DA,坡道機械,0,20.77,地下二樓
RPPNMLNKJHLGFDC57EA,坡道平面,0,,地下二樓
RPRNMLQKJHLGFDC97DA,坡道平面,0,35.96,地下四樓
RPVOMLQJJHLGFDC38DA,坡道平面,1680000,32.08,地下一樓
RPTOMLRJJHLGFDC28DA,坡道平面,0,29.66,地下四樓
RPUOMLPKJHLGFDC28DA,坡道平面,0,29.66,地下三樓
RPPOMLKLJHLGFDC37DA,坡道平面,0,35.96,地下二樓
RPPNMLKMJIKGFDC37DA,坡道平面,1000000,38.46,地下二樓
RPXNMLMLJHLGFDC28DA,坡道平面,1700000,28.66,地下一樓
RPPNMLLLJHLGFDC47EA,坡道平面,0,,地下二樓
RPPNMLLLJHLGFDC47EA,坡道機械,0,,地下二樓
RPSNMLMLJHLGFDC77DA,坡道平面,0,,地下三樓
RPVNMLTJJHLGFDC58DA,其他,0,,地下一樓
RPTNMLMLJHLGFDC87DA,一樓平面,0,,一樓
RPPNMLKLJHLGFDC27DA,坡道平面,0,35.85,地下二樓
RPTNMLTLJHLGFDC58DA,坡道平面,0,29.66,地下二樓
RPTNMLNLJHLGFDC97DA,坡道機械,0,20.77,地下二樓
RPVNMLNJKHLGFDC08DA,坡道平面,0,,地下三樓
RPSNMLKKKHLGFDC57DA,坡道平面,0,35.96,地下四樓
RPPNMLNJKIKGFDC47DA,坡道平面,0,,地下一樓
RPPNMLQJKHLGFDC77DA,坡道機械,0,,地下一樓
RPPNMLOJKHLGFDC57DA,坡道平面,0,,地下一樓
RPPOMLTJKIKGFDC18DA,坡道平面,0,,地下一樓
RPQOMLSLJIKGFDC28DA,坡道平面,0,27.14,地下四樓
RPQNMLLJKIKGFDC37DA,坡道平面,0,34.92,地下二樓
RPOOMLPJKIKGFDC67DA,坡道機械,0,20.77,地下二樓
RPOOMLLKKIKGFDC37DA,坡道平面,0,,地下一樓
RPSNMLRKKIKGFDC28DA,坡道平面,0,38.44,地下一樓
RPQOMLPKKIKGFDC97DA,坡道平面,0,,地下三樓
RPSNMLTKKIKGFDC48DA,坡道平面,0,45.43,地下一樓
RPSNMLTKKIKGFDC48DA,坡道平面,0,45.43,地下一樓
RPQNMLPKKIKGFDC87DA,坡道機械,0,,地下一樓
RPTNMLLKKIKGFDC77DA,坡道平面,0,,地下二樓
RPPNMLQLKIKGFDC97DA,坡道平面,1750000,27.14,地下一樓
RPRNMLTLKIKGFDC48DA,坡道平面,0,,地下二樓
RPXPMLTLKIKGFDC66DA,坡道平面,0,,地下二樓
RPUOMLSKKIKGFDC68DA,坡道平面,1300000,46.69,地下一樓
RPUOMLSKKIKGFDC68DA,坡道平面,1300000,46.69,地下三樓
RPPNMLLJJHLGFDC17DA,坡道平面,0,,地下一樓
RPRNMLMJJHLGFDC47DA,坡道機械,0,18.48,地下二樓
RPRPMLOKJIKGFDC97DA,坡道平面,0,27.14,地下三樓
RPTOMLPJJHLGFDC08DA,坡道平面,0,33.05,地下二樓
RPSOMLNJJIKGFDC77DA,坡道平面,0,,地下二樓
RPQOMLMKJHLGFDC57DA,坡道平面,0,,地下一樓
RPQNMLTJJHLGFDC08DA,坡道機械,0,17.52,地下二樓
RPSNMLRKIIKGFDC08DA,坡道平面,0,,地下二樓
RPTNMLSKJIKGFDC38DA,坡道機械,1600000,17.04,地下四樓
RPOOMLMKJHLGFDC37DA,升降機械,0,,一樓
RPVNMLPKJHLGFDC28DA,坡道機械,0,17.52,地下四樓
RPVNMLPKJHLGFDC28DA,坡道機械,0,17.52,地下四樓
RPSOMLNKJHLGFDC87DA,坡道平面,1300000,34.05,地下一樓
RPQNMLRJJHLGFDC87DA,坡道機械,0,13.57,地下二樓
RPTOMLNKJHLGFDC97DA,坡道平面,0,,地下三樓
RPUUMLQLKIKGFDC56DA,坡道平面,0,,地下一樓
RPSNMLTLJHLGFDC48DA,坡道平面,2050000,36.75,地下二樓
RPUNMLSJKIKGFDC48DA,坡道平面,0,,地下二樓
RPQNMLQJJHLGFDC77DA,坡道平面,0,15.87,地下五樓含以下
RPSNMLTJKIKGFDC38DA,坡道平面,0,36.27,地下一樓
RPPNMLRKIIKGFDC77DA,坡道機械,0,15.05,地下一樓
RPOOMLNKJHLGFDC47DA,坡道平面,0,,地下二樓
RPXNMLSJKIKGFDC78DA,坡道平面,0,,地下二樓
RPQNMLSLKIKGFDC28DA,坡道機械,0,15.76,地下一樓
RPOPMLRJJHLGFDC87DA,坡道平面,0,35.43,地下二樓
RPXNMLLJKIKGFDC08DA,坡道平面,0,,地下二樓
RPXNMLLJKIKGFDC08DA,坡道平面,0,,地下二樓
RPXNMLLJKIKGFDC08DA,坡道平面,0,,地下二樓
RPPOMLLJKIKGFDC37DA,坡道平面,0,,地下二樓
RPPOMLLJKIKGFDC37DA,坡道平面,0,,地下二樓
RPVNMLLLJHLGFDC97DA,坡道平面,0,32.04,地下三樓
RPOOMLKLJIKGFDC27DA,坡道平面,0,35.96,地下二樓
RPPOMLKLJIKGFDC37DA,坡道平面,0,14.99,地下一樓
RPWNMLSJJHLGFDC58DA,坡道平面,0,17.88,地下三樓
RPRNMLLKKIKGFDC57DA,升降機械,0,13.78,地下一樓
RPXNMLPLRHKGFDC66DA,坡道平面,0,33.15,地下一樓
RPWNMLQLJIKGFDC58DA,坡道平面,0,17.88,地下三樓
RPVOMLSKKIKGFDC78DA,坡道平面,0,33.03,地下一樓
RPVOMLSKKIKGFDC78DA,坡道平面,0,33.03,地下一樓
RPVOMLSKKIKGFDC78DA,坡道平面,0,33.03,地下一樓
RPVOMLSKKIKGFDC78DA,坡道平面,0,33.03,地下一樓
RPVOMLSKKIKGFDC78DA,坡道平面,0,33.03,地下一樓
RPRNMLPJKHLGFDC87DA,坡道平面,0,35.43,地下二樓
RPXNMLRLJHLGFDC78DA,一樓平面,0,,一樓
RPWNMLLMKIKGFDC28DA,坡道平面,0,,地下二樓
RPWNMLLMKIKGFDC28DA,坡道平面,0,,地下二樓
RPPPMLKLJIKGFDC47DA,坡道平面,0,41.40,地下二樓
RPWNMLTJKIKGFDC78DA,一樓平面,0,,一樓
RPXOMLRJJHLGFDC68DA,坡道平面,0,35.96,地下三樓
RPUNMLTJKIKGFDC58DA,一樓平面,0,,一樓
RPRNMLQLKIKGFDC18DA,坡道平面,0,19.94,地下一樓
RPVNMLTJKIKGFDC68DA,一樓平面,0,,一樓
RPWOMLMKJHLGFDC18DA,坡道平面,1500000,36.26,地下一樓
RPSOMLMKJHLGFDC77DA,升降平面,1400000,36.26,地下二樓
RPSNMLOKKIKGFDC97DA,坡道平面,1800000,55.30,地下一樓
RPRNMLOKKIKGFDC87DA,坡道平面,1500000,36.26,地下一樓
RPROMLPJKIKGFDC97DA,坡道平面,1500000,33.37,地下一樓
RPTOMLPJKIKGFDC18DA,坡道平面,1600000,36.26,地下一樓
RPPOMLPJKIKGFDC77DA,升降平面,1300000,36.26,地下二樓
RPQRMLLJJIKGFDC67DA,坡道機械,1000000,17.71,地下四樓
RPWPMLLJJIKGFDC08DA,坡道平面,1700000,36.74,地下三樓
RPORMLLJJIKGFDC47DA,坡道機械,1000000,17.71,地下四樓
RPTPMLLJJIKGFDC77DA,坡道平面,1600000,36.74,地下四樓
RPXQMLLJJIKGFDC28DA,坡道機械,1200000,17.71,地下四樓
RPVPMLLJJIKGFDC97DA,坡道平面,1600000,36.74,地下四樓
RPTQMLLJJIKGFDC87DA,坡道機械,1000000,17.71,地下四樓
RPXPMLLJJIKGFDC18DA,坡道平面,1700000,36.74,地下三樓
RPRRMLLJJIKGFDC77DA,坡道機械,1200000,17.71,地下四樓
RPSOMLLJJIKGFDC57DA,坡道平面,1500000,36.74,地下四樓
RPUOMLLJJIKGFDC77DA,坡道平面,1700000,36.74,地下二樓
RPVOMLLJJIKGFDC87DA,坡道平面,1800000,36.74,地下二樓
