編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLMKIKGFDC57CB,坡道平面,1700000,23.75,地下一樓
RPPNMLQKKIKGFDC87CB,坡道平面,1800000,23.75,地下一樓
RPPNMLQLJHLGFDC87CB,坡道平面,2600000,26.57,地下二樓
RPQNMLQKKIKGFDC97CB,塔式車位,2000000,6.23,
RPPNMLMKKIKGFDC47CB,坡道平面,1900000,40.23,地下二樓
RPQNMLTJKHLGFDC18CB,坡道平面,1700000,20.82,地下二樓
RPPNMLTKJHLGFDC08CB,坡道平面,1900000,23.75,地下二樓
RPPNMLNKJHLGFDC47CB,坡道平面,1900000,23.75,地下二樓
RPPNMLTLJHLGFDC18CB,坡道平面,1700000,20.82,地下二樓
RPPNMLQJJHLGFDC67CB,坡道平面,1950000,35.68,地下三樓
RPPNMLKKKIKGFDC27CB,坡道平面,1800000,23.75,地下一樓
RPPNMLPKKIKGFDC77CB,坡道平面,1700000,20.82,地下二樓
RPPNMLNLKHLGFDC67CB,坡道平面,2000000,20.82,地下二樓
RPPNMLPJJHLGFDC57CB,坡道平面,1850000,23.75,地下二樓
RPPNMLNLKIKGFDC67CB,坡道平面,1800000,23.75,地下一樓
