編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPJKHLGFBD57DA,一樓平面,0,14.22,一樓
RPXNMLOLKHLGFCD58DA,坡道平面,1570000,26.25,地下二樓
RPWOMLNLKHLGFCD48DA,坡道平面,1750000,24.42,地下一樓
RPXNMLMKKHLGFCD28DA,坡道平面,0,,地下一樓
RPQOMLOJKHLGFCD77DA,坡道平面,0,35.85,地下二樓
RPTOMLTJKHLGFID56DA,坡道平面,1800000,25.44,地下三樓
RPPNMLQLKHLGFFD28DA,一樓平面,0,,一樓
RPPOMLNLKHLGFKD58DA,坡道平面,0,17.01,地下二樓
RPQNMLMKKHLGFHD08DA,坡道平面,0,17.78,地下一樓
RPQNMLMKKHLGFHD08DA,坡道平面,0,18.84,地下一樓
RPQNMLMJLHLGFAD37DA,坡道機械,0,18.54,地下四樓
RPQOMLOLKHLGFCD97DA,坡道平面,1410000,26.25,地下一樓
RPPNMLOJLHLGFCD67DA,坡道平面,0,32.15,地下一樓
RPPNMLOJLHLGFCD67DA,坡道平面,0,32.15,地下一樓
RPQOMLQJLHLGFID68DA,坡道平面,0,24.51,地下二樓
RPTNMLMKJHLGFCD77DA,坡道平面,1670000,26.25,地下二樓
RPUNMLSJJHLGFKD56DA,坡道平面,0,,地下三樓
RPXNMLSJJHLGFCD68DA,坡道平面,0,26.25,地下三樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下二樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下二樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下二樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下二樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下二樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下一樓
RPSNMLTKJHLGFFD68DA,坡道平面,0,29.95,地下一樓
RPPOMLQKJHLGFAD67DA,坡道平面,0,32.55,地下四樓
RPQNMLKLJHLGFGD87EA,一樓平面,0,14.65,一樓
RPQNMLKLJHLGFGD87EA,一樓平面,0,14.65,一樓
RPQNMLKLJHLGFGD87EA,一樓平面,0,14.65,一樓
RPQNMLKLJHLGFGD87EA,一樓平面,0,14.65,一樓
RPQNMLKLJHLGFGD87EA,一樓平面,0,14.65,一樓
RPQNMLKLJHLGFGD87EA,一樓平面,0,14.65,一樓
