鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新化區,房地(土地+建物)+車位,臺南市新化區中正路691巷32之1號旁,36.93,住,,,1141114,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.74,3,2,2,有,無,9730000,85828,一樓平面,14.85,1500000,,RPPNMLPKJIKGFHD18CB,蒔暙,A棟1號,
東區,房地(土地+建物)+車位,臺南市東區平實路,0.0,,,,1141112,土地0建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.46,2,2,1,有,無,10540000,122536,坡道平面,23.91,1650000,地上權房屋；,RPPNMLRKJIKGFCD87CB,清景麟夢公園,E棟7號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區南興街與大德一街交叉路口,32.37,住,,,1141114,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.29,3,2,2,有,無,11000000,90909,一樓平面,8.99,1700000,,RPPNMLRKJIKGFID48CB,安庭灣,A棟6號,
安南區,房地(土地+建物),臺南市安南區海佃路二段342巷,83.5,住,,,1141117,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,152.73,4,2,3,有,無,20800000,136188,,0.0,0,,RPPNMLSKJIKGFBD87CB,戀家23期,A棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1141116,土地2建物1車位1,八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.81,3,2,2,有,無,24550000,168784,坡道平面,26.8,2100000,,RPSNMLTKJIKGFCD38CB,國城?實,H棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1141113,土地2建物1車位1,二十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,25750000,178182,坡道平面,25.73,2050000,,RPTNMLTKJIKGFCD48CB,國城?實,H棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1141114,土地2建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,2,2,有,無,23990000,178679,坡道平面,25.73,2050000,,RPUNMLTKJIKGFCD58CB,國城?實,H棟6號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1141113,土地2建物1車位1,十七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.59,3,2,2,有,無,24230000,180226,坡道平面,26.8,2100000,,RPVNMLTKJIKGFCD68CB,國城?實,H棟6號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1141113,土地2建物1車位1,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,24900000,172543,坡道平面,25.73,1950000,,RPWNMLTKJIKGFCD78CB,國城?實,I棟2號,
