編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOKJIKGFBD57CC,32,435.87,住商用,鋼筋混凝土造,82年8月25日,三層,,
RPUNMLNKJIKGFKD88CC,33,24.00,住家用,鋼筋混凝土造,82年4月28日,三層,,
RPVNMLLKJIKGFKD78CC,2,66.75,工場（廠）,鋼骨造有牆,112年6月6日,一層,,
RPPNMLMKJIKGFBD37CC,4,170.50,停車空間、住宅,鋼筋混凝土造,110年6月28日,四層,,
RPOOMLOKJIKGFKD48CC,12,16.53,住宅，停車空間,鋼筋混凝土構造,102年8月21日,四層,,
RPPOMLOKJIKGFAD57CC,42,26.45,避難室、住宅,鋼筋混凝土造,73年4月20日,三層,,
RPUNMLRKJIKGFAD28CC,28,96.64,集合住宅,鋼筋混凝土造,87年5月12日,八層,,
RPUNMLRKJIKGFAD28CC,28,25.99,共有部分,鋼筋混凝土造,87年5月12日,八層,,
RPUNMLRKJIKGFAD28CC,28,16.56,共有部分,鋼筋混凝土造,87年5月12日,八層,,
RPSNMLOKJIKGFAD77CC,1,52.83,集合住宅,鋼骨鋼筋混凝土造、鋼筋混凝土造,114年4月15日,三十四層,,
RPSNMLOKJIKGFAD77CC,1,56.25,本共有部分之項目有管委會使用空間、門廳、機電設備空間、防災中心、儲藏室、樓梯間、消防水箱、防空避難室兼停車空間、車道、停車空間、自來水箱、梯廳、陽台、電信機房等１４項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,114年4月15日,三十四層,,
RPVNMLOKJIKGFAD08CC,48,23.29,住家用,鋼筋混凝土造,66年10月3日,四層,,
RPQOMLRKJIKGFAD97CC,4,42.16,集合住宅,鋼筋混凝土構造,110年10月26日,四層,,
RPPNMLRKJIKGFAD77CC,33,34.42,住家用,鋼筋混凝土造,81年12月22日,六層,,
RPPNMLRKJIKGFAD77CC,33,6.64,共有部分,鋼筋混凝土造,81年12月22日,六層,,
RPPNMLRKJIKGFAD77CC,33,8.14,共有部分,鋼筋混凝土造,81年12月22日,六層,,
RPRNMLRKJIKGFAD97CC,50,69.30,住家用,鋼筋混凝土造,64年6月8日,四層,,
RPTOMLRKJIKGFAD28CC,31,13.87,住家用,鋼筋混凝土造,83年6月24日,四層,,
RPPNMLRKJIKGFBD87CC,4,54.26,集合住宅,鋼筋混凝土造,111年3月4日,十七層,,
RPPNMLRKJIKGFBD87CC,4,56.90,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會使用空間、門廊、車道、垃圾暫存室、防災中心、梯間、陽台、樓梯間、機械室、水箱等１２項。,鋼筋混凝土造,111年3月4日,十七層,,
RPSOMLRKJIKGFAD18CC,29,59.03,住家用,鋼筋混凝土造,85年12月2日,十九層,,
RPSOMLRKJIKGFAD18CC,29,45.44,共有部分,鋼筋混凝土造,85年12月2日,十九層,,
RPSOMLRKJIKGFAD18CC,29,8.71,共有部分,鋼筋混凝土造,85年12月2日,十九層,,
RPROMLRKJIKGFAD08CC,8,202.21,集合住宅,鋼筋混凝土構造,107年2月14日,二十四層,,
RPROMLRKJIKGFAD08CC,8,159.47,本共有部分之項目有：門廊、門廳、車道、公共空間、管理委員會空間、防災中心、樓梯間、中繼機房、機電空間、電梯機房、水塔、防空避難室兼停車空間、停車空間、陽台、頂蓋型開放空間、梯廳、管道間,鋼筋混凝土構造,107年2月14日,二十四層,,
RPSNMLRKJIKGFBD18CC,27,65.78,住家用,鋼筋混凝土造,87年8月14日,十二層,,
RPSNMLRKJIKGFBD18CC,27,17.96,共有部分,鋼筋混凝土造,87年8月14日,十二層,,
RPUNMLRKJIKGFBD38CC,1,51.21,集合住宅,鋼筋混凝土造,114年4月2日,十四層,,
RPUNMLRKJIKGFBD38CC,1,11.29,共同使用部份,鋼筋混凝土造,114年4月2日,十四層,,
RPUNMLRKJIKGFBD38CC,1,42.05,共同使用部份,鋼筋混凝土造,114年4月2日,十四層,,
RPTNMLRKJIKGFBD28CC,1,86.10,集合住宅,鋼筋混凝土造,114年4月25日,十四層,,
RPTNMLRKJIKGFBD28CC,1,43.49,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間、電信室、門廊、安全梯空間、車道、樓梯間、排煙室、水箱、昇降機房、昇降機空間、梯廳等１３項,鋼筋混凝土造,114年4月25日,十四層,,
RPQNMLRKJIKGFKD88CC,20,9.68,辦公室,鋼筋混凝土造,94年7月8日,六層,,
RPQNMLRKJIKGFKD88CC,20,9.05,共同使用部份,鋼筋混凝土造,94年7月8日,六層,,
RPPNMLRKJIKGFGD38CC,36,30.00,住商用,鋼筋混凝土造,78年11月6日,五層,,
RPTNMLRKJIKGFKD56CC,32,80.92,住家用,鋼筋混凝土造,83年5月4日,十五層,,
RPTNMLRKJIKGFKD56CC,32,21.13,共同使用部份,鋼筋混凝土造,83年5月4日,十六層,,
RPTNMLRKJIKGFKD56CC,32,10.80,共同使用部份,鋼筋混凝土造,83年5月4日,十五層,,
RPUNMLRKJIKGFKD66CC,41,66.46,住家用,鋼筋混凝土造,73年10月29日,五層,,
RPUNMLRKJIKGFKD66CC,41,4.14,共同使用部份,鋼筋混凝土造,73年10月29日,五層,,
RPRNMLSKJIKGFAD08CC,21,87.41,集合住宅,鋼筋混凝土造,93年8月18日,十層,,
RPRNMLSKJIKGFAD08CC,21,15.08,共有部分,鋼筋混凝土造,93年8月18日,十層,,
RPRNMLSKJIKGFAD08CC,21,10.66,共有部分,鋼筋混凝土造,93年8月18日,十層,,
RPTNMLSKJIKGFAD28CC,46,66.22,住家用,鋼筋混凝土造,69年5月2日,四層,,
RPTNMLSKJIKGFAD28CC,46,12.77,共有部分,鋼筋混凝土造,69年5月2日,四層,,
RPUNMLSKJIKGFAD38CC,33,19.72,住家用,鋼筋混凝土造,81年12月9日,八層,,
RPUNMLSKJIKGFAD38CC,33,2.67,共有部分,鋼筋混凝土造,81年12月9日,八層,,
RPUNMLSKJIKGFAD38CC,33,2.72,共有部分,鋼筋混凝土造,81年12月9日,八層,,
