編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLJKHLGFFE67DA,山頂段,721.98,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02400001
RPUNMLTJKHLGFFE98DA,新本洲段,646.76,非都市：一般農業區 ; 非都市編定：農牧用地,3588,200,持分移轉,05160000
RPWNMLTJKHLGFFE56DA,德松段,5.77,都市：其他:住宅區,16,1,持分移轉,01770000
RPUNMLNJKHLGFFE38DA,金山段,688.14,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07350000
RPUNMLKKKHLGFCE87DA,鎮昌段,64.00,都市：其他:第四種住宅區,1,1,全筆移轉,02880058
RPOOMLKKKHLGFCE37DA,龍鳳段,72.00,都市：其他:第二種住宅區,1,1,全筆移轉,11230000
RPRNMLTJKHLGFKE56DA,寶來段,452.93,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,07860002
RPQNMLKKKHLGFKE28DA,美中段,17.17,都市：其他:商業區,1,1,全筆移轉,03100005
RPQNMLTJKHLGFKE09DA,和平段,313.65,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01170000
RPPNMLLKKHLGFFE87EA,筆秀段,.06,都市：其他:住宅區,27,1,持分移轉,04230000
RPPNMLTJKHLGFKE98DA,龍興段,237.67,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,11080000
RPPNMLLKKHLGFFE87EA,筆秀段,5.21,都市：其他:住宅區,27,1,持分移轉,04640000
RPPNMLLKKHLGFFE87EA,筆秀段,.04,都市：其他:住宅區,27,1,持分移轉,04720000
RPSNMLMJLHLGFLE88EA,港子埔段,20.38,都市：其他:住宅區,10000,245,持分移轉,19730002
RPPNMLKKKHLGFLE38EA,汕尾段,1.33,都市：其他:道路用地,3,1,持分移轉,11410003
RPPNMLKKKHLGFLE38EA,汕尾段,193.00,都市：其他:住宅區,1,1,全筆移轉,11410005
RPPNMLLJKHLGFJE08DA,賜福段,40.37,都市：其他:商業區,6,2,持分移轉,06960000
RPPNMLOJKHLGFJE38DA,南安老段,492.89,非都市：山坡地保育區 ; 非都市編定：農牧用地,36,8,持分移轉,07250005
RPRNMLKKKHLGFFE87DA,芋林段,6.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09950014
RPPNMLKKKHLGFJE08DA,和蓮段,5.16,都市：其他:住宅區,53,2,持分移轉,04180007
RPPNMLKKKHLGFJE08DA,和蓮段,97.55,都市：其他:住宅區,1,1,全筆移轉,04180008
RPWNMLKKKHLGFBE97DA,苓東段,2.12,都市：其他:第二種特定商業專用區,16,1,持分移轉,10130000
RPPNMLKKKHLGFJE08DA,和蓮段,1.11,都市：其他:住宅區,20,1,持分移轉,04190006
RPPNMLQJKHLGFJE58DA,南安老段,123.22,非都市：山坡地保育區 ; 非都市編定：農牧用地,36,2,持分移轉,07250005
RPWNMLKKKHLGFBE97DA,苓東段,19.25,都市：其他:第二種特定商業專用區,4,1,持分移轉,10170000
RPPNMLQJKHLGFHE38DA,瑪雅段,3577.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07370001
RPXOMLTJKHLGFAE88DA,東金段,5.60,都市：其他:第五種商業區,100000,333,持分移轉,01770000
RPPNMLKKKHLGFDE47DA,澄清段二小段,45.00,都市：其他:第五種住宅區,10000,289,持分移轉,00430000
RPSNMLQJKHLGFDE28DA,中華段一小段,20.80,都市：其他:道路用地,5,4,持分移轉,02410000
RPQNMLQJKHLGFDE08DA,中華段一小段,471.00,都市：其他:道路用地,1,1,全筆移轉,02520000
RPRNMLQJKHLGFDE18DA,中華段一小段,65.60,都市：其他:道路用地,5,1,持分移轉,02450000
RPUNMLMJKHLGFBE87DA,新興段一小段,2.03,都市：其他:第五種商業區,10000,15,持分移轉,21050000
RPUNMLMJKHLGFBE87DA,新興段一小段,.29,都市：其他:第三種特定商業專用區,10000,15,持分移轉,21050001
RPUNMLMJKHLGFBE87DA,新興段一小段,.08,都市：其他:道路用地,10000,15,持分移轉,21050002
RPOOMLMJKHLGFEE67DA,新庄段十三小段,3.06,都市：其他:第四種商業區,10000,28,持分移轉,14930000
RPOOMLOJKHLGFDE77DA,建生段,11.29,都市：其他:第四種住宅區,100000,137,持分移轉,00930000
RPPNMLNLKHLGFKE58DA,美濃段,16.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,829,持分移轉,47450020
RPPNMLNLKHLGFKE58DA,美濃段,65.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,47450026
RPSNMLTJKHLGFJE56DA,崙港段,101.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01780000
RPTNMLQJKHLGFCE28DA,盛興段,166.42,都市：其他:道路用地,3639,528,持分移轉,09570000
RPPNMLPLKHLGFHE48DA,中華段,65.76,都市：其他:住宅區,1,1,全筆移轉,03420000
RPVNMLOJKHLGFBE18DA,大統段一小段,8.10,都市：其他:第五種商業區,10000,65,持分移轉,09970000
RPPNMLLKKHLGFCE47DA,鎮昌段,16.70,都市：其他:第四種住宅區,100000,1144,持分移轉,02930059
RPPNMLNKKHLGFJE38DA,南安老段,123.22,非都市：山坡地保育區 ; 非都市編定：農牧用地,36,2,持分移轉,07250005
RPTNMLTJKHLGFLE86DA,黃厝段,2.28,都市：其他:道路用地,18,1,持分移轉,04270001
RPVNMLTJKHLGFLE07DA,黃厝段,6.85,都市：其他:道路用地,72,12,持分移轉,04270001
RPSNMLTJKHLGFLE76DA,黃厝段,2.28,都市：其他:道路用地,18,1,持分移轉,04270001
RPWNMLTJKHLGFLE17DA,黃厝段,2.28,都市：其他:道路用地,72,4,持分移轉,04270001
RPUNMLTJKHLGFLE96DA,黃厝段,.57,都市：其他:道路用地,72,1,持分移轉,04270001
RPXNMLTJKHLGFLE27DA,黃厝段,.57,都市：其他:道路用地,72,1,持分移轉,04270001
RPRNMLTJKHLGFLE66DA,黃厝段,9.13,都市：其他:道路用地,9,2,持分移轉,04270001
RPTOMLMKKHLGFCE08DA,愛群段,11.32,都市：其他:第四種商業區,5023,26,持分移轉,07180000
RPQNMLLKKHLGFFE87DA,友情段,22.35,都市：其他:道路用地,1,1,全筆移轉,04400000
