編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLOKJIKGFAE97CC,龍中段,11.09,都市：住,,,,01030000
RPUNMLLKJIKGFCE97CC,山明段,341.00,都市：住,,,,07620003
RPQOMLRKJIKGFAE08CC,東金段,3.42,都市：商,,,,17660000
RPTNMLOKJIKGFIE78CC,八德段,102.11,都市：住,,,,01860000
RPXNMLRKJIKGFBE78CC,意誠段,.00,都市：商,,,,01990000
RPVOMLRKJIKGFBE68CC,新興段四小段,87.00,都市：商,,,,07290000
RPVOMLRKJIKGFBE68CC,新興段四小段,86.00,都市：商,,,,07300000
RPWNMLRKJIKGFBE68CC,五塊厝段,24.90,都市：商,,,,16150000
RPWNMLOKJIKGFFE78CC,岡山段,219.00,都市：商,,,,02430000
RPWNMLOKJIKGFFE78CC,岡山段,22.00,都市：商,,,,02270040
RPWNMLOKJIKGFFE78CC,岡山段,3.00,都市：商,,,,02270053
RPTOMLSKJIKGFEE88CC,德昌段,10.06,都市：住,,,,00180000
RPPOMLSKJIKGFEE48CC,左南段,21.45,都市：住,,,,07000000
RPPOMLSKJIKGFEE48CC,左南段,.05,都市：住,,,,07000018
RPTNMLRKJIKGFFE78CC,大仁段,83.00,都市：住,,,,04310000
RPSNMLSKJIKGFGE88CC,鳳山段草店尾小段,15.42,都市：商,,,,00720000
RPVNMLTKJIKGFEE09CC,加昌段,278.00,都市：住,,,,02060000
RPWNMLKLJIKGFAE97CC,前金段,12.05,都市：商,,,,00640003
RPQOMLKLJIKGFCE67CC,坪鳳段,23.18,都市：住,,,,05380000
RPQPMLKLJIKGFCE77CC,草衙段三小段,26.74,都市：住,,,,09200000
RPPOMLKLJIKGFEE77CC,和平段四小段,22.68,都市：住,,,,01110000
RPTNMLKLJIKGFEE08CC,莒光段二小段,42.00,都市：住,,,,04870000
RPQOMLKLJIKGFEE87CC,和平段四小段,22.68,都市：住,,,,01110000
RPSNMLLLJIKGFFE18CC,代天府段,2735.01,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01990000
RPSNMLLLJIKGFFE18CC,代天府段,340.29,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01990002
RPTNMLLLJIKGFFE28CC,代天府段,2188.77,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01470000
RPTNMLLLJIKGFFE28CC,代天府段,3373.01,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01470005
RPTNMLLLJIKGFFE28CC,代天府段,1073.28,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01990003
RPUNMLLLJIKGFFE38CC,瓊安段,246.89,都市：工,,,,00090005
RPUNMLLLJIKGFFE38CC,瓊安段,248.91,都市：農,,,,00110008
RPUNMLLLJIKGFFE38CC,瓊安段,102.47,都市：農,,,,00110000
RPTNMLOLJIKGFBE18CC,意誠段,.00,都市：商,,,,01990000
RPVNMLOLJIKGFCE48CC,鎮昌段,42.00,都市：住,,,,02880000
RPVNMLOLJIKGFDE58CC,灣內段,188.40,都市：工,,,,03190000
RPVNMLOLJIKGFDE58CC,灣內段,285.92,都市：工,,,,03200000
RPVNMLOLJIKGFDE58CC,灣內段,19.69,都市：工,,,,03210000
RPVNMLOLJIKGFDE58CC,灣內段,30.52,都市：工,,,,03180000
RPVNMLOLJIKGFBE38CC,意誠段,11.97,都市：商,,,,01990000
RPRNMLPLJIKGFAE97CC,青海段,5.04,都市：商,,,,01720000
RPXNMLOLJIKGFIE66CC,竹後段,601.00,都市：住,,,,08950000
RPPNMLOLJIKGFJE58CC,金平段,197.96,都市：住,,,,00870008
RPSOMLOLJIKGFFE58CC,大仁段,127.00,都市：住,,,,06290000
RPSOMLOLJIKGFFE58CC,大仁段,2.00,都市：其他:道路用地,,,,06290001
RPTOMLOLJIKGFFE68CC,大仁段,127.00,都市：住,,,,06290000
RPTOMLOLJIKGFFE68CC,大仁段,2.00,都市：其他:道路用地,,,,06290001
RPWNMLPLJIKGFGE09CC,華英段,108.10,都市：住,,,,00640008
RPPNMLPLJIKGFIE58CC,仁新段,433.00,都市：農,,,,16080000
RPPNMLPLJIKGFIE58CC,仁新段,962.00,都市：農,,,,16070000
RPPNMLPLJIKGFIE58CC,仁新段,228.00,都市：農,,,,16780000
RPWOMLPLJIKGFBE68CC,意誠段,1.45,都市：商,,,,07630000
RPWOMLPLJIKGFBE68CC,意誠段,.36,都市：商,,,,07630001
RPSNMLQLJIKGFBE28CC,苓東段,69.00,都市：商,,,,05510000
RPPNMLQLJIKGFBE97CC,意誠段,.00,都市：商,,,,01990000
RPOOMLQLJIKGFEE28CC,後勁段四小段,43.00,都市：住,,,,02950000
RPTNMLRLJIKGFBE48CC,武聖段,37.31,都市：住,,,,01720000
RPUNMLQLJIKGFGE98CC,明頂段,100.00,都市：住,,,,00260051
RPSOMLRLJIKGFIE56CC,八德段,90.31,都市：住,,,,13160000
RPVOMLRLJIKGFIE86CC,鳳松段,55.00,都市：農,,,,01130000
RPTOMLSLJIKGFCE78CC,鳳宮段,16.04,都市：住,,,,05570000
RPVNMLQLJIKGFGE09CC,鳳山段草店尾小段,17.00,都市：商,,,,01750002
RPXNMLSLJIKGFEE66CC,惠民段,15.02,都市：住,,,,00630000
RPXOMLSLJIKGFEE76CC,援中段二小段,10.27,都市：住,,,,00720000
RPUNMLSLJIKGFGE56CC,五甲段,790.00,都市：住,,,,11150000
RPUNMLSLJIKGFGE56CC,五甲段,510.42,都市：住,,,,11160002
RPSNMLSLJIKGFIE56CC,仁雄段,61.29,都市：住,,,,02390006
RPTNMLSLJIKGFIE66CC,八卦段,15.85,都市：住,,,,00390000
RPTNMLSLJIKGFIE66CC,八卦段,3.60,都市：住,,,,00360000
RPTNMLSLJIKGFIE66CC,北屋段,15.25,都市：住,,,,00890000
RPPOMLSLJIKGFFE68CC,大紅段,66.00,都市：商,,,,03580005
RPVNMLLJKIKGFCE08CC,桂林段,86.00,都市：住,,,,01460008
RPOOMLLJKIKGFCE47CC,愛群段,1.89,都市：商,,,,29350000
RPOOMLLJKIKGFCE47CC,愛群段,.75,都市：商,,,,29350001
RPROMLSLJIKGFDE68CC,灣和段,86.70,都市：住,,,,00030006
RPUNMLLJKIKGFDE08CC,澄清段一小段,23.83,都市：住,,,,02240000
RPTNMLLJKIKGFEE08CC,清豐段,2.16,都市：住,,,,02270519
RPTNMLLJKIKGFEE08CC,清豐段,15.99,都市：住,,,,02270520
RPWNMLLJKIKGFFE48CC,信義段,17.63,都市：住,,,,00430000
RPVNMLLJKIKGFFE38CC,信義段,14.60,都市：住,,,,00430000
RPWNMLMJKIKGFBE18CC,五塊厝段四小段,5.68,都市：商,,,,27520000
RPTNMLMJKIKGFBE87CC,苓洲段,204.00,都市：商,,,,07720000
RPQNMLMJKIKGFCE67CC,高松段一小段,5.00,都市：住,,,,13380023
RPQNMLMJKIKGFCE67CC,高松段一小段,22.17,都市：住,,,,13380014
RPQNMLMJKIKGFCE67CC,高松段一小段,40.00,都市：住,,,,13380020
RPSNMLMJKIKGFEE08CC,和平東段,9.19,都市：住,,,,00130000
RPPNMLMJKIKGFEE77CC,和平段五小段,27.82,都市：住,,,,00390000
RPPNMLMJKIKGFFE87CC,典寶段,46.46,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04000000
RPWOMLMJKIKGFEE58CC,藍田西段,5.71,都市：住,,,,01440000
RPPNMLNJKIKGFAE47CC,大榮段,48.00,都市：住,,,,04480000
RPPNMLNJKIKGFAE47CC,大榮段,87.00,都市：住,,,,04490000
RPVNMLMJKIKGFFE48CC,灣裡西段,2365.43,都市：工,,,,05960000
RPVNMLMJKIKGFFE48CC,灣裡西段,621.46,都市：工,,,,05970000
RPQNMLNJKIKGFEE97CC,新庄段十三小段,1702.00,都市：商,,,,14440000
RPSOMLNJKIKGFEE28CC,高昌段,25.34,都市：商,,,,00620000
RPOOMLMJKIKGFFE87CC,橋北段,11.00,都市：其他:分區界線尚未分割,,,,09550000
RPOOMLMJKIKGFFE87CC,橋北段,89.00,都市：住,,,,09590000
RPXNMLNJKIKGFGE88CC,七老爺段一甲小段,57.00,都市：住,,,,14300008
RPPNMLNJKIKGFJE38CC,福東段,91.96,都市：住,,,,10650000
RPPNMLNJKIKGFLE58CC,大寮段,120.00,都市：其他:道路用地,,,,24680005
RPPNMLNJKIKGFIE28CC,鳳松段,16.03,都市：農,,,,01110000
RPTNMLOJKIKGFBE08CC,意誠段,33.87,都市：商,,,,01740000
RPTNMLOJKIKGFBE08CC,意誠段,82.38,都市：商,,,,01750000
RPRNMLOJKIKGFCE97CC,大業段,64.00,都市：住,,,,01100000
RPSNMLOJKIKGFCE08CC,獅甲段,2.25,都市：商,,,,03300000
RPSNMLOJKIKGFCE08CC,獅甲段,7.12,都市：商,,,,03310000
RPUOMLOJKIKGFBE28CC,林德官段,18.79,都市：商,,,,11980001
RPQNMLOJKIKGFFE18CC,燕中段,357.59,都市：住,,,,00210000
RPQNMLOJKIKGFIE48CC,澄德段,14.71,都市：商,,,,00640000
RPPNMLOJKIKGFIE38CC,大脚腿段,515.00,都市：農,,,,12100000
RPTNMLPJKIKGFBE18CC,意誠段,40.80,都市：商,,,,01990000
RPPNMLPJKIKGFAE67CC,青海段,135.56,都市：住,,,,02460021
RPRNMLPJKIKGFCE08CC,獅甲段,6.43,都市：商,,,,01580001
RPRNMLPJKIKGFCE08CC,獅甲段,5.92,都市：商,,,,01600001
RPPNMLPJKIKGFFE18CC,信義段,18.00,都市：住,,,,00430000
RPQNMLSJKIKGFCE28CC,青島段一小段,15.21,都市：住,,,,09910002
RPVNMLSJKIKGFDE88CC,大順段,22.54,都市：商,,,,04960000
RPQNMLSJKIKGFEE48CC,和平東段,9.85,都市：住,,,,00130000
RPUNMLSJKIKGFEE88CC,福山段,9.35,都市：商,,,,03430001
RPQNMLSJKIKGFGE68CC,新甲段,57.00,都市：工,,,,01310025
RPRNMLPJKIKGFIE68CC,後港段,157.38,都市：農,,,,06450011
RPRNMLPJKIKGFIE68CC,後港段,46.28,都市：農,,,,06450012
RPQNMLPJKIKGFIE58CC,後港段,128.63,都市：農,,,,06450005
RPQNMLPJKIKGFIE58CC,後港段,66.12,都市：農,,,,06450012
RPRNMLTJKIKGFCE48CC,青島段二小段,101.00,都市：住,,,,05940000
RPUNMLTJKIKGFCE78CC,中安段,74.57,都市：商,,,,00950068
RPTNMLTJKIKGFBE58CC,過田子段,89.00,都市：商,,,,04660003
RPUNMLTJKIKGFEE98CC,清楠段,34.32,都市：住,,,,03110000
RPPNMLTJKIKGFEE48CC,德昌段,10.90,都市：住,,,,00590000
RPUNMLTJKIKGFFE09CC,協榮段,80.00,都市：住,,,,09090000
RPQNMLTJKIKGFIE98CC,仁雄段,63.71,都市：住,,,,02390002
RPRNMLKKKIKGFBE57CC,意誠段,5.77,都市：商,,,,01990000
RPWNMLKKKIKGFCE18CC,仁愛段,35.00,都市：商,,,,03350084
RPOPMLKKKIKGFDE67CC,鼎泰段一小段,72.60,都市：住,,,,05900000
RPVPMLKKKIKGFDE38CC,大順段,6.66,都市：商,,,,02090000
RPXNMLLKKIKGFAE18CC,青海段,13.68,都市：住,,,,00740000
RPSOMLLKKIKGFAE77CC,龍華段八小段,3.88,都市：商,,,,22820000
RPUNMLLKKIKGFBE97CC,福東段,79.00,都市：住,,,,12700000
RPVPMLLKKIKGFEE58CC,德昌段,11.77,都市：住,,,,01600000
RPUNMLLKKIKGFFE38CC,後壁田段,14.48,都市：住,,,,03670000
RPXNMLMKKIKGFDE58CC,覆鼎金段覆鼎金小段,97.00,都市：住,,,,16100028
RPQNMLMKKIKGFGE18CC,文山段,34.00,都市：住,,,,03050010
RPSNMLMKKIKGFLE88CC,翁公園段,73.00,都市：住,,,,40210005
RPTNMLNKKIKGFEE38CC,果貿段,28.34,都市：住,,,,00020006
RPPNMLPKKIKGFBE87CC,意誠段,8.91,都市：商,,,,01990000
RPTNMLPKKIKGFBE28CC,意誠段,.00,都市：商,,,,01990000
RPOOMLPKKIKGFBE87CC,苓東段,70.00,都市：商,,,,05500000
RPQNMLPKKIKGFIE68CC,豐禾段,61.73,都市：住,,,,12280000
RPRNMLPKKIKGFJE88CC,寧靖段,1083.60,都市：其他:停車場用地,,,,10480000
RPRNMLPKKIKGFJE88CC,寧靖段,150.39,都市：其他:停車場用地,,,,10510000
RPSNMLQKKIKGFDE48CC,鼎泰段,33.15,都市：商,,,,13530000
RPQOMLQKKIKGFDE38CC,建工段,7.42,都市：商,,,,07980000
RPTOMLQKKIKGFEE78CC,德昌段,19.26,都市：住,,,,00590000
RPQNMLQKKIKGFFE48CC,忠誠段,110.00,都市：住,,,,00960000
RPOOMLRKKIKGFBE08CC,林興段,628.00,都市：住,,,,10820000
RPOOMLRKKIKGFBE08CC,林興段,7.00,都市：住,,,,10820001
RPPNMLRKKIKGFEE38CC,後勁段二小段,8.09,都市：商,,,,10430000
RPVOMLRKKIKGFEE09CC,藍田中段,21.87,都市：住,,,,00320000
RPSOMLRKKIKGFEE78CC,左東段,65.00,都市：住,,,,03460001
RPSOMLRKKIKGFEE78CC,左東段,395.00,都市：住,,,,05020000
RPPPMLRKKIKGFEE58CC,援中段一小段,157.14,都市：住,,,,02680000
RPSNMLRKKIKGFFE78CC,成功段,78.00,都市：住,,,,04910001
RPRNMLRKKIKGFFE68CC,芋林段,3438.45,都市：農,,,,00070000
RPPNMLRKKIKGFGE58CC,新甲段,28.73,都市：住,,,,10310008
RPTNMLRKKIKGFGE98CC,大貝湖段,12.66,都市：住,,,,01020000
RPTNMLRKKIKGFIE56CC,草潭段,90.14,都市：住,,,,11190002
RPPNMLRKKIKGFLE09CC,赤崁段潮州寮三小段,1563.00,都市：工,,,,65680037
RPPNMLSKKIKGFBE18CC,過田子段,57.00,都市：商,,,,05050000
RPPNMLSKKIKGFBE18CC,過田子段,13.00,都市：其他:道路用地,,,,05050001
RPSNMLSKKIKGFBE48CC,意誠段,.00,都市：商,,,,01990000
RPXNMLSKKIKGFBE98CC,苓洲段,5.54,都市：商,,,,01940000
RPTNMLSKKIKGFCE68CC,青島段一小段,36.37,都市：住,,,,08920000
RPUOMLSKKIKGFBE78CC,林德官段,5.68,都市：商,,,,12940023
