編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLNKJIKGFAE77CC,坡道平面,0,31.55,地下二樓
RPTNMLOKJIKGFAE97CC,坡道平面,0,32.79,地下五樓含以下
RPUOMLOKJIKGFDE48CC,坡道平面,0,,地下一樓
RPRNMLQKJIKGFCE18CC,坡道平面,0,,地下五樓含以下
RPSNMLRKJIKGFAE18CC,坡道平面,0,21.22,地下二樓
RPXNMLRKJIKGFBE78CC,坡道平面,2500,14.65,地下二樓
RPTNMLRKJIKGFDE58CC,坡道平面,0,18.49,地下三樓
RPROMLRKJIKGFDE48CC,坡道機械,0,10.97,地下三樓
RPSPMLOKJIKGFEE48CC,坡道平面,0,24.27,地下一樓
RPVNMLOKJIKGFFE68CC,一樓平面,0,14.18,一樓
RPOPMLNKJIKGFEE97CC,坡道平面,0,18.47,地下二樓
RPPNMLRKJIKGFEE28CC,坡道平面,0,23.42,地下一樓
RPOPMLRKJIKGFEE38CC,坡道機械,0,14.60,地下三樓
RPRNMLRKJIKGFIE88CC,一樓平面,0,9.93,一樓
RPOOMLSKJIKGFEE38CC,坡道機械,0,,地下二樓
RPTOMLSKJIKGFEE88CC,坡道平面,0,24.83,地下四樓
RPSOMLSKJIKGFEE78CC,坡道機械,0,,地下一樓
RPQNMLTKJIKGFBE28CC,升降平面,3000,,地下三樓
RPOOMLTKJIKGFDE38CC,坡道平面,0,25.51,地下一樓
RPPNMLSKJIKGFGE58CC,坡道平面,0,18.97,地下三樓
RPQOMLTKJIKGFDE58CC,坡道平面,0,,地下三樓
RPPNMLTKJIKGFLE56CC,一樓平面,0,,一樓
RPSNMLKLJIKGFAE57CC,坡道平面,0,26.65,地下一樓
RPVNMLTKJIKGFGE66CC,坡道平面,0,25.32,地下二樓
RPQOMLKLJIKGFDE77CC,坡道平面,0,21.48,地下二樓
RPVOMLKLJIKGFEE38CC,坡道機械,0,6.01,地下四樓
RPQNMLKLJIKGFGE97CC,坡道平面,0,18.85,地下一樓
RPRNMLKLJIKGFIE28CC,坡道機械,0,,地下一樓
RPWNMLLLJIKGFAE08CC,坡道平面,0,15.51,地下一樓
RPUNMLLLJIKGFCE08CC,坡道平面,0,24.86,地下三樓
RPRNMLLLJIKGFCE77CC,坡道平面,0,28.39,地下四樓
RPXNMLLLJIKGFDE48CC,坡道平面,0,20.81,地下二樓
RPOOMLLLJIKGFEE77CC,坡道機械,0,16.53,地下一樓
RPPNMLLLJIKGFBE47CC,坡道平面,0,28.74,地下一樓
RPPNMLNLJIKGFCE77CC,升降機械,0,,地下一樓
RPQNMLNLJIKGFEE08CC,坡道平面,0,,地下一樓
RPTNMLOLJIKGFBE18CC,坡道平面,1800,12.65,地下五樓含以下
RPSOMLOLJIKGFEE48CC,坡道平面,0,18.67,地下一樓
RPQOMLOLJIKGFEE28CC,坡道機械,0,9.25,地下二樓
RPXOMLOLJIKGFEE98CC,坡道平面,0,13.50,地下一樓
RPSPMLOLJIKGFDE48CC,升降機械,0,7.50,地下二樓
RPVNMLOLJIKGFGE88CC,坡道機械,0,9.78,地下四樓
RPXOMLOLJIKGFDE88CC,升降機械,0,25.50,地下三樓
RPPOMLPLJIKGFAE87CC,坡道機械,0,6.66,地下三樓
RPVNMLOLJIKGFFE78CC,坡道平面,0,,地下二樓
RPPNMLOLJIKGFIE48CC,坡道平面,2500,26.15,地下二樓
RPWNMLPLJIKGFCE68CC,坡道平面,0,,地下五樓含以下
RPSNMLPLJIKGFDE38CC,坡道機械,0,39.47,地下二樓
RPPOMLPLJIKGFEE28CC,坡道平面,0,19.92,地下二樓
RPPPMLPLJIKGFEE38CC,坡道平面,0,12.50,地下四樓
RPTNMLPLJIKGFGE78CC,坡道平面,0,26.03,地下一樓
RPVOMLPLJIKGFGE09CC,坡道平面,0,22.58,地下二樓
RPUPMLPLJIKGFBE58CC,塔式車位,0,8.22,
RPRNMLQLJIKGFAE08CC,坡道平面,0,51.12,地下四樓
RPPNMLQLJIKGFBE97CC,坡道平面,2200,12.65,地下四樓
RPWNMLQLJIKGFCE78CC,坡道平面,0,8.14,地下四樓
RPQNMLQLJIKGFEE38CC,坡道機械,0,,地下一樓
RPXNMLQLJIKGFEE09CC,坡道平面,0,30.31,地下四樓
RPVNMLQLJIKGFEE88CC,坡道機械,0,,地下一樓
RPPNMLPLJIKGFFE28CC,坡道平面,0,,地下二樓
RPUNMLPLJIKGFIE09CC,坡道平面,0,26.58,地下二樓
RPWNMLQLJIKGFFE09CC,坡道平面,0,20.17,地下三樓
RPQNMLPLJIKGFFE38CC,坡道平面,0,,地下二樓
RPSOMLQLJIKGFDE58CC,坡道平面,0,18.00,地下一樓
RPOOMLQLJIKGFDE18CC,坡道平面,0,20.35,地下二樓
RPWNMLQLJIKGFDE88CC,坡道平面,0,21.40,地下三樓
RPROMLQLJIKGFDE48CC,坡道平面,0,28.67,地下二樓
