鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
汐止區,車位,新北市汐止區樟樹一路２６８之９號等,0.2,住,,,1151206,土地1建物1車位1,,,其他,,,,42.72,0,0,0,無,有,800000,,坡道平面,42.72,800000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPPNMLPLJHLGFDF08DA,0.0,0.0,0.0,有,00001
汐止區,車位,新北市汐止區湖前街１１０巷９７弄１至２３號等地下一、二、三、四、五層,0.86,,山坡地保育區,丙種建築用地,1150303,土地4建物1車位1,地下一層，地下二層，地下三層，地下四層，地下五層,二十八層,其他,防空避難室兼停車空間,鋼筋混凝土造,0881202,36.949999999999996,0,0,0,無,有,1100000,,坡道平面,36.95,1100000,僅車位交易；,RPXNMLQJLHLGFDF98DA,0.0,0.0,0.0,有,
瑞芳區,土地,吉慶段221地號,45.93,,鄉村區,乙種建築用地,1150302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1150000,25038,,0.0,0,未登記建物；,RPPNMLQJLHLGFFF48EA,0.0,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區景安路１６７巷２４之２號二樓,12.96,住,,,1150202,土地2建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700305,40.13,3,2,2,有,無,4000000,99676,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJKHLGFHF48EA,40.13,0.0,0.0,無,
板橋區,車位,新北市板橋區南雅西路一段１２６號等,0.0,,,,1150202,土地0建物1車位1,,,其他,,,,25.3,0,0,0,無,有,2530000,,坡道平面,25.3,2530000,建物坐落地號：新興段1136地號；僅車位交易；,RPQPMLTJKHLGFAF38DA,0.0,0.0,0.0,有,00002
汐止區,車位,新北市汐止區仁愛路１５１巷２０號,0.1,住,,,1150202,土地1建物1車位1,一層,十八層,其他,商業用,鋼筋混凝土造,0980520,29.95,0,0,0,無,無,2500000,,坡道平面,29.95,2500000,僅車位交易；,RPPNMLTJKHLGFDF48EA,0.0,0.0,0.0,有,00003
板橋區,土地,公館段20-4地號,77.0,都市：其他:道路用地,,,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,25467750,330750,,0.0,0,包含公共設施保留地用地；,RPQRMLRJKHLGFAF38DA,0.0,0.0,0.0,無,00004
泰山區,土地,泰林段146地號,14.36,工,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,139276,,0.0,0,,RPTOMLTJKHLGFBF68DA,0.0,0.0,0.0,無,00005
平溪區,土地,白石段627地號,136.5,住,,,1150209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,3663,,0.0,0,地清或未辦繼承標售；,RPPNMLKKKHLGFFF87EA,0.0,0.0,0.0,無,
三重區,房地(土地+建物),新北市三重區正義南路２９號一樓之二十八,5.04,住,,,1150201,土地1建物2車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670114,18.8,0,0,0,無,無,700000,37234,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；市場攤位；,RPPNMLTJKHLGFGF78EA,12.0,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區員山路３１３號,13.66,住,,,1150205,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0580430,16.25,3,3,2,有,無,2740000,168615,,0.0,0,頂樓加蓋二層，每層各為3房2廳一衛親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLTJKHLGFHF88EA,16.25,0.0,0.0,無,
鶯歌區,土地,國慶段539地號,11.64,住,,,1150204,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1126000,96735,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJKHLGFIF98EA,0.0,0.0,0.0,無,00006
泰山區,土地,興仁段246地號,517.03,住,,,1150202,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,127990000,247548,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMJKHLGFBF57DA,0.0,0.0,0.0,無,
三芝區,車位,新北市三芝區淺水灣街１４之９號,0.95,,山坡地保育區,丙種建築用地,1150201,土地2建物1車位1,一層,十一層,其他,住家用,鋼筋混凝土造,0860508,7.83,0,0,0,無,有,120000,,坡道機械,7.83,120000,僅車位交易；,RPPNMLTJKHLGFEF48DA,0.0,0.0,0.0,有,00007
汐止區,車位,新北市汐止區中興路２３２號等,3.07,住,,,1150205,土地1建物1車位1,,,其他,,,,28.85,0,0,0,無,有,430000,,坡道機械,28.85,430000,僅車位交易；,RPOOMLKKKHLGFDF57DA,0.0,0.0,0.0,有,00008
汐止區,車位,新北市汐止區中興路２３２號等,3.07,住,,,1150205,土地1建物1車位1,,,其他,,,,28.85,0,0,0,無,有,400000,,坡道機械,28.85,400000,僅車位交易；,RPPOMLKKKHLGFDF67DA,0.0,0.0,0.0,有,00008
