編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKKKHLGFFF87EA,白石段,136.50,都市：其他:住宅區,1,1,全筆移轉,06270000
RPPNMLQJLHLGFFF48EA,吉慶段,45.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02210000
RPQRMLRJKHLGFAF38DA,公館段,77.00,都市：其他:道路用地,1,1,全筆移轉,00200004
RPTOMLTJKHLGFBF68DA,泰林段,14.36,都市：其他:乙種工業區,2,1,持分移轉,01460000
RPPNMLPLJHLGFDF08DA,厚德段,.20,都市：其他:第二種住宅區,10000,1,持分移轉,01900000
RPPNMLTJKHLGFEF48DA,大湖段,.93,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3000000,310,持分移轉,02060000
RPPNMLTJKHLGFEF48DA,大湖段,.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3000000,310,持分移轉,02070000
RPPOMLKKKHLGFDF67DA,福德段,3.07,都市：其他:第二種住宅區,123600,300,持分移轉,09270000
RPPNMLTJKHLGFGF78EA,大同南段,5.04,都市：其他:住宅區,169593,580,持分移轉,03370000
RPPNMLTJKHLGFDF48EA,新峰段,.10,都市：其他:第二種住宅區,100000,2,持分移轉,06960000
RPPNMLTJKHLGFHF88EA,民利段,13.66,都市：其他:住宅區,14,1,持分移轉,00870000
RPWOMLLKKHLGFBF28DA,力行段,14.38,都市：其他:第五種住宅區,100000,1007,持分移轉,11440000
RPROMLMKKHLGFAF87EA,海山段,20.44,都市：其他:住宅區,100000,161,持分移轉,10860000
RPTNMLMKKHLGFDF18DA,新峰段,.36,都市：其他:第二種住宅區,10000,1,持分移轉,07700000
RPQNMLKKKHLGFFF87DA,雙平段,339.18,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00820000
RPPNMLKKKHLGFFF77DA,九份段,903.09,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,35390000
RPPNMLKKKHLGFFF77DA,九份段,58.42,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,36580000
RPUNMLMKKHLGFHF78EA,民富段,2.11,都市：其他:住宅區,20,9,持分移轉,08880000
