編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLMKJIKGFGF58CC,21,61.65,住家用,鋼筋混凝土造,93年5月31日,十四層,,
RPPQMLRJJIKGFGF78CC,42,21.52,住家用,鋼筋混凝土造,73年5月5日,五層,,
RPTOMLMKJIKGFGF58CC,21,13.62,共有部分,鋼筋混凝土造,93年5月31日,十四層,,
RPTOMLMKJIKGFGF58CC,21,5.29,共有部分,鋼筋混凝土造,93年5月31日,十四層,,
RPXRMLLKJIKGFIF76CC,1,152.55,作業廠房,鋼筋混凝土造,113年7月5日,十一層,,
RPXRMLLKJIKGFIF76CC,1,34.25,本共有部分之項目有：管委會空間、安全梯、無障礙電梯、無障礙廁所、茶水間、外廊、大廳、無障礙安全梯、客貨梯、男廁、女廁、消防栓箱空間、管道間、梯廳、機房、受水池、發電機室、消防機房、雨水機房、受電箱、台電配電場所及電信機房等２２項。,鋼筋混凝土造,113年7月5日,十一層,,
RPXRMLLKJIKGFIF76CC,1,31.85,本共有部分之項目有：車道及防空避難室兼停車空間等２項。,鋼筋混凝土造,113年7月5日,十一層,,
RPXRMLLKJIKGFIF76CC,1,44.74,本共有部分之項目有：安全梯、無障礙電梯、管道間、男廁、女廁、消防栓箱空間、梯廳、客貨梯、無障礙安全梯、廁所、樓電梯間、樓梯間、水箱及機房等１４項,鋼筋混凝土造,113年7月5日,十一層,,
RPTRMLLKJIKGFEF58CC,30,62.47,住家用,鋼筋混凝土造,85年1月10日,十二層,,
RPPOMLMKJIKGFEF97CC,13,25.39,住家用,鋼筋混凝土造,101年8月24日,九層,,
RPTRMLLKJIKGFEF58CC,30,4.23,共有部分,鋼筋混凝土造,85年1月10日,十二層,,
RPWNMLMKJIKGFEF58CC,12,58.90,住家用,鋼筋混凝土造,102年7月12日,十五層,,
RPPOMLMKJIKGFEF97CC,13,10.95,本案共有部分項目有管委會辦公室、警衛室、茶水間、樓電梯間、梯廳、陽台、雨遮、閱覽室（供社區使用）、台電配電室、受電箱、污水機房、電信機房、消防機房、發電機房、防空避難室兼停車空間、機車停車場、機坑、垃圾暫存空間、垃圾車暫停位置、蓄水池、消防水池、機房、水箱等２３項,鋼筋混凝土造,101年8月24日,九層,,
RPWNMLMKJIKGFEF58CC,12,40.90,本共有部分之項目有管委會空間（一、二、三、四）、陽台、雨遮、門廳（一、二）、門廊、防空避難室兼停車空間、電梯（Ａ、Ｂ、Ｃ、Ｄ、Ｅ棟）、梯（Ｆ、Ｇ）、發電機室、台電配電室、垃圾儲藏室、臨時停車空間、電信機房、蓄水池（Ａ、Ｂ、Ｃ、Ｄ、Ｅ）、污水機房、消防機房等１６項,鋼筋混凝土造,102年7月12日,十五層,,
RPWNMLMKJIKGFEF58CC,12,14.19,本共有部分之項目有樓電梯間、機械室、水箱、陽台等４項,鋼筋混凝土造,102年7月12日,十五層,,
RPRNMLMKJIKGFEF08CC,17,34.01,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,,
RPRNMLMKJIKGFEF08CC,17,9.59,共有部分,鋼筋混凝土造,97年12月23日,二十四層,,
