編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLOLKHLGFAG58DA,思村段,116.98,都市：其他:道路用地,1,1,全筆移轉,09040000
RPWNMLOLKHLGFAG58DA,思村段,107.16,都市：其他:道路用地,1,1,全筆移轉,09100000
RPSNMLOLKHLGFAG18DA,丸山段,653.44,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03150000
RPVNMLTJKHLGFAG78DA,隆昌段,23.95,都市：其他:住宅區,100000,583,持分移轉,07570000
RPQNMLTJLHLGFAG38DA,義德段,24.71,都市：其他:住宅區,10000,219,持分移轉,07690000
RPRNMLTJKHLGFAG48EA,興東段,3.23,都市：其他:住宅區,100000,3665,持分移轉,13110000
RPRNMLTJKHLGFAG48EA,興東段,.40,都市：其他:住宅區,5,1,持分移轉,13110001
RPVOMLPLKHLGFAG68DA,新隘段,20.60,都市：其他:住宅區,10000,394,持分移轉,07880000
RPVOMLPLKHLGFAG68DA,新隘段,8.94,都市：其他:住宅區,10000,394,持分移轉,07930000
RPVOMLPLKHLGFAG68DA,新隘段,.96,都市：其他:住宅區,10000,394,持分移轉,07990000
RPQNMLOLKHLGFAG08EA,廣興一段,341.51,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01620000
RPPNMLPJKHLGFAG87EA,南澳二段,627.90,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,00390000
RPSPMLNJLHLGFAG18DA,中福段,16.39,都市：其他:保護區,1000,22,持分移轉,15380000
RPPNMLQJLHLGFAG08EA,慶安段,4.51,都市：其他:道路用地,6,1,持分移轉,09160002
RPPNMLQJLHLGFAG08EA,慶安段,264.23,都市：其他:第二種住宅區,6,1,持分移轉,09160003
RPPNMLQJLHLGFAG08EA,慶安段,2.40,都市：其他:道路用地,6,1,持分移轉,09180002
RPUPMLNJLHLGFAG38DA,中福段,16.39,都市：其他:保護區,1000,22,持分移轉,15380000
RPQNMLMJLHLGFBG77DA,五峰段,9.58,都市：其他:住宅區,10000,26,持分移轉,04010001
RPUNMLTJKHLGFBG78DA,玉石段,10.13,都市：其他:健康休閒專用區五,10000,75,持分移轉,02550000
RPTOMLNJLHLGFBG28DA,協天段,8.72,都市：其他:住宅區,10000,95,持分移轉,07320000
RPRNMLPLKHLGFBG28DA,協天段,10.28,都市：其他:住宅區,10000,112,持分移轉,07320000
RPUOMLNJLHLGFBG38DA,玉石段,5.36,都市：其他:健康休閒專用區五,10000,49,持分移轉,08260000
RPUOMLNJLHLGFBG38DA,玉石段,.03,都市：其他:健康休閒專用區五,10000,49,持分移轉,08260001
RPSOMLKKKHLGFBG87DA,北津段,1373.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04560000
RPUOMLNLKHLGFBG48DA,五峰段,15.89,都市：其他:住宅區,5,1,持分移轉,13570000
