鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,房地(土地+建物),桃園市中壢區金鋒四街６６號三樓,14.86,商,,,1150201,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920715,108.28999999999999,3,2,2,有,有,8100000,74799,,0.0,0,陽台外推；,RPPOMLMJKHLGFBH77DA,69.59,0.0,10.1,有,
桃園區,土地,西門段287地號,21.37,住,,,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,126345,,0.0,0,,RPSOMLQJKHLGFAH38DA,0.0,0.0,0.0,無,0001
大園區,房地(土地+建物)+車位,桃園市大園區海方路１１５號六樓之５,65.84,住,,,1150202,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140429,239.91,3,2,3,有,有,14000000,58355,坡道平面,38.56,0,,RPVNMLNJKHLGFEH68DA,119.11,0.0,18.64,有,0002
楊梅區,土地,楊湖段1744-4地號,99.0,,特定農業區,甲種建築用地,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3594000,36303,,0.0,0,,RPQNMLLMJHLGFDH08DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區永福西街１１７號五樓,5.46,住,,,1150201,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841012,40.260000000000005,3,2,2,有,有,2000000,49677,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLMJKHLGFAH57DA,31.01,0.79,3.58,有,0003
龜山區,土地,振三段593地號,50.0,都市：其他:保護區,,,1150203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2440000,48800,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTJKHLGFHH56DA,0.0,0.0,0.0,無,
大園區,房地(土地+建物)+車位,桃園市大園區海方路１７１號二樓之６,73.02,住,,,1150204,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140702,240.3,3,2,3,有,有,14370000,59800,坡道平面,34.47,0,,RPOPMLPJKHLGFEH38DA,122.93,0.0,14.51,有,0004
楊梅區,房地(土地+建物),桃園市楊梅區青山五街２１號１１樓之６,7.9,住,,,1150201,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840324,41.34,1,1,1,有,有,2300000,55636,,0.0,0,,RPSNMLOJKHLGFDH38DA,23.03,0.0,2.95,有,
觀音區,土地,茄苳坑段兩座屋小段483地號,2734.0,,特定農業區,農牧用地,1150201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9386450,3433,,0.0,0,,RPPOMLLKKHLGFBH77DA,0.0,0.0,0.0,無,
