編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLMJKHLGFBH77DA,普仁段,14.86,都市：其他:商業區,10000,66,持分移轉,10250008
RPVNMLNJKHLGFEH68DA,福海段,65.84,都市：其他:第五種住宅區(供安置住宅使用),100000,570,持分移轉,12420000
RPOPMLPJKHLGFEH38DA,富華段,20.34,都市：其他:第五種住宅區(供安置住宅使用),100000,590,持分移轉,04170000
RPOPMLPJKHLGFEH38DA,福海段,52.68,都市：其他:第五種住宅區(供安置住宅使用),100000,590,持分移轉,13530000
RPRNMLNKKHLGFCH18DA,龍祥段,8.30,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,09980000
RPRNMLNKKHLGFCH18DA,龍祥段,.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,10000000
RPRNMLNKKHLGFCH18DA,龍祥段,1.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,10010000
RPPOMLLKKHLGFBH77DA,茄苳坑段兩座屋小段,2734.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04830000
SPRNMLNKKHLGFCH28DA,龍祥段,8.30,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,09980000
SPRNMLNKKHLGFCH28DA,龍祥段,.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,10000000
SPRNMLNKKHLGFCH28DA,龍祥段,1.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,10010000
RPRNMLTJKHLGFHH56DA,振三段,48.38,都市：其他:保護區,10000,3485,持分移轉,05930000
RPRNMLTJKHLGFHH56DA,振三段,1.62,都市：其他:保護區,10000,3485,持分移轉,05930003
RPPPMLNLKHLGFEH48DA,青山段,13.14,都市：其他:第一種商業區,100000,174,持分移轉,04400000
RPSNMLNLKHLGFEH58DA,菓林段,10.36,都市：其他:第二種住宅區,10,1,持分移轉,11860000
RPPNMLOLKHLGFHH78EA,龜山段,42.00,都市：其他:河川區,1,1,全筆移轉,05320000
RPQNMLPLKHLGFBH38EA,三座屋段三座屋小段,1.81,都市：其他:住宅區,10000,19,持分移轉,00040000
RPQNMLPLKHLGFBH38EA,三座屋段舊社小段,8.46,都市：其他:住宅區,10000,19,持分移轉,01170000
RPQNMLQLKHLGFAH38EA,和平段,18.30,都市：其他:住宅區,20000,128,持分移轉,04120000
RPPNMLQLKHLGFCH48EA,松樹段,4.46,都市：其他:綠地用地,672000,9911,持分移轉,00060000
RPQNMLQLKHLGFCH58EA,松樹段,5.10,都市：其他:綠地用地,672000,11312,持分移轉,00060000
RPQNMLQLKHLGFCH58EA,松樹段,25.34,都市：其他:綠地用地,672000,11312,持分移轉,00070000
RPPNMLQLKHLGFCH48EA,松樹段,22.20,都市：其他:綠地用地,672000,9911,持分移轉,00070000
RPPNMLOLKHLGFHH68DA,善捷段,7.88,都市：其他:中心商業區,10000,22,持分移轉,00140000
RPSOMLQJKHLGFAH38DA,西門段,21.37,都市：其他:住宅區,1020,200,持分移轉,02870000
RPOOMLMJKHLGFAH57DA,中路段,5.46,都市：其他:第二種住宅區,30000,46,持分移轉,26570000
RPVOMLPJKHLGFBH68DA,中原段,5.71,都市：其他:住宅區,10000,28,持分移轉,10330000
RPQOMLTJKHLGFAH48DA,中路三段,33.00,都市：其他:住宅區,8,2,持分移轉,13420000
RPOPMLMKKHLGFEH18DA,青峰段,37.98,都市：其他:住宅區,100000,1194,持分移轉,04150000
RPPNMLKKKHLGFCH67DA,上華段,26.83,非都市：一般農業區 ; 非都市編定：農牧用地,10000,686,持分移轉,06990003
RPPNMLKKKHLGFCH67DA,上華段,767.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07000030
RPPNMLKKKHLGFCH67DA,上華段,110.60,非都市：一般農業區 ; 非都市編定：農牧用地,10000,686,持分移轉,07000034
RPROMLPJKHLGFAH18DA,新埔段,69.61,都市：其他:住宅區,100000,1957,持分移轉,13450000
RPPNMLLKKHLGFBH67DA,遠東段,7.04,都市：其他:住宅區,100000,118,持分移轉,01200000
TPRNMLNKKHLGFCH38DA,龍祥段,8.30,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,09980000
TPRNMLNKKHLGFCH38DA,龍祥段,.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,10000000
TPRNMLNKKHLGFCH38DA,龍祥段,1.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,504000,533,持分移轉,10010000
RPWPMLQLKHLGFEH86DA,三石段,120.00,都市：其他:第二種住宅區,1,1,全筆移轉,01470000
RPTPMLMKKHLGFEH68DA,青埔段,42.67,都市：其他:第五種住宅區(供社會住宅使用),100000,456,持分移轉,00010000
RPPNMLOLKHLGFBH18EA,後興段,26.75,都市：其他:住宅區,10000,76,持分移轉,05000000
RPQNMLNKKHLGFBH08EA,富強段,6.79,都市：其他:住宅區,10000,23,持分移轉,06400000
RPPNMLOLKHLGFBH18EA,後興段,.40,都市：其他:住宅區,10000,76,持分移轉,05000006
RPQNMLNKKHLGFBH08EA,富強段,5.73,都市：其他:住宅區,10000,23,持分移轉,06410000
RPQNMLLKKHLGFBH77DA,遠東段,7.04,都市：其他:住宅區,100000,118,持分移轉,01200000
