編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLNJKHLGFEH68DA,坡道平面,0,38.56,地下一樓
RPOPMLPJKHLGFEH38DA,坡道平面,0,34.47,地下二樓
RPPPMLNLKHLGFEH48DA,坡道平面,0,24.08,地下三樓
RPQNMLPLKHLGFBH38EA,坡道平面,1400000,15.52,地下三樓
RPQNMLQLKHLGFAH38EA,坡道平面,0,14.05,地下二樓
RPPNMLOLKHLGFHH68DA,坡道平面,0,29.40,地下五樓含以下
RPOPMLMKKHLGFEH18DA,坡道平面,0,30.12,地下二樓
RPROMLPJKHLGFAH18DA,坡道平面,2000000,27.84,地下一樓
RPROMLPJKHLGFAH18DA,坡道平面,2000000,27.84,地下一樓
RPROMLPJKHLGFAH18DA,坡道平面,2000000,27.84,地下一樓
RPROMLPJKHLGFAH18DA,坡道平面,2000000,27.84,地下一樓
RPTPMLMKKHLGFEH68DA,坡道平面,0,,地下一樓
RPPNMLOLKHLGFBH18EA,坡道平面,0,,地下一樓
RPOPMLTJKHLGFBH48DA,坡道平面,0,,地下二樓
RPRNMLNLKHLGFAH18EA,坡道平面,2000000,26.55,地下一樓
RPQNMLQJKHLGFFH58DA,坡道平面,1200000,38.94,地下二樓
RPRQMLPLKHLGFBH68DA,坡道平面,0,40.11,地下四樓
RPPNMLSJKHLGFCH38DA,坡道平面,0,,地下二樓
RPVOMLQLKHLGFDH56DA,坡道平面,1200000,36.57,地下二樓
RPRNMLQLKHLGFAH48EA,坡道平面,0,,地下一樓
RPQNMLNJLHLGFHH68EA,坡道平面,0,,地下二樓
RPTOMLTJKHLGFAH78DA,坡道平面,1700000,21.74,地下一樓
RPTOMLTJKHLGFAH78DA,坡道平面,1600000,21.74,地下一樓
RPRNMLQLKHLGFAH38DA,坡道平面,0,24.87,地下一樓
RPQNMLMJLHLGFFH28DA,坡道平面,0,,地下一樓
RPPNMLSLKHLGFAH38DA,坡道平面,1600000,33.97,地下二樓
RPPNMLNJKHLGFHH38DA,坡道平面,0,27.01,地下四樓
RPSNMLMJLHLGFAH97DA,坡道平面,0,52.84,地下四樓
RPOPMLMJLHLGFAH77DA,坡道平面,750000,32.02,地下三樓
RPQNMLQJLHLGFBH38EA,升降機械,0,,地下一樓
RPUNMLQJLHLGFCH88EA,坡道平面,300000,19.50,地下一樓
RPSOMLRJJHLGFAH38DA,坡道平面,0,28.79,地下三樓
RPQNMLPJLHLGFFH68EA,坡道平面,800000,,地下二樓
RPSOMLOKJHLGFBH28DA,坡道平面,0,34.54,無固定樓層
RPSOMLOKJHLGFBH28DA,坡道平面,0,34.54,無固定樓層
RPXNMLOJLHLGFDH98DA,坡道平面,0,30.19,地下一樓
RPPOMLPJJHLGFBH97DA,坡道平面,0,26.31,地下三樓
RPPOMLPJJHLGFBH97DA,坡道平面,0,26.31,地下三樓
RPQOMLQJJHLGFBH18DA,坡道平面,0,,地下二樓
RPPNMLOKJHLGFBH97EA,坡道平面,0,,地下二樓
RPUWMLTJJHLGFEH37DA,坡道平面,0,29.56,地下一樓
RPRRMLMKJHLGFEH58DA,坡道平面,0,38.02,地下一樓
RPWNMLOKJHLGFGH09DA,坡道平面,0,24.67,地下二樓
RPSNMLNKJHLGFEH38DA,坡道平面,0,,地下三樓
RPQOMLTJJHLGFBH48DA,坡道平面,0,28.05,地下二樓
RPVOMLPKJHLGFBH68DA,坡道平面,0,22.31,地下三樓
RPVOMLPKJHLGFBH68DA,坡道平面,0,22.31,地下三樓
RPPSMLTKJHLGFEH56DA,坡道平面,0,,地下二樓
RPQNMLTKJHLGFAH48EA,坡道平面,1468000,33.78,地下二樓
RPVNMLQKJHLGFCH78DA,坡道平面,0,,地下四樓
RPTNMLPKJHLGFAH38EA,坡道平面,0,,地下一樓
RPSOMLNKJHLGFAH08DA,升降機械,0,7.83,地下二樓
RPUOMLQJJHLGFHH56DA,坡道平面,1900000,30.31,地下四樓
RPVOMLOKJHLGFBH58DA,坡道平面,2100000,19.15,地下二樓
RPVOMLOKJHLGFBH58DA,坡道平面,2100000,19.15,地下二樓
RPUPMLKLJHLGFEH58DA,坡道平面,1500000,34.47,地下一樓
RPSOMLOKJHLGFDH48DA,坡道平面,0,28.17,地下一樓
RPXNMLKLJHLGFAH28DA,坡道平面,0,,地下三樓
RPSNMLKLJHLGFAH77DA,坡道平面,0,,地下二樓
RPQQMLMKJHLGFHH68DA,坡道平面,0,,地下二樓
