編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQLJIKGFAI18CB,湖子內段新民小段,1.74,都市：商,10000,75,持分移轉,02280000
RPPNMLQLJIKGFAI18CB,湖子內段新民小段,16.07,都市：商,10000,75,持分移轉,02290000
RPPNMLRLJIKGFAI38DB,湖子內段湖美小段,91.14,都市：其他:第一種休閒專用區,1,1,全筆移轉,05040011
RPPNMLRLJIKGFAI28CB,湖子內段湖美小段,31.47,都市：住,324478,3147,持分移轉,00890000
RPQNMLTJKIKGFAI48CB,湖子內段新民小段,23.55,都市：商,10000,72,持分移轉,03930000
RPQNMLSJKIKGFAI38CB,湖子內段湖美小段,84.44,都市：其他:第三種休閒專用區,1,1,全筆移轉,05310001
RPQNMLSJKIKGFAI38CB,湖子內段湖美小段,.36,都市：其他:第三種休閒專用區,25,1,持分移轉,05310025
RPSNMLSJKIKGFAI58CB,湖子內段湖美小段,90.75,都市：其他:第三種休閒專用區,1,1,全筆移轉,05310008
RPSNMLSJKIKGFAI58CB,湖子內段湖美小段,.36,都市：其他:第三種休閒專用區,25,1,持分移轉,05310025
RPSNMLSJKIKGFAI58CB,湖子內段湖美小段,20.15,都市：其他:第三種休閒專用區,20,1,持分移轉,05310026
RPPNMLNJKIKGFAI77CB,湖子內段湖美小段,93.50,都市：其他:第三種休閒專用區,1,1,全筆移轉,05250016
RPSNMLPJKIKGFAI28CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPSNMLPJKIKGFAI28CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPTNMLSJKIKGFAI68CB,湖子內段湖美小段,81.67,都市：其他:第三種休閒專用區,1,1,全筆移轉,05310011
RPTNMLSJKIKGFAI68CB,湖子內段湖美小段,.36,都市：其他:第三種休閒專用區,25,1,持分移轉,05310025
RPRNMLPJKIKGFAI18CB,湖子內段新民小段,1.74,都市：商,10000,75,持分移轉,02280000
RPTNMLSJKIKGFAI68CB,湖子內段湖美小段,20.15,都市：其他:第三種休閒專用區,20,1,持分移轉,05310026
RPRNMLPJKIKGFAI18CB,湖子內段新民小段,16.07,都市：商,10000,75,持分移轉,02290000
RPPNMLLJKIKGFAI57CB,湖子內段湖美小段,81.67,都市：其他:第三種休閒專用區,1,1,全筆移轉,05310010
RPPNMLLJKIKGFAI57CB,湖子內段湖美小段,.36,都市：其他:第三種休閒專用區,25,1,持分移轉,05310025
RPPNMLLJKIKGFAI57CB,湖子內段湖美小段,20.15,都市：其他:第三種休閒專用區,20,1,持分移轉,05310026
RPQNMLLJKIKGFAI67CB,湖子內段湖美小段,88.65,都市：其他:第三種休閒專用區,1,1,全筆移轉,05310013
RPQNMLLJKIKGFAI67CB,湖子內段湖美小段,.36,都市：其他:第三種休閒專用區,25,1,持分移轉,05310025
RPTNMLPJKIKGFAI38CB,湖子內段新民小段,1.18,都市：商,10000,51,持分移轉,02280000
RPQNMLLJKIKGFAI67CB,湖子內段湖美小段,20.15,都市：其他:第三種休閒專用區,20,1,持分移轉,05310026
RPTNMLPJKIKGFAI38CB,湖子內段新民小段,10.93,都市：商,10000,51,持分移轉,02290000
RPPNMLNJKIKGFAI77CB,湖子內段湖美小段,21.40,都市：其他:第三種休閒專用區,18,1,持分移轉,05250003
RPPNMLNJKIKGFAI77CB,湖子內段湖美小段,.08,都市：其他:第三種休閒專用區,21,1,持分移轉,05250004
RPQNMLNJKIKGFAI87CB,北社尾段保安小段,7.64,都市：住,100000,1876,持分移轉,07450000
RPQNMLNJKIKGFAI87CB,北社尾段保安小段,6.64,都市：住,100000,1876,持分移轉,07470000
RPQNMLNJKIKGFAI87CB,北社尾段保安小段,8.59,都市：住,100000,1876,持分移轉,07480000
RPQNMLQLJIKGFAI28CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPQNMLQLJIKGFAI28CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPPNMLTJKIKGFAI38CB,湖子內段新民小段,17.33,都市：商,10000,53,持分移轉,03930000
RPRNMLQLJIKGFAI38CB,湖子內段新民小段,1.18,都市：商,10000,51,持分移轉,02280000
RPRNMLQLJIKGFAI38CB,湖子內段新民小段,10.93,都市：商,10000,51,持分移轉,02290000
RPPNMLSJKIKGFAI38DB,湖子內段湖美小段,74.76,都市：其他:第三種休閒專用區,1,1,全筆移轉,04590008
RPPNMLSJKIKGFAI38DB,湖子內段湖美小段,25.58,都市：其他:第三種休閒專用區,8,1,持分移轉,04590015
RPPNMLSJKIKGFAI28CB,新富段五小段,17.81,都市：商,100000,2400,持分移轉,00300004
RPRNMLSJKIKGFAI48CB,湖子內段湖美小段,103.46,都市：其他:第三種休閒專用區,1,1,全筆移轉,05310007
RPRNMLSJKIKGFAI48CB,湖子內段湖美小段,.36,都市：其他:第三種休閒專用區,25,1,持分移轉,05310025
RPRNMLSJKIKGFAI48CB,湖子內段湖美小段,20.15,都市：其他:第三種休閒專用區,20,1,持分移轉,05310026
RPQNMLMKKIKGFAI87CB,湖子內段新民小段,1.18,都市：商,10000,51,持分移轉,02280000
RPQNMLMKKIKGFAI87CB,湖子內段新民小段,10.93,都市：商,10000,51,持分移轉,02290000
RPRNMLSKKIKGFAI58CB,湖子內段湖美小段,37.06,都市：住,10000,425,持分移轉,04290000
RPRNMLQKKIKGFAI38CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPRNMLQKKIKGFAI38CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPSNMLMKKIKGFAI08CB,埤子頭段,43.94,都市：住,232600,4394,持分移轉,04660000
RPQNMLSKKIKGFAI48CB,南門段三小段,4.21,都市：商,100000,2056,持分移轉,00300001
RPQNMLSKKIKGFAI48CB,南門段三小段,9.66,都市：商,100000,2056,持分移轉,00300002
RPQNMLSKKIKGFAI48CB,南門段三小段,12.87,都市：商,100000,2056,持分移轉,00300003
RPQNMLSKKIKGFAI48CB,南門段三小段,.08,都市：商,100000,2056,持分移轉,00380017
RPQNMLQKKIKGFAI28CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPQNMLQKKIKGFAI28CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPSNMLSKKIKGFAI68CB,湖子內段湖美小段,38.89,都市：住,10000,446,持分移轉,04290000
RPPNMLQKKIKGFAI18CB,湖子內段新民小段,2.01,都市：商,10000,87,持分移轉,02280000
RPPNMLTKKIKGFAI48CB,北社尾段保安小段,7.63,都市：住,100000,1875,持分移轉,07450000
RPPNMLQKKIKGFAI18CB,湖子內段新民小段,18.64,都市：商,10000,87,持分移轉,02290000
RPPNMLTKKIKGFAI48CB,北社尾段保安小段,6.64,都市：住,100000,1875,持分移轉,07470000
RPPNMLTKKIKGFAI48CB,北社尾段保安小段,8.59,都市：住,100000,1875,持分移轉,07480000
RPPNMLMKKIKGFAI77CB,湖子內段新民小段,1.48,都市：商,10000,64,持分移轉,02280000
RPPNMLPKKIKGFAI08CB,頂寮段,85.83,都市：住,1,1,全筆移轉,12070017
RPPNMLMKKIKGFAI77CB,湖子內段新民小段,13.71,都市：商,10000,64,持分移轉,02290000
RPPNMLPKKIKGFAI08CB,頂寮段,9.67,都市：住,19,1,持分移轉,12070007
RPQNMLTKKIKGFAI58CB,竹圍子段,38.04,都市：住,10000,836,持分移轉,01120005
RPPNMLTLKIKGFAI68DB,湖子內段湖美小段,78.11,都市：其他:都市計畫內第三種休閒專用區,1,1,全筆移轉,05200024
RPPNMLTLKIKGFAI68DB,湖子內段湖美小段,30.68,都市：其他:都市計畫內第三種休閒專用區,100000,9892,持分移轉,05200017
RPRNMLMKKIKGFAI97CB,北社尾段保安小段,8.37,都市：住,100000,2056,持分移轉,07450000
RPRNMLMKKIKGFAI97CB,北社尾段保安小段,7.28,都市：住,100000,2056,持分移轉,07470000
RPRNMLMKKIKGFAI97CB,北社尾段保安小段,9.42,都市：住,100000,2056,持分移轉,07480000
RPPNMLLMKIKGFAI87CB,頂寮段,85.18,都市：住,1,1,全筆移轉,12070004
RPPNMLLMKIKGFAI87CB,頂寮段,9.67,都市：住,19,1,持分移轉,12070007
RPPNMLLJJHLGFAI47CB,湖子內段新民小段,1.74,都市：商,10000,75,持分移轉,02280000
RPPNMLLJJHLGFAI47CB,湖子內段新民小段,16.07,都市：商,10000,75,持分移轉,02290000
RPRNMLKMKIKGFAI97CB,彌陀段日新小段,4.77,都市：住,100000,2308,持分移轉,00680000
RPRNMLKMKIKGFAI97CB,彌陀段日新小段,30.80,都市：住,100000,2308,持分移轉,00730000
RPTNMLKMKIKGFAI18CB,彌陀段日新小段,4.94,都市：住,100000,2389,持分移轉,00680000
RPTNMLKMKIKGFAI18CB,彌陀段日新小段,31.88,都市：住,100000,2389,持分移轉,00730000
RPPNMLQJJHLGFAI97CB,檜段三小段,2.00,都市：住,100000,3341,持分移轉,00440005
RPPNMLQJJHLGFAI97CB,檜段三小段,3.44,都市：住,100000,3341,持分移轉,00440006
RPRNMLLMKIKGFAI08CB,北門段二小段,11.40,都市：住,10000,254,持分移轉,00170002
RPPNMLQJJHLGFAI97CB,檜段三小段,4.61,都市：住,100000,3341,持分移轉,00590002
RPPNMLQJJHLGFAI97CB,檜段三小段,8.52,都市：住,100000,3341,持分移轉,00580000
RPQNMLKMKIKGFAI87CB,彌陀段日新小段,4.77,都市：住,100000,2308,持分移轉,00680000
RPQNMLKMKIKGFAI87CB,彌陀段日新小段,30.80,都市：住,100000,2308,持分移轉,00730000
RPQNMLLJJHLGFAI57CB,湖子內段新民小段,2.01,都市：商,10000,87,持分移轉,02280000
RPQNMLLJJHLGFAI57CB,湖子內段新民小段,18.64,都市：商,10000,87,持分移轉,02290000
RPPNMLPLKIKGFAI18CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPPNMLPLKIKGFAI18CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPQNMLMJJHLGFAI67CB,竹村段,119.90,都市：住,1,1,全筆移轉,05390004
RPPNMLMJJHLGFAI57CB,湖子內段湖美小段,38.89,都市：住,10000,446,持分移轉,04290000
RPRNMLMJJHLGFAI77CB,竹村段,117.69,都市：住,1,1,全筆移轉,05390012
RPRNMLTKKIKGFAI68CB,竹圍子段,38.08,都市：住,10000,837,持分移轉,01120005
RPWNMLKMKIKGFAI48CB,竹村段,185.89,都市：住,1,1,全筆移轉,05390015
RPSNMLKMKIKGFAI08CB,彌陀段日新小段,4.77,都市：住,100000,2308,持分移轉,00680000
RPTNMLMJJHLGFAI97CB,竹村段,117.69,都市：住,1,1,全筆移轉,05390011
RPSNMLKMKIKGFAI08CB,彌陀段日新小段,30.80,都市：住,100000,2308,持分移轉,00730000
RPSNMLMJJHLGFAI87CB,竹村段,164.64,都市：住,1,1,全筆移轉,05390020
RPQNMLPLKIKGFAI28CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPQNMLPLKIKGFAI28CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPQNMLLMKIKGFAI97CB,湖子內段湖美小段,30.06,都市：住,100000,3429,持分移轉,04280000
RPRNMLLJJHLGFAI67CB,湖子內段新民小段,1.48,都市：商,10000,64,持分移轉,02280000
RPRNMLLJJHLGFAI67CB,湖子內段新民小段,13.71,都市：商,10000,64,持分移轉,02290000
RPXNMLNKJHLGFAI58CB,湖子內段新民小段,18.50,都市：商,100000,886,持分移轉,00310000
RPQNMLOKJHLGFAI97CB,湖子內段新民小段,17.87,都市：商,100000,856,持分移轉,00310000
RPPNMLOKJHLGFAI87CB,湖子內段新民小段,24.01,都市：商,100000,1150,持分移轉,00310000
RPWNMLNKJHLGFAI48CB,湖子內段新民小段,18.50,都市：商,100000,886,持分移轉,00310000
RPRNMLNKJHLGFAI97CB,湖子內段新民小段,22.71,都市：商,100000,1088,持分移轉,00310000
RPQNMLSJJHLGFAI28CB,湖子內段新民小段,1.48,都市：商,10000,64,持分移轉,02280000
RPQNMLSJJHLGFAI28CB,湖子內段新民小段,13.71,都市：商,10000,64,持分移轉,02290000
RPPNMLNKJHLGFAI77CB,湖子內段湖美小段,37.06,都市：住,10000,425,持分移轉,04290000
RPPNMLMKJHLGFAI67CB,南門段三小段,4.03,都市：商,100000,1966,持分移轉,00300001
RPPNMLMKJHLGFAI67CB,南門段三小段,9.24,都市：商,100000,1966,持分移轉,00300002
RPPNMLMKJHLGFAI67CB,南門段三小段,12.31,都市：商,100000,1966,持分移轉,00300003
