鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新豐鄉,房地(土地+建物),新竹縣新豐鄉明新街２００巷１８弄１之２號,10.69,,鄉村區,乙種建築用地,1150201,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,28.96,1,0,1,有,無,1750000,60428,,0.0,0,,RPROMLTJKHLGFDJ09DA,17.85,0.0,0.0,有,
關西鎮,土地,馬武督段赤柯山小段272-1地號,12.0,,山坡地保育區,農牧用地,1150205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,5833,,0.0,0,畸零地或有合併使用效益；,RPPNMLKKKHLGFBJ77DA,0.0,0.0,0.0,無,0001
關西鎮,土地,馬武督段赤柯山小段272-3地號,47.0,,山坡地保育區,農牧用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,3191,,0.0,0,,RPOOMLKKKHLGFBJ77DA,0.0,0.0,0.0,無,
新埔鎮,土地,泰陽段47-1地號,160.47,,山坡地保育區,丙種建築用地,1150206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,12463,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNLKHLGFBJ28DA,0.0,0.0,0.0,無,
新埔鎮,土地,泰陽段48-1地號,70.88,,山坡地保育區,農牧用地,1150206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,214400,3025,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,SPQNMLNLKHLGFBJ38DA,0.0,0.0,0.0,無,
竹北市,車位,興隆路二段３４３號等公共設施,0.0,,,,1150201,土地0建物1車位1,,,其他,,,,26.08,0,0,0,無,有,2000000,,坡道平面,26.08,2000000,建物坐落地號：自強段282地號；僅車位交易；,RPQNMLPJKHLGFBJ28DA,0.0,0.0,0.0,有,0002
新埔鎮,土地,義民段2305-14地號,356.0,,特定農業區,農牧用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,14045,,0.0,0,,RPQOMLKKKHLGFBJ97DA,0.0,0.0,0.0,無,
寶山鄉,土地,莒光段68地號,440.57,,山坡地保育區,農牧用地,1150208,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,1498,,0.0,0,,RPUNMLTJKHLGFCJ56DA,0.0,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉大智路２９號二樓,32.1,,工業區,丁種建築用地,1150205,土地3建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820821,96.59,3,2,2,有,有,4000000,41412,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKKHLGFDJ28EA,73.89,0.0,10.3,有,0003
竹北市,房地(土地+建物),新竹縣竹北市莊敬六街１３號十三樓之六,4.42,商,,,1150207,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,42.510000000000005,1,1,1,有,有,8250000,194072,,0.0,0,,RPOOMLTJKHLGFBJ58DA,28.27,0.68,2.92,有,0004
關西鎮,房地(土地+建物),新竹縣關西鎮長安街１５０巷９號,75.81,住,,,1150209,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0860414,211.97,4,2,3,有,無,6800000,32080,,0.0,0,,RPQQMLOLKHLGFBJ68DA,185.72,15.45,10.8,無,0005
竹北市,土地,站前段650-2地號,27.07,商,,,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,96047,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNJLHLGFBJ38DA,0.0,0.0,0.0,無,
峨眉鄉,土地,富農段1002地號,258.87,,山坡地保育區,農牧用地,1150201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,17383,,0.0,0,農作物；,RPSNMLMJLHLGFCJ38DA,0.0,0.0,0.0,無,
新埔鎮,土地,義民段1784-2地號,9.58,,特定農業區,農牧用地,1150211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,156208,16306,,0.0,0,協議價購；,RPPOMLMJLHLGFBJ08DA,0.0,0.0,0.0,無,0006
