編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPROMLTJKHLGFDJ09DA,,17.85,住家用,鋼筋混凝土造,,五層,一層,全筆移轉
RPROMLTJKHLGFDJ09DA,,11.11,梯間,鋼筋混凝土造,,五層,,持分移轉
RPQNMLPJKHLGFBJ28DA,5,26.08,本共有部分之項目有：防空避難室兼停車空間、停車空間、管理員室、開放空間、管委會空間、樓梯間、排煙室、水箱、機房等九項。,鋼筋混凝土造,109年10月24日,十九層,,持分移轉
RPQQMLOLKHLGFBJ68DA,29,211.97,住家用,鋼筋混凝土造,86年4月14日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物,全筆移轉
RPUNMLPJLHLGFBJ78DA,55,210.58,住家用,加強磚造,60年6月1日,二層,一層 二層 陽台 騎樓,全筆移轉
RPQOMLPJLHLGFBJ48DA,21,95.49,住家用,鋼筋混凝土造,93年9月14日,五層,二層 三層 陽台 雨遮,全筆移轉
RPQOMLPJLHLGFBJ48DA,21,.62,共有部分,鋼筋混凝土造,93年9月14日,五層,,持分移轉
RPQOMLPJLHLGFBJ48DA,21,4.46,共有部分,鋼筋混凝土造,93年9月14日,五層,,持分移轉
RPQOMLPJLHLGFBJ48DA,21,26.65,共有部分,鋼筋混凝土造,93年9月14日,五層,,持分移轉
RPPNMLMKKHLGFDJ28EA,32,84.19,住家用,鋼筋混凝土造,82年8月21日,五層,二層 陽台,全筆移轉
RPPNMLMKKHLGFDJ28EA,32,9.55,共有部分,鋼筋混凝土造,82年8月21日,五層,,持分移轉
RPPNMLMKKHLGFDJ28EA,32,2.85,共有部分,鋼筋混凝土造,82年8月21日,五層,,持分移轉
RPPNMLMKJHLGFBJ87DA,20,.17,警衛室,鋼筋混凝土造,94年11月18日,九層,一層,持分移轉
RPPNMLMKJHLGFBJ87DA,20,62.06,共有部分,鋼筋混凝土造,94年11月18日,九層,,持分移轉
RPQNMLOKJHLGFCJ38EA,30,258.71,住商用,鋼筋混凝土造,84年12月30日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPWPMLSJJHLGFBJ66DA,,28.54,本共有部分之項目有：防空避難室兼停車空間、停車空間、管理室、公共服務空間、儲藏室、電梯間、樓梯間、機房、消防中繼水箱、機械室、水箱等十一項。,鋼筋混凝土造,114年10月8日,十九層,,持分移轉
RPROMLPKJHLGFBJ48DA,21,69.45,商業用,鋼筋混凝土造,94年3月31日,十層,一層 雨遮,全筆移轉
RPROMLPKJHLGFBJ48DA,21,.01,守衛室、公共交誼區,鋼筋混凝土造,94年3月31日,十層,一層 陽台,持分移轉
RPROMLPKJHLGFBJ48DA,21,9.58,共有部分,鋼筋混凝土造,94年3月31日,十層,,持分移轉
RPROMLPKJHLGFBJ48DA,21,8.44,共有部分,鋼筋混凝土造,94年3月31日,十層,,持分移轉
RPROMLPKJHLGFBJ48DA,21,.34,共有部分,鋼筋混凝土造,94年3月31日,十層,,持分移轉
RPUNMLTKJHLGFBJ09DA,1,247.85,集合住宅、停車空間、樓梯間,鋼筋混凝土造,113年12月24日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPROMLQKJHLGFBJ58DA,21,.07,管理室,鋼筋混凝土造,93年8月16日,十四層,一層,持分移轉
RPROMLQKJHLGFBJ58DA,21,104.14,住家用,鋼筋混凝土造,93年8月16日,十四層,二層 陽台 雨遮,全筆移轉
RPROMLQKJHLGFBJ58DA,21,16.06,共有部分,鋼筋混凝土造,93年8月16日,十四層,,持分移轉
RPROMLQKJHLGFBJ58DA,21,33.80,共有部分,鋼筋混凝土造,93年8月16日,十四層,,持分移轉
RPROMLQKJHLGFBJ58DA,21,15.77,共有部分,鋼筋混凝土造,93年8月16日,十四層,,持分移轉
RPWNMLKLJHLGFCJ58DA,,250.40,住家用,加強磚造,,二層,一層 二層 騎樓 地下層,全筆移轉
RPTPMLLLJHLGFDJ68DA,,143.56,住家用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPVNMLKLJHLGFCJ48DA,,268.85,商業用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPOOMLTJKHLGFBJ58DA,20,31.87,住家用,鋼筋混凝土造,94年11月14日,十五層,十三層 陽台 雨遮,全筆移轉
RPOOMLTJKHLGFBJ58DA,20,3.94,共有部分,鋼筋混凝土造,94年11月14日,十五層,,持分移轉
RPOOMLTJKHLGFBJ58DA,20,6.71,共有部分,鋼筋混凝土造,94年11月14日,十五層,,持分移轉
RPPNMLQLJHLGFBJ48EA,28,28.97,住家用,鋼筋混凝土造,86年11月17日,七層,四層 陽台,持分移轉
RPPNMLQLJHLGFBJ48EA,28,6.90,共有部分,鋼筋混凝土造,86年11月17日,七層,,持分移轉
RPPNMLQLJHLGFBJ48EA,28,5.03,共有部分,鋼筋混凝土造,86年11月17日,七層,,持分移轉
RPUPMLSLJHLGFDJ86DA,2,57.80,集合住宅,鋼筋混凝土造,113年7月5日,九層,六層 陽台,全筆移轉
RPUPMLSLJHLGFDJ86DA,2,96.71,本共有部分之項目有停車空間、排煙室、樓梯間、昇降機間、消防機房、機房、車道、電信室、水箱、台電配電室、緊急發電機室、垃圾集中室、管委會使用空間、梯廳、水錶區、梯間、電梯機房等１７項,鋼筋混凝土造,113年7月5日,九層,,持分移轉
RPVNMLQLJHLGFBJ98DA,30,93.55,住家用,鋼筋混凝土造,85年2月14日,七層,三層 陽台,全筆移轉
RPVNMLQLJHLGFBJ98DA,30,11.49,見使用執照,鋼筋混凝土造,85年2月14日,七層,,持分移轉
RPVNMLQLJHLGFBJ98DA,30,14.04,見使用執照,鋼筋混凝土造,85年2月14日,七層,,持分移轉
RPPNMLTLJHLGFDJ98EA,,86.50,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPRNMLMJKHLGFBJ18EA,32,80.98,住家用,鋼筋混凝土造,83年6月22日,八層,八層 陽台,全筆移轉
RPRNMLMJKHLGFBJ18EA,32,9.56,共有部分,鋼筋混凝土造,83年6月22日,八層,,持分移轉
RPRNMLMJKHLGFBJ18EA,32,7.06,共有部分,鋼筋混凝土造,83年6月22日,八層,,持分移轉
RPQNMLKMJHLGFCJ18EA,32,112.01,住家用,鋼筋混凝土造,83年3月4日,六層,四層 陽台 露台 花台,全筆移轉
RPQNMLKMJHLGFCJ18EA,32,36.39,共有部分,鋼筋混凝土造,83年3月4日,六層,,持分移轉
RPQNMLKMJHLGFCJ18EA,32,19.27,共有部分,鋼筋混凝土造,83年3月4日,六層,,持分移轉
RPQNMLNLJHLGFCJ38EA,32,32.40,住家用,鋼筋混凝土造,82年12月14日,十一層,十層 陽台 花台,全筆移轉
RPQNMLNLJHLGFCJ38EA,34,1.31,商業用,鋼筋混凝土造,81年5月29日,十一層,地下層,持分移轉
RPQNMLNLJHLGFCJ38EA,34,3.88,貯藏室,鋼筋混凝土造,81年5月29日,十一層,地下層,持分移轉
RPQNMLNLJHLGFCJ38EA,32,7.73,共有部分,鋼筋混凝土造,82年12月14日,十一層,,持分移轉
RPRNMLNLJHLGFBJ28DA,,57.57,集合住宅,鋼筋混凝土造,114年8月7日,五層,五層 陽台 見其他登記事項,全筆移轉
RPRNMLNLJHLGFBJ28DA,,24.81,本共有部分之項目有停車空間、樓梯間等二項。,鋼筋混凝土造,114年8月7日,五層,,持分移轉
RPQNMLMJKHLGFDJ18DA,6,98.48,集合住宅、停車空間、樓梯間,鋼筋混凝土造,109年6月16日,四層,一層 二層 三層 四層 陽台 屋頂突出物,持分移轉
RPQNMLMJKHLGFDJ18DA,6,.12,共有部分,鋼筋混凝土造,109年6月16日,一層,,持分移轉
RPSNMLMJKHLGFBJ28EA,19,85.99,住家用,鋼筋混凝土造,96年5月17日,十三層,五層 陽台 雨遮,全筆移轉
RPSNMLMJKHLGFBJ28EA,19,11.42,共有部分,鋼筋混凝土造,96年5月17日,十三層,,持分移轉
RPSNMLMJKHLGFBJ28EA,19,42.49,共有部分,鋼筋混凝土造,96年5月17日,十三層,,持分移轉
RPQNMLNJKHLGFBJ18EA,9,.28,商業用,鋼筋混凝土造,105年9月21日,二十一層,一層 見其他登記事項,持分移轉
RPQNMLNJKHLGFBJ18EA,9,84.26,住家用,鋼筋混凝土造,105年9月21日,二十一層,十二層 陽台 雨遮,全筆移轉
RPQNMLNJKHLGFBJ18EA,9,.14,本共有部分之項目有防空避難室兼停車空間、排煙室、緊急昇降機、門廳、外廊、環保資源室、防災中心、梯廳、梯間、樓梯間、機械室、消防機房、水箱、楊水泵機房、汙水機房、消防中繼水箱、消防中繼機房、緊急發電機房、電信機房、景觀機房、台電配電室、機電機房、電梯等二十三項。,鋼筋混凝土造,105年9月21日,二十一層,,持分移轉
RPQNMLNJKHLGFBJ18EA,9,77.08,本共有部分之項目有防空避難室兼停車空間、排煙室、緊急昇降機、門廳、外廊、環保資源室、防災中心、梯廳、梯間、樓梯間、機械室、消防機房、水箱、楊水泵機房、汙水機房、消防中繼水箱、消防中繼機房、緊急發電機房、電信機房、景觀機房、台電配電室、機電機房、電梯等二十三項。,鋼筋混凝土造,105年9月21日,二十一層,,持分移轉
RPTNMLQLJHLGFCJ88DA,,20.47,住家用,鋼筋混凝土造,,七層,五層 陽台,持分移轉
RPTNMLQLJHLGFCJ88DA,,6.09,共有部分,鋼筋混凝土造,,七層,,持分移轉
RPTNMLMJKHLGFDJ48DA,19,25.41,辦公室,鋼筋混凝土造,96年2月28日,六層,三層 雨遮,全筆移轉
RPTNMLMJKHLGFDJ48DA,19,13.99,防空避難室、停車空間、梯間走道、機械房、水箱,鋼筋混凝土造,96年2月28日,六層,,持分移轉
RPTNMLMJKHLGFDJ48DA,19,.08,防空避難室、停車空間、梯間走道、機械房、水箱,鋼筋混凝土造,96年2月28日,六層,,持分移轉
RPTNMLMJKHLGFDJ48DA,19,.01,管理委員會使用空間,鋼筋混凝土造,96年2月28日,六層,夾層,持分移轉
RPWQMLRLJHLGFDJ07DA,2,88.22,集合住宅,鋼筋混凝土造,113年5月14日,十五層,三層 陽台,全筆移轉
RPWQMLRLJHLGFDJ07DA,2,67.56,本共有部分之項目有停車空間、機械室、管委會、樓梯間等４項,鋼筋混凝土造,113年5月14日,十五層,,持分移轉
RPSNMLTLJHLGFBJ98DA,6,39.86,住家用,鋼筋混凝土造,108年10月14日,二十三層,二十二層 陽台 雨遮,全筆移轉
RPSNMLTLJHLGFBJ98DA,6,22.24,本共有部分之項目有防空避難室兼停車空間、大廳、公共服務空間、中繼機房、樓梯間、電梯間、機電設備空間、水箱等八項。,鋼筋混凝土造,108年10月14日,二十三層,,持分移轉
RPSNMLTLJHLGFBJ98DA,6,17.96,本共有部分之項目有停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,108年10月14日,二十三層,,持分移轉
RPUNMLTLJHLGFCJ66DA,29,28.46,住家用,鋼筋混凝土造,85年12月24日,十二層,七層 陽台,全筆移轉
RPUNMLTLJHLGFCJ66DA,29,6.24,共有部分,鋼筋混凝土造,85年12月24日,十二層,,持分移轉
RPUNMLTLJHLGFCJ66DA,29,.94,共有部分,鋼筋混凝土造,85年12月24日,十二層,,持分移轉
RPUNMLTLJHLGFCJ66DA,29,1.17,共有部分,鋼筋混凝土造,85年12月24日,十二層,,持分移轉
RPUNMLTLJHLGFCJ66DA,29,2.86,共有部分,鋼筋混凝土造,85年12月24日,十二層,,持分移轉
RPUNNLPKJHLGFDJ98DA,,234.92,住家用,鋼筋混凝土造,,二層,一層 二層 陽台 平台 屋頂突出物,全筆移轉
RPWNMLTKJHLGFBJ66DA,12,250.56,住宅、停車空間、梯間,鋼筋混凝土造,103年6月18日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPRNMLTLJHLGFCJ09EA,,65.79,住家用,加強磚造,,二層,一層 二層,持分移轉
RPOOMLQLJHLGFBJ38DA,14,82.32,商業用,鋼筋混凝土造,100年12月22日,十三層,一層 陽台,全筆移轉
RPOOMLQLJHLGFBJ38DA,14,.27,梯間,鋼筋混凝土造,100年12月22日,十三層,,持分移轉
RPOOMLQLJHLGFBJ38DA,14,58.27,本共有部分之項目有防空避難室、停車空間、頂蓋型開放空間、戶外安全梯、及梯廳、管理員室、垃圾儲藏室、梯間、水箱等九項,鋼筋混凝土造,100年12月22日,十三層,,持分移轉
RPSNMLPJKHLGFBJ48DA,32,88.55,住家用,鋼筋混凝土造,83年3月23日,六層,五層 陽台,全筆移轉
