編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLTJKHLGFDJ09DA,坪頂段,10.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,38,1,持分移轉,09770000
RPQNMLNLKHLGFBJ28DA,泰陽段,160.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00470001
RPQOMLKKKHLGFBJ97DA,義民段,356.00,非都市：特定農業區 ; 非都市編定：農牧用地,4,2,持分移轉,23050014
RPSNMLNJLHLGFBJ38DA,站前段,27.07,都市：其他:第三種商業區,1,1,全筆移轉,06500002
RPOOMLKKKHLGFBJ77DA,馬武督段赤柯山小段,47.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02720003
SPQNMLNLKHLGFBJ38DA,泰陽段,70.88,非都市：山坡地保育區 ; 非都市編定：農牧用地,10,1,持分移轉,00480001
RPPNMLKKKHLGFBJ77DA,馬武督段赤柯山小段,12.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02720001
RPQQMLOLKHLGFBJ68DA,東安段,75.81,都市：其他:住宅區,61,1,持分移轉,01660000
XPPOMLMJLHLGFBJ68DA,下寮段,19.31,非都市：山坡地保育區 ; 非都市編定：農牧用地,72,4,持分移轉,12650001
QQPOMLMJLHLGFBJ08DA,下寮段,3.12,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,4,持分移轉,12710001
ZPPOMLMJLHLGFBJ88DA,下寮段,.51,非都市：特定農業區 ; 非都市編定：交通用地,192,4,持分移轉,12680001
RPUNMLTJKHLGFCJ56DA,莒光段,.55,非都市：山坡地保育區 ; 非都市編定：林業用地,6000,18,持分移轉,00670012
RPUNMLTJKHLGFCJ56DA,莒光段,.03,非都市：山坡地保育區 ; 非都市編定：林業用地,6000,6,持分移轉,00670018
RPUNMLTJKHLGFCJ56DA,莒光段,437.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,646896,262500,持分移轉,00680000
RPUNMLTJKHLGFCJ56DA,莒光段,2.48,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00680001
RPUNMLTJKHLGFCJ56DA,莒光段,.01,非都市：山坡地保育區 ; 非都市編定：農牧用地,533034,6,持分移轉,00690000
RPTNMLMJLHLGFBJ38DA,照門段,2526.71,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02530023
SPTNMLMJLHLGFBJ48DA,照門段,37.42,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,3674,持分移轉,01780000
SPTNMLMJLHLGFBJ48DA,照門段,9.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,4987,持分移轉,02000001
SPTNMLMJLHLGFBJ48DA,照門段,210.61,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,6233,持分移轉,02530000
RPUNMLPJLHLGFBJ78DA,石光段,114.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02610000
RPUNMLPJLHLGFBJ78DA,石光段,55.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02620000
RPQOMLPJLHLGFBJ48DA,東興段,5.88,都市：其他:第二種住宅區,10000,171,持分移轉,04350005
RPQOMLPJLHLGFBJ48DA,東興段,2.67,都市：其他:第二種住宅區,10000,171,持分移轉,04350033
RPQOMLPJLHLGFBJ48DA,東興段,3.41,都市：其他:第二種住宅區,10000,171,持分移轉,04350037
RPQOMLPJLHLGFBJ48DA,東興段,29.09,都市：其他:第二種住宅區,4,1,持分移轉,04350041
RPQOMLPJLHLGFBJ48DA,大學段,.31,都市：其他:第一種住宅區,10000,5,持分移轉,06930000
RPPNMLMKKHLGFDJ28EA,建興段鳳凰小段,4.00,非都市：工業區 ; 非都市編定：丁種建築用地,15,1,持分移轉,05100000
RPPNMLMKKHLGFDJ28EA,建興段鳳凰小段,19.80,非都市：工業區 ; 非都市編定：丁種建築用地,10,1,持分移轉,05110000
RPPNMLMKKHLGFDJ28EA,建興段鳳凰小段,8.30,非都市：工業區 ; 非都市編定：丁種建築用地,10,1,持分移轉,05120000
RPPNMLMJLHLGFCJ08DA,寶香段,280.71,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03090000
RPPNMLMKJHLGFBJ87DA,文化段,.32,都市：其他:第二種住宅區,10000,2,持分移轉,02030000
UPPOMLMJLHLGFBJ38DA,下寮段,29.96,非都市：山坡地保育區 ; 非都市編定：水利用地,768,20,持分移轉,12380001
SPPOMLMJLHLGFBJ18DA,義民段,23.61,非都市：特定農業區 ; 非都市編定：農牧用地,72,4,持分移轉,17850002
RPVNMLTJJHLGFBJ09DA,馬武督段赤柯山小段,1721.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02590005
VPPOMLMJLHLGFBJ48DA,下寮段,9.51,非都市：山坡地保育區 ; 非都市編定：林業用地,96,4,持分移轉,12390000
YPPOMLMJLHLGFBJ78DA,下寮段,3.22,非都市：山坡地保育區 ; 非都市編定：農牧用地,72,4,持分移轉,12670001
RPPNMLQJLHLGFCJ58EA,大隘段,1626.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,15950000
RPSNMLPJLHLGFCJ78EA,福林段,52.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07380000
RPSNMLPJLHLGFCJ78EA,福林段,245.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07400000
RPTNMLPJLHLGFCJ88EA,福林段,75.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08650000
RPTNMLPJLHLGFCJ88EA,福林段,4.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08660000
RPQNMLPKJHLGFDJ58EA,竹九段,3.51,非都市：一般農業區 ; 非都市編定：甲種建築用地,16,1,持分移轉,00020000
RPQNMLPKJHLGFDJ58EA,竹九段,45.45,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00020011
