編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKJIKGFDJ28CB,湖南段,1.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14660000
RPRNMLMKJIKGFDJ28CB,湖南段,1.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14660001
RPRNMLMKJIKGFDJ28CB,湖南段,.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14660002
RPRNMLMKJIKGFDJ28CB,湖南段,8.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14670000
RPRNMLMKJIKGFDJ28CB,湖南段,4.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14670001
RPRNMLMKJIKGFDJ28CB,湖南段,4.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14670002
RPRNMLMKJIKGFDJ28CB,湖南段,1.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1483,持分移轉,14680000
RPTNMLTKJIKGFBJ98CB,大學段,11.00,都市：商,100000,78,持分移轉,05200000
RPPNMLOKJIKGFDJ28CB,建興段建興小段,45.18,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1156,持分移轉,01230000
RPPNMLOKJIKGFDJ28CB,建興段建興小段,36.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1156,持分移轉,01280000
RPTNMLRKJIKGFDJ98CB,光華段,26.04,都市：住,100000,1714,持分移轉,03560000
RPPNMLTKJIKGFBJ58CB,溝貝段,22.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,15717,持分移轉,06670000
RPPNMLTKJIKGFBJ58CB,溝貝段,5.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,15714,持分移轉,06680000
RPPNMLTKJIKGFBJ58CB,溝貝段,1.18,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,15700,持分移轉,06690000
RPPNMLTKJIKGFBJ58CB,溝貝段,2.91,非都市：特定農業區 ; 非都市編定：農牧用地,1000000,15729,持分移轉,06600000
RPRNMLKLJIKGFDJ18CB,振興段,27.49,都市：住,100000,1341,持分移轉,01720002
RPUNMLRKJIKGFDJ09CB,光華段,26.04,都市：住,100000,1714,持分移轉,03560000
RPRNMLOLJIKGFDJ58CB,光華段,26.56,都市：住,100000,1748,持分移轉,03560000
RPWNMLRKJIKGFDJ66CB,湖南段,1.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1532,持分移轉,14660000
RPPNMLPLJIKGFBJ28CB,永興段,6.60,都市：住,100000,4556,持分移轉,01790002
RPWNMLRKJIKGFDJ66CB,湖南段,1.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1532,持分移轉,14660001
RPWNMLRKJIKGFDJ66CB,湖南段,.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1532,持分移轉,14660002
RPPNMLPLJIKGFBJ28CB,永興段,6.03,都市：住,100000,4556,持分移轉,01790003
RPWNMLRKJIKGFDJ66CB,湖南段,9.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1532,持分移轉,14670000
RPWNMLRKJIKGFDJ66CB,湖南段,4.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1532,持分移轉,14670001
RPPNMLPLJIKGFBJ28CB,永興段,5.85,都市：住,100000,4556,持分移轉,01790004
