編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTKJIKGFDJ98CC,,28.60,住家用,鋼筋混凝土造,,五層,,
RPQNMLTKJIKGFDJ98CC,,7.46,電梯．樓梯．走道,鋼筋混凝土造,,五層,,
RPPNMLNKJIKGFDJ28CC,6,85.71,集合住宅,鋼筋混凝土造,109年1月22日,十二層,,
RPPNMLNKJIKGFDJ28CC,6,41.75,共有部分,鋼筋混凝土造,109年1月22日,十二層,,
RPQNMLRKJIKGFDJ78CC,6,66.49,集合住宅,鋼筋混凝土造,108年6月21日,十五層,,
RPQNMLRKJIKGFDJ78CC,6,12.41,本共有部分之項目有停車空間、防空避難室、管委會空間等三項,鋼筋混凝土造,108年6月21日,十五層,,
RPQNMLRKJIKGFDJ78CC,6,19.20,本共有部分之項目有梯間、樓梯間、機電設備空間、機械室、水箱等五項,鋼筋混凝土造,108年6月21日,十五層,,
RPQNMLSKJIKGFBJ68CC,27,86.16,住家用,鋼筋混凝土造,87年10月14日,七層,,
RPQNMLSKJIKGFBJ68CC,27,49.84,共有部分,鋼筋混凝土造,87年10月14日,七層,,
RPUNMLOKJIKGFBJ68CC,18,23.14,住家用,鋼筋混凝土造,96年7月12日,五層,,
RPPNMLRKJIKGFDJ68CC,32,84.19,住家用,鋼筋混凝土造,82年8月21日,五層,,
RPPNMLRKJIKGFDJ68CC,32,9.55,共有部分,鋼筋混凝土造,82年8月21日,五層,,
RPPNMLRKJIKGFDJ68CC,32,2.85,共有部分,鋼筋混凝土造,82年8月21日,五層,,
RPVNMLOKJIKGFBJ78CC,18,23.14,住家用,鋼筋混凝土造,96年7月12日,五層,,
RPWNMLOKJIKGFBJ88CC,18,23.14,住家用,鋼筋混凝土造,96年7月12日,五層,,
RPPNMLKLJIKGFDJ08CC,,124.55,住家用,加強磚造,,二層,,
RPPNMLTKJIKGFDJ88CC,4,45.65,集合住宅,鋼筋混凝土造,110年10月25日,五層,,
RPPNMLTKJIKGFDJ88CC,4,12.40,本共有部分之項目有樓梯間、機房等２項,鋼筋混凝土造,110年10月25日,五層,,
RPQNMLSKJIKGFDJ88CC,32,79.03,住家用,鋼筋混凝土造,83年4月25日,四層,,
RPQNMLSKJIKGFDJ88CC,,10.81,共有部分,鋼筋混凝土造,,四層,,
RPRNMLTKJIKGFDJ09CC,21,85.66,住家用,鋼筋混凝土造,93年11月20日,六層,,
RPRNMLTKJIKGFDJ09CC,21,10.28,梯間．機房,鋼筋混凝土造,93年11月20日,六層,,
RPPNMLRKJIKGFBJ48CC,10,124.07,住家用,鋼筋混凝土造,105年1月14日,九層,,
