編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWQMLKKKHLGFDK09DA,1,82.75,集合住宅,鋼筋混凝土結構造,114年3月12日,十五層,十二層 陽台,全筆移轉
RPWQMLKKKHLGFDK09DA,1,28.72,共用部份,鋼筋混凝土結構造,114年3月12日,十五層,,持分移轉
RPWQMLKKKHLGFDK09DA,1,42.07,共用部份,鋼筋混凝土結構造,114年3月12日,十五層,,持分移轉
RPQPMLTJKHLGFFK76DA,33,98.63,住家用,鋼筋混凝土造,81年8月27日,四層,三層 陽台,全筆移轉
RPQPMLTJKHLGFFK76DA,33,8.08,樓梯間,鋼筋混凝土造,81年8月27日,四層,,持分移轉
RPVNMLTJJHLGFFK96DA,33,6.40,住家用,鋼筋混凝土造,82年7月3日,四層,,持分移轉
RPVNMLTJJHLGFFK96DA,33,111.35,住家用,鋼筋混凝土造,82年7月3日,四層,三層 陽台,全筆移轉
RPPOMLQJJHLGFFK78DA,6,68.45,店舖,鋼筋混凝土造,108年8月6日,十五層,一層 陽台,全筆移轉
RPPOMLQJJHLGFFK78DA,6,15.79,電梯機械室、梯間、水錶區、消防水箱、水箱,鋼筋混凝土造,108年8月6日,十五層,,持分移轉
RPPOMLQJJHLGFFK78DA,6,49.60,防空避難室兼停車空間、供管委會使用空間、樓電梯間、車道,鋼筋混凝土造,108年8月6日,十五層,,持分移轉
RPPNMLQKJHLGFDK58DA,22,15.44,住家用,鋼筋混凝土造,92年7月16日,四層,一層 陽台 雨遮,全筆移轉
RPPNMLQKJHLGFDK58DA,22,4.76,樓梯間,鋼筋混凝土造,92年7月16日,四層,,持分移轉
RPPNMLSJJHLGFDK68DA,1,198.82,集合住宅、停車空間,鋼筋混凝土造,113年10月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSJJHLGFDK68DA,1,.09,共用部份,鋼筋混凝土造,113年10月16日,一層,,持分移轉
RPVNMLOKJHLGFBK78DA,28,41.17,集合住宅，儲藏室浴廁,鋼筋混凝土造,87年6月18日,十層,五層 陽台 夾層,持分移轉
RPVNMLOKJHLGFBK78DA,28,12.27,防空避難室，機械房，車道，突出物，水箱,鋼筋混凝土造,87年6月18日,十層,,持分移轉
RPRWMLRJJHLGFDK07DA,44,83.27,住家用,加強磚造,70年8月20日,二層,一層 二層,全筆移轉
RPUNMLTJJHLGFFK86DA,29,114.88,住家用,鋼筋混凝土造,86年6月7日,四層,四層 陽台,全筆移轉
RPUNMLTJJHLGFFK86DA,29,9.60,住家用,鋼筋混凝土造,86年6月7日,四層,,持分移轉
RPUNMLTJJHLGFFK86DA,29,.02,停車空間,鋼筋混凝土造,86年6月7日,四層,,持分移轉
RPRNMLSJJHLGFFK09DA,31,.10,商業用,鋼筋混凝土造,84年3月31日,十三層,地下層,持分移轉
RPRNMLSJJHLGFFK09DA,31,15.92,停車空間，防空避難室，樓梯，走道,鋼筋混凝土造,84年3月31日,十三層,,持分移轉
RPPNMLQLJHLGFDK68DA,51,99.58,住家用,鋼筋混凝土加強磚造,64年3月3日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPTOMLRLJHLGFDK66DA,54,61.59,住家用,加強磚造,61年2月15日,一層,一層 騎樓,全筆移轉
RPRNMLSLJHLGFBK88DA,35,80.99,辦公室,鋼筋混凝土造,80年5月31日,二十二層,九層 陽台,全筆移轉
RPRNMLSLJHLGFBK88DA,35,24.72,共用部份,鋼筋混凝土造,80年5月31日,二十二層,,持分移轉
RPUNMLKLJHLGFBK38DA,77,33.00,住家用,木造,37年10月31日,一層,一層,全筆移轉
RPQNMLQLJHLGFBK58DA,,115.68,集合住宅,鋼筋混凝土造,114年12月3日,七層,五層 陽台,全筆移轉
RPQNMLQLJHLGFBK58DA,,75.62,本共有部分之項目有樓梯間、防空避難室、安全梯、電梯、騎樓、梯廳及停車空間（室內３輛）等７項。,鋼筋混凝土造,114年12月3日,七層,,持分移轉
RPRNMLKLJHLGFDK28DA,46,57.60,住家用,加強磚造,69年6月3日,二層,一層 二層 騎樓,持分移轉
RPRNMLKLJHLGFDK28DA,46,57.60,住家用,加強磚造,69年6月3日,二層,一層 二層 騎樓,持分移轉
RPRNMLMLJHLGFCK38DA,43,140.25,住家用,鋼筋混凝土造,72年2月28日,三層,一層 二層 三層,持分移轉
RPUOMLLLJHLGFBK58DA,32,.32,住家用,鋼筋混凝土造,82年12月3日,十層,地下層,持分移轉
RPUOMLLLJHLGFBK58DA,32,104.46,住家用,鋼筋混凝土造,82年12月3日,十層,八層 陽台,全筆移轉
RPUOMLLLJHLGFBK58DA,32,3.00,住家用,鋼筋混凝土造,82年12月3日,十層,,持分移轉
