編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLOJKHLGFFK68DA,顯會段,22.09,都市：其他:公園用地,600,50,持分移轉,09680000
RPROMLTJKHLGFFK76DA,北獅里興段北獅里興小段,38.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02570085
RPWQMLKKKHLGFDK09DA,大同段,15.81,都市：其他:商業區,100000,620,持分移轉,06960000
RPSNMLPJKHLGFDK78DA,成功段,28.36,都市：其他:公園用地,180,9,持分移轉,01490000
RPSNMLPJKHLGFDK78DA,成功段,110.52,都市：其他:農業區,180,9,持分移轉,01500000
RPSNMLPJKHLGFDK78DA,成功段,99.07,都市：其他:農業區,180,9,持分移轉,01510000
RPSNMLPJKHLGFDK78DA,成功段,74.89,都市：其他:農業區,900,45,持分移轉,01520000
RPSNMLPJKHLGFDK78DA,成功段,.29,都市：其他:農業區,20,1,持分移轉,01520001
RPPNMLPLKHLGFEK88EA,雙潭段,2006.51,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08330004
RPXNMLNJKHLGFBK88DA,關爺埔段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05500000
RPOOMLNJKHLGFBK08DA,關爺埔段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05500013
RPRNMLNJKHLGFBK28DA,關爺埔段,1030.45,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05500014
RPWNMLOJKHLGFBK88DA,維祥段維祥小段,98.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,02030006
RPTNMLKKKHLGFBK28DA,外獅潭段,26.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05700006
RPTNMLQJKHLGFCK88DA,泰田段,53.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16580000
RPPNMLPJLHLGFBK38DA,英才段,137.66,都市：其他:住宅區,4,2,持分移轉,11840000
RPQPMLTJKHLGFFK76DA,親民段,54.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1224,54,持分移轉,01880000
RPPNMLOLKHLGFDK58DA,大桃坪段,3000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06250023
RPROMLPLKHLGFDK98DA,龍昇段,1312.56,非都市：山坡地保育區 ; 非都市編定：水利用地,1125000,562500,持分移轉,08440000
RPRNMLPJJHLGFCK48DA,慈護段,100.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,5,1,持分移轉,02670000
RPRNMLPJJHLGFCK48DA,慈護段,152.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,5,1,持分移轉,02680000
RPTNMLNKJHLGFFK88DA,興埔段,549.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,00860000
RPPNMLOJLHLGFCK38DA,苑南段,4.79,都市：其他:住宅區,1,1,全筆移轉,08370001
RPTNMLMJKHLGFDK58DA,龍鳳西段,100.05,都市：其他:住宅區,1,1,全筆移轉,03490000
RPPNMLOJJHLGFCK18DA,湖內段,394.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07670000
RPVNMLTJJHLGFFK96DA,親民段,60.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,36,1,持分移轉,00710000
RPQNMLPKJHLGFEK68DA,新雞隆段,1738.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,26960002
RPPNMLMKJHLGFFK38DA,北獅里興段北獅里興小段,100.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02680081
RPPNMLLJJHLGFBK77DA,大坑段,252.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01440003
RPPOMLQJJHLGFFK78DA,仁愛段,21.56,都市：其他:住宅區,10000,36,持分移轉,00480000
RPPNMLMKJHLGFBK97DA,南勢坑段下南勢坑小段,1232.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04190000
RPTNMLKLJHLGFCK38DA,鎮安段,439.40,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10390002
