編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTKJIKGFFK66CB,一樓平面,1600000,13.25,一樓
RPTNMLLLJIKGFFK78CB,坡道平面,1550000,24.97,地下四樓
RPPNMLPLJIKGFDK68DB,一樓平面,1300000,14.65,一樓
RPPNMLKMJIKGFFK38CB,坡道平面,1750000,34.29,地下二樓
RPSOMLPLJIKGFBK78CB,坡道平面,1200000,36.62,地下二樓
RPTOMLPLJIKGFBK88CB,坡道平面,1300000,36.62,地下一樓
RPUNMLPLJIKGFBK88CB,坡道平面,1300000,39.94,地下二樓
RPRNMLPLJIKGFBK58CB,坡道平面,1300000,36.62,地下一樓
RPPOMLPLJIKGFBK48CB,坡道平面,1100000,26.90,地下一樓
RPTNMLPLJIKGFBK78CB,坡道平面,1300000,36.62,地下一樓
RPUOMLPLJIKGFBK98CB,坡道平面,1200000,36.62,地下二樓
RPUOMLPLJIKGFBK98CB,坡道平面,1200000,36.62,地下二樓
RPPNMLLJKIKGFBK87CB,坡道平面,1300000,36.62,地下一樓
RPXNMLPLJIKGFBK56CB,一樓平面,1100000,26.90,一樓
RPSNMLPLJIKGFBK68CB,坡道平面,1150000,33.70,地下一樓
RPVOMLPLJIKGFBK09CB,一樓平面,750000,,一樓
RPVNMLPLJIKGFBK98CB,坡道平面,1200000,36.62,地下二樓
RPPNMLOLJIKGFBK28CB,一樓平面,0,15.01,一樓
RPQNMLPLJIKGFBK48CB,坡道平面,1150000,33.70,地下一樓
RPQNMLPLJIKGFBK48CB,坡道平面,1300000,36.62,地下一樓
RPQOMLPLJIKGFBK58CB,坡道平面,1300000,36.62,地下一樓
RPQOMLPLJIKGFBK58CB,坡道平面,1300000,36.62,地下一樓
RPPNMLPLJIKGFBK38CB,坡道平面,1100000,33.70,地下二樓
RPRNMLSLJIKGFDK09CB,坡道平面,2300000,18.04,地下一樓
RPPNMLLJKIKGFDK08CB,其他,1000000,9.75,一樓
RPPNMLQLJIKGFDK68CB,一樓平面,0,21.87,一樓
RPQNMLLJKIKGFDK18CB,坡道平面,1980000,23.97,地下二樓
RPPNMLOJKIKGFDK38CB,坡道平面,1550000,26.62,地下二樓
RPPNMLMJKIKGFDK18CB,坡道平面,0,12.23,地下一樓
RPRNMLOJKIKGFDK58CB,坡道平面,1450000,26.62,地下二樓
RPPNMLNJKIKGFDK28CB,一樓平面,1360000,15.75,一樓
RPQNMLOJKIKGFDK48CB,坡道平面,1450000,26.62,地下二樓
RPPNMLTJKIKGFDK88CB,一樓平面,1200000,18.14,一樓
RPPNMLTJKIKGFFK09CB,一樓平面,1600000,13.25,一樓
RPQNMLKKKIKGFDK18CB,坡道平面,1700000,29.72,地下一樓
RPQNMLKKKIKGFBK97CB,一樓平面,0,14.98,一樓
RPRNMLKKKIKGFBK08CB,一樓平面,0,15.00,一樓
RPPNMLKKKIKGFBK87CB,一樓平面,0,14.98,一樓
RPPNMLPKKIKGFBK38CB,一樓平面,0,15.20,一樓
RPPNMLQKKIKGFBK48CB,一樓平面,0,15.24,一樓
RPQNMLPKKIKGFBK48CB,一樓平面,0,15.20,一樓
RPQNMLTJKIKGFBK78CB,坡道平面,1300000,36.62,地下一樓
RPQNMLTJKIKGFBK78CB,坡道平面,1300000,36.62,地下一樓
RPPNMLSJKIKGFBK58CB,坡道機械,550000,19.49,一樓
RPPNMLSKKIKGFBK68CB,一樓平面,0,14.98,一樓
RPPNMLQKKIKGFDK68CB,坡道平面,1350000,25.21,地下二樓
RPSNMLKKKIKGFBK18CB,一樓平面,0,14.98,一樓
RPQNMLSKKIKGFBK78CB,一樓平面,0,14.98,一樓
RPRNMLQKKIKGFDK88CB,坡道平面,1450000,26.62,地下二樓
RPSNMLSKKIKGFDK56CB,一樓平面,1400000,29.50,一樓
RPUNMLSKKIKGFDK76CB,坡道平面,1400000,29.50,地下一樓
RPQNMLQKKIKGFDK78CB,坡道平面,1550000,26.62,地下一樓
RPSOMLSKKIKGFDK66CB,坡道平面,1850000,22.24,地下一樓
RPVOMLSKKIKGFDK96CB,坡道平面,1400000,29.50,地下一樓
RPVNMLSKKIKGFDK86CB,坡道平面,1500000,29.50,地下一樓
RPWNMLSKKIKGFDK96CB,坡道平面,1400000,29.50,地下一樓
RPQOMLSKKIKGFDK09CB,坡道平面,1400000,29.50,地下一樓
RPPNMLTKKIKGFDK98CB,坡道平面,1400000,29.50,地下一樓
RPTOMLSKKIKGFDK76CB,坡道平面,1400000,29.50,地下一樓
RPRNMLSKKIKGFDK09CB,一樓平面,1400000,29.50,一樓
RPTNMLSKKIKGFDK66CB,坡道平面,1400000,29.50,地下一樓
RPPNMLMLKIKGFFK58CB,坡道平面,2300000,30.25,地下一樓
RPROMLSKKIKGFDK56CB,坡道平面,1400000,29.50,地下一樓
RPUOMLSKKIKGFDK86CB,坡道平面,1400000,29.50,地下一樓
RPPNMLKLKIKGFBK97CB,一樓平面,0,19.73,一樓
RPRNMLKLKIKGFFK58CB,坡道平面,2050000,33.47,地下一樓
RPQNMLKLKIKGFFK48CB,坡道平面,2100000,34.57,地下一樓
RPQNMLMLKIKGFFK68CB,坡道平面,1750000,34.29,地下三樓
RPRNMLSKKIKGFFK66CB,一樓平面,1250000,13.75,一樓
RPQNMLKLKIKGFBK08CB,一樓平面,0,19.73,一樓
RPPNMLKLKIKGFFK38CB,坡道平面,2150000,34.57,地下一樓
RPPNMLNLKIKGFBK28CB,一樓平面,0,16.01,一樓
RPPNMLNLKIKGFBK28CB,一樓平面,0,16.01,一樓
RPQNMLNLKIKGFBK38CB,一樓平面,0,16.01,一樓
RPPNMLNLKIKGFFK68CB,一樓平面,1750000,7.43,一樓
RPQNMLKMKIKGFDK38CB,坡道平面,1810000,23.97,地下三樓
RPQNMLTLKIKGFFK76CB,一樓平面,0,34.55,一樓
RPPNMLPLKIKGFDK68CB,一樓平面,0,,一樓
RPPNMLKMKIKGFDK28CB,坡道平面,1960000,23.97,地下二樓
RPPNMLKMKIKGFFK48CB,坡道平面,1800000,24.49,地下二樓
RPPNMLKMKIKGFFK48CB,坡道平面,1800000,24.49,地下二樓
RPPNMLTLKIKGFFK66CB,一樓平面,1600000,13.25,一樓
RPQNMLKMKIKGFFK58CB,坡道平面,1700000,24.49,地下二樓
RPQNMLKMKIKGFFK58CB,坡道平面,1800000,24.49,地下二樓
RPRNMLKMKIKGFFK68CB,坡道平面,1900000,24.97,地下二樓
RPTNMLKMKIKGFFK88CB,坡道平面,1900000,24.97,地下二樓
RPSNMLKMKIKGFFK78CB,坡道平面,1950000,24.97,地下一樓
RPPNMLLMKIKGFDK38CB,坡道平面,1900000,20.19,地下二樓
RPPNMLMLKIKGFBK28DB,坡道平面,1250000,28.74,地下二樓
RPPNMLMJJHLGFBK87CB,一樓平面,0,16.01,一樓
RPPNMLQJJHLGFFK68CB,坡道平面,1800000,24.49,地下二樓
RPPNMLQJJHLGFFK68CB,坡道平面,1800000,24.49,地下二樓
RPPNMLPJJHLGFBK18CB,一樓平面,0,16.01,一樓
RPSNMLLMKIKGFDK68CB,其他,900000,9.75,一樓
RPPNMLNJJHLGFDK18CB,其他,0,22.23,一樓
RPPNMLSJJHLGFFK88CB,坡道平面,2000000,24.49,地下一樓
RPPNMLSJJHLGFFK88CB,坡道平面,2000000,24.49,地下一樓
RPPNMLRJJHLGFBK38CB,一樓平面,0,15.24,一樓
RPQNMLTJJHLGFBK68CB,一樓平面,0,15.20,一樓
RPRNMLLMKIKGFDK58CB,其他,900000,9.75,一樓
RPPNMLTJJHLGFBK58CB,一樓平面,0,15.20,一樓
RPPNMLOKJHLGFDK38CB,一樓平面,0,1.65,一樓
RPPNMLNKJHLGFDK28CB,一樓平面,1350000,14.35,一樓
RPPNMLPKJHLGFBK28CB,一樓平面,0,16.01,一樓
RPQNMLPKJHLGFBK38CB,一樓平面,0,16.01,一樓
RPWNMLQKJHLGFDK66CB,一樓平面,1500000,29.50,一樓
RPPNMLLKJHLGFCK08DB,坡道平面,650000,18.00,地下一樓
RPSOMLQKJHLGFDK98CB,一樓平面,0,16.53,一樓
RPTNMLQKJHLGFDK98CB,坡道平面,1500000,29.50,地下一樓
RPPNMLRKJHLGFFK88CB,坡道平面,1750000,34.29,地下三樓
RPPNMLTKJHLGFDK88CB,坡道平面,1400000,29.50,地下一樓
RPPNMLKLJHLGFBK87CB,坡道平面,1100000,26.90,地下一樓
RPRNMLTKJHLGFFK66CB,坡道平面,2050000,24.97,地下一樓
RPPNMLTKJHLGFFK09CB,坡道平面,1700000,24.97,地下三樓
RPPNMLKLJHLGFDK08CB,一樓平面,0,15.23,一樓
RPQNMLTKJHLGFFK56CB,坡道平面,1900000,24.97,地下二樓
RPQNMLKLJHLGFDK18CB,一樓平面,0,15.23,一樓
RPPNMLKLJHLGFCK08DB,坡道平面,350000,9.00,地下一樓
RPPNMLMLJHLGFBK08CB,一樓平面,0,14.98,一樓
RPRNMLKLJHLGFFK48CB,坡道平面,2000000,40.02,地下一樓
RPQNMLMLJHLGFDK38CB,坡道平面,1700000,29.72,地下一樓
RPSNMLMLJHLGFDK58CB,坡道平面,1600000,29.72,地下二樓
RPRNMLMLJHLGFDK48CB,坡道平面,1600000,29.72,地下二樓
RPRNMLMLJHLGFDK48CB,坡道平面,1600000,29.72,地下二樓
RPRNMLNLJHLGFFK78CB,坡道平面,1750000,29.08,地下三樓
RPPNMLNLJHLGFBK18CB,坡道平面,1200000,36.62,地下二樓
RPQNMLNLJHLGFFK68CB,坡道平面,1850000,29.08,地下二樓
RPQNMLNLJHLGFBK28CB,坡道平面,1250000,29.20,地下一樓
RPSNMLNLJHLGFFK88CB,坡道平面,1950000,29.08,地下一樓
RPUNMLNLJHLGFFK09CB,坡道平面,1750000,29.08,地下三樓
RPPNMLNLJHLGFFK58CB,坡道平面,1950000,29.08,地下一樓
RPQNMLPLJHLGFDK68CB,坡道平面,1500000,33.69,地下三樓
RPTNMLNLJHLGFFK98CB,坡道平面,1750000,29.08,地下三樓
RPQNMLKLJHLGFCK08CB,一樓平面,0,12.89,一樓
RPPNMLLKKIKGFCK08CB,坡道平面,1000000,29.76,地下一樓
RPPNMLMKJHLGFCK08CB,坡道平面,1000000,30.99,地下一樓
RPPNMLKLJHLGFCK97CB,一樓平面,0,20.50,一樓
RPPNMLQLJHLGFDK68CB,其他,0,22.23,一樓
RPPNMLQLJHLGFCK68DB,升降機械,500000,10.00,一樓
RPPNMLRLJHLGFBK58CB,坡道平面,1200000,36.62,地下二樓
RPPNMLTLJHLGFFK56CB,坡道平面,1900000,24.49,地下二樓
RPPNMLTLJHLGFFK56CB,坡道平面,2000000,24.49,地下二樓
RPQNMLRLJHLGFBK68CB,坡道平面,1300000,36.62,地下一樓
RPPNMLKMJHLGFBK97CB,一樓平面,0,16.01,一樓
RPPNMLLMJHLGFBK08CB,一樓平面,0,19.56,一樓
RPPNMLTLJHLGFBK78CB,一樓平面,0,15.24,一樓
RPQNMLTLJHLGFBK88CB,坡道平面,950000,28.00,地下二樓
RPQNMLLMJHLGFFK58CB,坡道平面,2000000,34.57,地下二樓
RPPNMLLMJHLGFFK48CB,坡道平面,2150000,32.82,地下一樓
RPRNMLLMJHLGFFK68CB,坡道平面,1800000,33.47,地下三樓
RPQNMLMJKHLGFDK28CB,坡道平面,1350000,25.51,地下一樓
RPSNMLNJKHLGFDK58CB,一樓平面,1500000,14.94,一樓
RPPNMLMJKHLGFDK18CB,坡道平面,1550000,26.62,地下二樓
RPQNMLNJKHLGFDK38CB,一樓平面,1500000,,一樓
RPRNMLNJKHLGFDK48CB,其他,700000,6.35,一樓
RPVNMLNJKHLGFDK88CB,其他,700000,6.35,一樓
RPUNMLNJKHLGFDK78CB,一樓平面,1300000,,一樓
RPTNMLNJKHLGFDK68CB,其他,700000,6.35,一樓
RPPNMLNJKHLGFBK18DB,坡道平面,1200000,28.74,地下二樓
RPPNMLOJKHLGFCK28CB,坡道平面,1500000,22.75,地下一樓
RPQNMLOJKHLGFBK28CB,一樓平面,0,14.98,一樓
RPPNMLOJKHLGFBK18CB,一樓平面,0,14.98,一樓
RPQNMLNJKHLGFBK28DB,坡道平面,1200000,28.74,地下二樓
RPPNMLOJKHLGFFK58CB,坡道平面,2200000,40.02,地下一樓
RPQNMLOJKHLGFFK68CB,坡道平面,2100000,40.02,地下一樓
RPSNMLOJKHLGFFK88CB,坡道平面,1750000,29.08,地下三樓
RPUNMLOJKHLGFFK09CB,坡道平面,1750000,29.08,地下三樓
RPTNMLOJKHLGFFK98CB,坡道平面,1750000,29.08,地下三樓
RPVNMLOJKHLGFFK56CB,坡道平面,1750000,29.08,地下三樓
RPWNMLOJKHLGFFK66CB,坡道平面,1850000,34.29,地下二樓
RPXNMLOJKHLGFFK76CB,坡道平面,2100000,34.27,地下一樓
RPOOMLOJKHLGFFK58CB,坡道平面,1800000,34.27,地下二樓
RPPNMLPJKHLGFDK48CB,坡道平面,1550000,34.86,地下三樓
RPPNMLPJKHLGFBK28CB,坡道平面,1200000,36.62,地下二樓
RPPNMLQJKHLGFDK58CB,坡道平面,1710000,23.97,地下三樓
RPSNMLRJKHLGFBK78CB,一樓平面,0,19.73,一樓
RPPNMLKKKHLGFDK08CB,坡道平面,1550000,26.62,地下二樓
RPRNMLOJKHLGFFK78CB,坡道平面,1750000,29.08,地下三樓
RPPNMLKKKHLGFFK28CB,坡道平面,1800000,24.97,地下三樓
RPQNMLKKKHLGFFK38CB,坡道平面,1800000,24.97,地下三樓
RPUNMLKKKHLGFDK58CB,一樓平面,0,,一樓
RPPNMLLKKHLGFDK18CB,坡道平面,1400000,29.50,地下一樓
RPRNMLKKKHLGFFK48CB,坡道平面,1700000,24.97,地下四樓
RPQNMLLKKHLGFDK28CB,坡道平面,1900000,25.92,地下二樓
RPPNMLLKKHLGFFK38CB,坡道平面,1750000,34.29,地下三樓
RPPNMLMKKHLGFBK08CB,其他,750000,19.49,一樓
RPPNMLMKKHLGFDK28CB,一樓平面,0,16.92,一樓
RPRNMLMKKHLGFDK48CB,一樓平面,1100000,12.65,一樓
RPPNMLMKKHLGFCK18CB,坡道機械,850000,7.50,地下一樓
RPSNMLMKKHLGFDK58CB,坡道平面,1550000,34.86,地下三樓
RPSNMLNKKHLGFDK68CB,坡道平面,1350000,26.62,地下二樓
RPRNMLNKKHLGFDK58CB,坡道平面,1550000,33.09,地下二樓
