鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
草屯鎮,租賃房屋,南投縣草屯鎮富春路四維巷１２號一樓之１,0.0,,,,1141111,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120628,77.81,2,2,1,有,有,有,15000,193,,0.0,0,,RPPNMLRKJIKGFBM78CC,整棟(戶)出租,有,1141115~1151114,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮登輝路２１７之２號四樓之１,0.0,,,,1141113,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140502,121.64000000000001,3,2,2,有,有,有,17000,140,,0.0,0,,RPQNMLRKJIKGFBM88CC,整棟(戶)出租,有,1141116~1151115,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋,南投縣南投市仁愛路１０２巷２８弄２８號三樓之１,0.0,,,,1141117,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120214,52.339999999999996,1,1,1,有,有,無,12500,239,,0.0,0,每月管理費500元由承租人負擔，未計入租金。,RPPNMLSKJIKGFAM78CC,獨立套房,有,1141120~1151119,有,冷氣、熱水器,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富中路３３９巷６５號,0.0,,,,1141117,土地0建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1070822,161.24,5,1,3,有,無,有,19000,118,,0.0,0,,RPPNMLSKJIKGFBM88CC,整棟(戶)出租,無,1141125~1151124,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮樹人路２０８號,0.0,,,,1141114,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0710630,96.2,1,2,2,有,無,有,11000,114,,0.0,0,,RPPNMLSKJIKGFCM98CC,整棟(戶)出租,無,1141210~1151209,無,冷氣、熱水器,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮南安路７４３巷１２號九樓之１,0.0,,,,1141117,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0830114,101.5,3,2,2,有,有,有,13300,131,,0.0,0,每月管理費1700元由出租人負擔，租金已扣除。,RPQNMLSKJIKGFCM09CC,整棟(戶)出租,有,1141120~1151119,有,熱水器、冰箱、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富中路６５號５樓,0.0,,,,1141111,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.4,4,0,4,有,有,有,6500,174,,0.0,0,,RPSNMLTKJIKGFBM66CC,分租套房,有,1141111~1151110,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路６３號５樓,0.0,,,,1141113,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.41,4,0,4,有,有,有,6500,174,,0.0,0,,RPTNMLTKJIKGFBM76CC,分租套房,有,1141113~1151112,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號２樓,0.0,,,,1141115,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,6500,171,,0.0,0,續租案件；,RPUNMLTKJIKGFBM86CC,分租套房,有,1150105~1150704,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號２樓,0.0,,,,1141114,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,6000,158,,0.0,0,,RPWNMLTKJIKGFBM07CC,分租套房,有,1141114~1151113,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路７３號四樓,0.0,,,,1141113,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,40.64,4,0,4,有,有,有,6000,148,,0.0,0,,RPOOMLTKJIKGFBM98CC,分租套房,有,1141113~1151112,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５９號二樓,0.0,,,,1141113,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.85,4,0,4,有,有,有,6000,159,,0.0,0,,RPSOMLTKJIKGFBM76CC,分租套房,有,1141113~1151112,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號三樓,0.0,,,,1141113,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,6300,166,,0.0,0,續租案件；,RPTOMLTKJIKGFBM86CC,分租套房,有,1141113~1151112,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路６１號,0.0,,,,1141114,土地0建物0車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.39,4,0,4,有,有,有,5920,158,,0.0,0,多人共同承租2；,RPUOMLTKJIKGFBM96CC,分租套房,有,1141114~1151113,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
埔里鎮,租賃房屋,南投縣埔里鎮八德路２６２號,0.0,,,,1141114,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0730113,108.51,3,3,2,有,無,有,10000,92,,0.0,0,,RPPNMLTKJIKGFCM09CC,整棟(戶)出租,無,1141201~1151130,無,熱水器、電視機、瓦斯或天然氣,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮九成街５９巷２弄１３號,0.0,,,,1141115,土地0建物1車位0,全,2,透天厝,住宅、樓梯間,鋼筋混凝土造,0991230,98.47,2,2,1,有,無,有,11000,112,,0.0,0,,RPQNMLTKJIKGFCM56CC,整棟(戶)出租,無,1141210~1151209,無,熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
竹山鎮,租賃房屋,南投縣竹山鎮瑞竹巷２５弄７之３號,0.0,,,,1141117,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850424,115.33,3,2,2,有,有,有,12000,104,,0.0,0,每月管理費300元由承租人負擔，未計入租金。,RPPNMLTKJIKGFDM56CC,整棟(戶)出租,有,1141118~1151117,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富中路６９號四樓,0.0,,,,1141116,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.620000000000005,4,0,4,有,有,有,6000,159,,0.0,0,,RPPNMLKLJIKGFBM18CC,分租套房,有,1141116~1151115,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
南投市,租賃房屋,南投縣南投市彰南路三段９８３巷１１號,0.0,,,,1141121,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840311,157.38,5,1,3,有,無,有,8000,51,,0.0,0,續租案件；,RPPNMLOLJIKGFAM48CC,整棟(戶)出租,無,1150128~1160127,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號四樓,0.0,,,,1141115,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,5300,140,,0.0,0,續租案件；,RPPNMLQLJIKGFBM78CC,分租套房,有,1150208~1160207,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮民生二街４３號六樓之８,0.0,,,,1141121,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830411,75.42,2,1,1,有,有,有,12000,159,,0.0,0,續租案件；,RPQNMLQLJIKGFBM88CC,整棟(戶)出租,有,1141205~1151204,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋,南投縣南投市營北路１１６巷１１號,97.17,住,,,1141114,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0680702,90.16,2,2,2,有,無,有,15000,166,,0.0,0,含增建或未登記建物；,RPPNMLRLJIKGFAM78CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、冰箱,
埔里鎮,租賃房屋,南投縣埔里鎮水裡巷６８號三樓之５,0.0,,,,1141126,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1130925,61.32,2,1,1,有,有,有,19800,323,,0.0,0,每月管理費1420元由承租人負擔，未計入租金。,RPPNMLRLJIKGFCM98CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋,南投縣南投市光明南路８４號,0.0,,,,1141126,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0831117,145.38,4,3,3,有,無,有,19000,131,,0.0,0,,RPQNMLSLJIKGFAM98CC,整棟(戶)出租,無,1141205~1151204,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮炎峰街３之１號八樓,13.46,其他,,,1141122,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840719,84.12,3,2,2,有,無,無,16000,190,,0.0,0,,RPPNMLLJKIKGFBM18CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、瓦斯或天然氣,
南投市,租賃房屋,南投縣南投市仁愛路１０２巷２８弄２８號四樓之１,0.0,,,,1141128,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120214,67.94,1,1,1,有,無,有,14000,206,,0.0,0,未租賃車位，建物登記含有車位面積；,RPPNMLMJKIKGFAM18CC,獨立套房,無,1141201~1151130,有,冷氣、熱水器,社會住宅代管
南投市,租賃房屋,南投縣南投市工業路６８號,0.0,,,,1141128,土地0建物1車位0,見其他登記事項,1,店面(店鋪),店舖,鋼筋混凝土造、鋼骨造,1140728,190.76,0,0,0,無,無,無,33000,173,,0.0,0,,RPQNMLMJKIKGFAM28CC,,無,1150101~1171231,無,,
草屯鎮,租賃房屋,南投縣草屯鎮富春路四維巷１０號八樓之７,0.0,,,,1141127,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120628,127.8,3,2,2,有,有,有,15000,117,,0.0,0,未租賃車位，建物登記含有車位面積；,RPPNMLMJKIKGFBM28CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富春路４８巷１６號,0.0,,,,1141127,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0910808,151.61,5,1,3,有,無,有,15000,99,,0.0,0,多人共同承租2；,RPRNMLMJKIKGFBM48CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機、電視機,社會住宅代管
草屯鎮,租賃房屋+車位,南投縣草屯鎮芬草路一段３００之１號,171.0,農,,,1141123,土地1建物1車位1,見其他登記事項,2,農舍,農舍,鋼筋混凝土加強磚造,0711102,145.35,4,3,2,有,無,無,18000,,其他,0.0,0,,RPTNMLMJKIKGFBM68CC,整棟(戶)出租,無,1141210~1151210,無,熱水器,
