鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
員林市,土地,員埔段555地號,96.53,,特定農業區,甲種建築用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1460000,15125,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLOJKHLGFDN76DA,0.0,0.0,0.0,無,0001
二林鎮,土地,大永段638地號,237.8,,鄉村區,乙種建築用地,1150204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3236850,13612,,0.0,0,,RPUNMLTJKHLGFGN37DA,0.0,0.0,0.0,無,
彰化市,土地,中山段1453地號,13.8,都市：其他:道路用地,,,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,28986,,0.0,0,包含公共設施保留地用地；,RPQNMLKKKHLGFAN18DA,0.0,0.0,0.0,無,0002
和美鎮,土地,大嘉段869-12地號,80.0,,特定農業區,甲種建築用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,12500,,0.0,0,,RPQNMLKKKHLGFBN28DA,0.0,0.0,0.0,無,
和美鎮,土地,大嘉段869-19地號,80.0,,特定農業區,甲種建築用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,12500,,0.0,0,,RPRNMLKKKHLGFBN38DA,0.0,0.0,0.0,無,
線西鄉,土地,重興段1038地號,253.5,,特定農業區,甲種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300400,9075,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJKHLGFBN09DA,0.0,0.0,0.0,無,
田中鎮,土地,中央段447地號,135.0,都市：其他:道路用地,,,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,728250,5394,,0.0,0,包含公共設施保留地用地；,RPPNMLKKKHLGFEN48DA,0.0,0.0,0.0,無,
田中鎮,土地,中央段445地號,659.5,住,,,1150204,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11271750,17091,,0.0,0,,SPPNMLKKKHLGFEN58DA,0.0,0.0,0.0,無,
彰化市,土地,西門口段369-1地號,511.2,都市：其他:綠園道用地,,,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10928434,21378,,0.0,0,包含公共設施保留地用地；,RPSNMLNLKHLGFAN78DA,0.0,0.0,0.0,無,0003
