編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLKKKHLGFAN18DA,中山段,13.80,都市：其他:道路用地,49,13,持分移轉,14530000
RPSNMLNLKHLGFAN78DA,西門口段,511.20,都市：其他:綠園道用地,1,1,全筆移轉,03690001
SPPNMLKKKHLGFEN58DA,中央段,358.25,都市：其他:住宅區,8,2,持分移轉,04450000
SPPNMLKKKHLGFEN58DA,中央段,.75,都市：其他:住宅區,8,2,持分移轉,04460000
SPPNMLKKKHLGFEN58DA,中央段,296.00,都市：其他:住宅區,8,2,持分移轉,04480000
SPPNMLKKKHLGFEN58DA,中央段,2.50,都市：其他:住宅區,8,2,持分移轉,04480002
SPPNMLKKKHLGFEN58DA,中央段,.25,都市：其他:住宅區,8,2,持分移轉,04490001
SPPNMLKKKHLGFEN58DA,中央段,1.75,都市：其他:住宅區,8,2,持分移轉,04490007
RPUNMLTJKHLGFGN37DA,大永段,17.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06370000
RPUNMLTJKHLGFGN37DA,大永段,220.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06380000
RPPNMLKKKHLGFEN48DA,中央段,135.00,都市：其他:道路用地,8,2,持分移轉,04470000
RPQNMLTJKHLGFBN09DA,重興段,253.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,10380000
RPRNMLKKKHLGFBN38DA,大嘉段,80.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08690019
RPQNMLKKKHLGFBN28DA,大嘉段,80.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08690012
RPQNMLLKKHLGFBN38DA,中山段,12.81,都市：其他:住宅區,1,1,全筆移轉,10780000
RPTNMLMKKHLGFBN78DA,和東段,122.00,都市：住,1,1,全筆移轉,06490002
RPPNMLPLKHLGFBN78DA,犁盛段,21.56,非都市：特定農業區 ; 非都市編定：農牧用地,15600,2078,持分移轉,05650000
RPPNMLPLKHLGFBN78DA,犁盛段,47.07,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05890000
RPPNMLPLKHLGFBN78DA,犁盛段,73.16,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,05900000
RPRNMLKKKHLGFGN88DA,芳功段,324.01,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,14070000
RPRNMLKKKHLGFGN88DA,芳功段,56.49,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,14070002
RPWNMLOJKHLGFDN76DA,員埔段,96.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,600,20,持分移轉,05550000
RPQNMLMJLHLGFGN98DA,竹塘段,2828.00,都市：其他:學校用地,1,1,全筆移轉,03480000
RPPNMLQLKHLGFGN76DA,芳合段,98.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09990000
RPPNMLQLKHLGFGN76DA,芳合段,20.88,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10000000
RPPNMLKKKHLGFAN08DA,曾厝段,12.05,非都市：特定農業區 ; 非都市編定：甲種建築用地,38,2,持分移轉,10160000
RPPNMLKKKHLGFAN08DA,曾厝段,7.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,38,2,持分移轉,10170000
RPPNMLKKKHLGFAN08DA,曾厝段,140.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10170012
RPPNMLLKKHLGFAN18DA,新芬園段,74.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02360000
RPRNMLOLKHLGFGN76DA,竹崙段,49.08,都市：其他:住宅區,1,1,全筆移轉,09770002
RPQNMLNLKHLGFGN56DA,芳功段,202.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,80000,12828,持分移轉,02350000
RPQNMLNLKHLGFGN56DA,芳功段,5.54,非都市：鄉村區 ; 非都市編定：交通用地,40000,6414,持分移轉,02360000
RPQNMLNLKHLGFGN56DA,芳功段,108.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,8000,1106,持分移轉,02400000
RPSNMLOLKHLGFGN86DA,竹崙段,116.30,都市：其他:住宅區,1,1,全筆移轉,09780000
RPTNMLOJKHLGFGN76DA,趙甲段,98.23,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10480000
RPPNMLNLKHLGFEN88DA,太平段,120.85,非都市：山坡地保育區 ; 非都市編定：農牧用地,90,5,持分移轉,00040000
RPPNMLNLKHLGFEN88DA,太平段,54.07,非都市：一般農業區 ; 非都市編定：交通用地,90,5,持分移轉,02170000
RPQNMLPLKHLGFGN76DA,竹塘段,247.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,26250001
RPPOMLPLKHLGFAN78DA,金馬段,15.91,都市：其他:道路用地,7,1,持分移轉,07160000
RPVNMLQLKHLGFGN37DA,三林段,1744.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01900000
RPPNMLNLKHLGFGN56EA,五庄段,555.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,84,9,持分移轉,08860000
RPPNMLNLKHLGFGN56EA,五庄段,12.49,非都市：特定農業區 ; 非都市編定：農牧用地,84,1,持分移轉,08870000
RPPNMLNJLHLGFCN58DA,鹿犁段,106.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03070003
RPQNMLOJLHLGFHN66DA,太平西段,.14,非都市：特定農業區 ; 非都市編定：農牧用地,288000,35,持分移轉,07950000
RPPNMLNJLHLGFCN58DA,鹿犁段,55.70,非都市：一般農業區 ; 非都市編定：農牧用地,338840,55695,持分移轉,03080002
RPQNMLOJLHLGFHN66DA,太平西段,.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,288000,35,持分移轉,08090000
RPQNMLOJLHLGFHN66DA,太平西段,236.54,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,08850000
RPQNMLOJLHLGFHN66DA,太平東段,6.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,720,1,持分移轉,16470000
RPQNMLOJLHLGFHN66DA,太平東段,.02,非都市：特定農業區 ; 非都市編定：交通用地,36000,35,持分移轉,18610000
RPTNMLMJLHLGFCN88DA,鹿犁段,106.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03070005
RPTNMLMJLHLGFCN88DA,鹿犁段,55.70,非都市：一般農業區 ; 非都市編定：農牧用地,338840,55695,持分移轉,03080002
RPTNMLMJLHLGFCN88DA,鹿犁段,207.69,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03080007
RPQNMLMJLHLGFHN09DA,霖興段,103.00,都市：其他:住宅區,1,1,全筆移轉,12500004
RPQNMLOJLHLGFHN66DA,太平東段,.09,非都市：特定農業區 ; 非都市編定：交通用地,36000,35,持分移轉,18620000
RPQNMLOJLHLGFHN66DA,太平東段,3.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,12960,19,持分移轉,18630000
RPQNMLOJLHLGFHN66DA,太平東段,.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,720,1,持分移轉,18640000
RPQNMLOJLHLGFHN66DA,太平東段,.16,非都市：特定農業區 ; 非都市編定：交通用地,36000,35,持分移轉,18650000
RPQNMLOJLHLGFHN66DA,太平東段,.11,非都市：特定農業區 ; 非都市編定：交通用地,36000,35,持分移轉,18660000
RPQNMLOJLHLGFHN66DA,太平東段,.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,36000,35,持分移轉,18670000
RPQNMLOJLHLGFHN66DA,太平東段,.02,非都市：鄉村區 ; 非都市編定：交通用地,36000,35,持分移轉,18690000
RPQNMLOJLHLGFHN66DA,太平東段,.16,非都市：特定農業區 ; 非都市編定：交通用地,36000,35,持分移轉,18700000
RPQNMLOJLHLGFHN66DA,太平東段,.02,非都市：特定農業區 ; 非都市編定：交通用地,36000,35,持分移轉,18710000
RPQNMLOJLHLGFHN66DA,太平東段,.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,36000,35,持分移轉,18740000
RPPNMLNJLHLGFCN58DA,鹿犁段,207.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03080005
RPSNMLMJLHLGFCN78DA,鹿犁段,106.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03070004
RPSNMLMJLHLGFCN78DA,鹿犁段,55.70,非都市：一般農業區 ; 非都市編定：農牧用地,338840,55695,持分移轉,03080002
RPSNMLMJLHLGFCN78DA,鹿犁段,207.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03080006
RPSNMLNJLHLGFCN88DA,福南段,2192.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15210001
RPPNMLOJLHLGFHN56DA,太平西段,236.54,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,08850000
RPPNMLPJLHLGFCN78DA,永樂段,83.78,都市：其他:住宅區,1,1,全筆移轉,02430000
RPXNMLQJKHLGFCN96DA,振興段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08300001
RPRNMLKKKHLGFHN98DA,義民段,334.75,都市：其他:道路用地,100,65,持分移轉,01970001
RPUNMLMJLHLGFCN98DA,元興段,4.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,40,2,持分移轉,17490000
RPQNMLPJLHLGFCN88DA,永樂段,78.06,都市：其他:住宅區,1,1,全筆移轉,02430001
RPPNMLTJKHLGFHN96DA,光平段,90.00,都市：其他:住宅區,1,1,全筆移轉,00310000
RPQNMLNJLHLGFBN58DA,和北段,959.00,都市：其他:住宅區,1,1,全筆移轉,05720000
RPQNMLNJLHLGFBN58DA,和北段,738.00,都市：其他:住宅區,1,1,全筆移轉,05750000
RPVNMLMJLHLGFCN09DA,振興段,115.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16190015
RPQNMLNJLHLGFAN48DA,中山段,10.26,都市：其他:商業區,10000,56,持分移轉,01140000
RPQNMLNJLHLGFAN48DA,中山段,2.92,都市：其他:住宅區,10000,56,持分移轉,01190000
RPSNMLPJLHLGFGN86DA,民靖段,1955.46,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04200000
RPTNMLNJLHLGFCN98DA,福南段,2192.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15210002
RPPNMLPJLHLGFBN68DA,伸股段,.82,都市：其他:第二種住宅區,57,1,持分移轉,02030034
RPPNMLPJLHLGFBN68DA,伸股段,124.72,都市：其他:第二種住宅區,1,1,全筆移轉,02030046
RPPNMLPJLHLGFBN68DA,伸股段,.58,都市：其他:第二種住宅區,57,1,持分移轉,02030063
RPTNMLOJLHLGFBN98DA,糖友段,69.45,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09040173
RPQNMLPJLHLGFDN98DA,永美段,1884.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03100000
RPPNMLPLKHLGFEN09DA,中山段,8.04,都市：其他:住宅區,10000,187,持分移轉,13870000
RPQNMLMKKHLGFDN68DA,南潭段,56.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06490000
RPPNMLLKKHLGFDN48DA,黃厝段,5.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1668,22,持分移轉,03640000
RPPNMLLKKHLGFDN48DA,黃厝段,16.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,1668,22,持分移轉,03650000
RPPNMLOJLHLGFAN58EA,茄荖段,42.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,03750000
RPPNMLOJLHLGFAN58EA,茄荖段,42.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,03750000
RPSNMLOJLHLGFEN56DA,保黎段,167.70,都市：其他:住宅區,34845,17971,持分移轉,00960000
RPPNMLOJLHLGFEN88DA,映山段,17.12,都市：其他:住宅區,4,1,持分移轉,02730002
SPSNMLOJLHLGFEN66DA,保黎段,17.72,都市：其他:住宅區,108748,6097,持分移轉,00970000
RPVNMLTJJHLGFAN76DA,新東興段,81.94,都市：其他:乙種工業區,3,1,持分移轉,03830000
RPPNMLNLKHLGFCN68DA,鹿洋段,4.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,2234500,242600,持分移轉,00520000
RPPNMLQJJHLGFCN68DA,鹿崙段,7.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14060000
RPRNMLMJJHLGFAN28DA,清水段,1307.68,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,16040000
RPQNMLQKJHLGFCN88DA,鹿洋段,1573.53,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02630000
RPPNMLPKJHLGFGN09DA,五庄段,3175.27,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,18740000
RPPNMLTKJHLGFCN09DA,新生段,490.00,非都市：特定農業區 ; 非都市編定：農牧用地,9,3,持分移轉,25300000
RPPNMLTKJHLGFCN09DA,新生段,758.33,非都市：特定農業區 ; 非都市編定：農牧用地,9,3,持分移轉,25310000
RPRNMLPJJHLGFGN56DA,民靖段,268.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,11840000
RPQNMLOKJHLGFCN68DA,外中段,129.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14680000
RPVNMLNKJHLGFAN88DA,嘉興段,284.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11320000
RPVNMLPKJHLGFAN09DA,彰化段西門小段,21.48,都市：其他:住宅區,1000,13,持分移轉,03940008
RPPNMLOKJHLGFGN98DA,芳墘段,18.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,236,持分移轉,06040000
RPPNMLNJJHLGFGN78DA,香田段,2200.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03170000
RPUNMLPKJHLGFAN98DA,三民段,16.66,都市：其他:住宅區,10000,240,持分移轉,06680000
RPVNMLPKJHLGFCN66DA,福龍段,15.09,都市：其他:乙種工業區,450,125,持分移轉,10060000
RPPNMLPJLHLGFFN09DA,新西畔段,18.39,非都市：特定農業區 ; 非都市編定：農牧用地,25890000,23750,持分移轉,05790000
RPQNMLPKJHLGFBN68DA,竹園段,16.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,07010000
RPUNMLRJJHLGFBN56DA,伸同段,431.60,都市：其他:第一種住宅區,1,1,全筆移轉,01240000
RPQNMLPKJHLGFBN68DA,竹園段,14.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07010020
RPQNMLPKJHLGFBN68DA,竹園段,25.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4042,持分移轉,07710000
RPTNMLPKJHLGFBN98DA,中興段,6.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03020002
RPPNMLKLJHLGFBN18DA,柑竹段,38.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,1008,4,持分移轉,06580000
RPPNMLQKJHLGFBN68DA,和中段,17.40,都市：其他:道路用地,15,1,持分移轉,05480000
RPPNMLQKJHLGFBN68DA,和中段,16.93,都市：其他:道路用地,15,1,持分移轉,05860000
RPTNMLMJJHLGFBN58DA,忠孝段,21.05,非都市：特定農業區 ; 非都市編定：農牧用地,340,17,持分移轉,05830000
RPPNMLQKJHLGFCN78DA,大興段,3838.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08910001
RPRNMLPKJHLGFBN78DA,竹園段,16.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,07010000
RPRNMLPKJHLGFBN78DA,竹園段,14.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07010024
RPRNMLPKJHLGFBN78DA,竹園段,25.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4066,持分移轉,07710000
RPRNMLQJJHLGFFN56DA,福新段,1119.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02120003
