鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮北美路與北美路80巷,28.66,,鄉村區,乙種建築用地,1141111,土地5建物1車位1,六層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,127.26,3,2,2,有,無,10080000,88970,一樓平面,31.16,1530000,,RPTNMLSKJIKGFBN66CB,格誠竹暘,6F-A1號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮北美路與北美路80巷,21.49,,鄉村區,乙種建築用地,1141111,土地5建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,86.56,2,2,1,有,無,6800000,82431,坡道機械,14.5,860000,,RPUNMLSKJIKGFBN76CB,格誠竹暘,3F-A3號,
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉大新路,108.63,,鄉村區,乙種建築用地,1141113,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,108.23,3,2,3,有,無,8000000,73917,,0.0,0,,RPPNMLSKJIKGFHN86CB,惠萊享家3&惠星享家 3,B棟5號,
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉大新路,92.63,,鄉村區,乙種建築用地,1141115,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,108.23,3,2,3,有,無,8120000,75025,,0.0,0,,RPQNMLSKJIKGFHN96CB,惠萊享家3&惠星享家3,B棟3號,
線西鄉,房地(土地+建物)+車位,彰化縣線西鄉重興段75地號,27.85,,特定農業區,甲種建築用地,1141119,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,119.35,2,2,1,有,無,7620000,74049,一樓平面,31.3,1100000,114年05月16日，原75.76.77-1地號等3筆，合併成75地號等1筆,RPPNMLTKJIKGFBN98CB,赫里富,A棟1號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮十茂路9巷1號,26.77,,特定農業區,甲種建築用地,1141111,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.61,2,2,2,有,無,9700000,101494,升降機械,12.92,800000,,RPQNMLOLJIKGFBN68CB,房角石?,D棟2號,
埔心鄉,房地(土地+建物),彰化縣埔心鄉五賢路近大溪路三段,86.12,,鄉村區,乙種建築用地,1141119,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,145.87,4,1,2,有,無,10080000,69103,,0.0,0,,RPPNMLOLJIKGFHN56CB,堡量豐華梧居墅,E棟03號,
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉好金路1巷,121.48,,鄉村區,乙種建築用地,1141119,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,150.41,4,2,4,有,無,9380000,62363,,0.0,0,,RPQNMLOLJIKGFHN66CB,安家,A棟1號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路二段,20.24,住,,,1141111,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.22,3,2,2,有,無,17880000,114777,坡道平面,28.69,1980000,,RPPNMLPLJIKGFAN58CB,櫻花中山之櫻,A2棟0號,
