編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLNJLHLGFAO88EA,竹蓮段,26.00,都市：其他:道路用地,4,1,持分移轉,24300000
RPPPMLPLKHLGFAO98DA,竹蓮段,13.80,都市：其他:道路用地,5,3,持分移轉,22750000
SPSNMLLKKHLGFAO68DA,中興段,19.72,都市：其他:道路用地,252,7,持分移轉,05360002
RPPOMLLKKHLGFAO38DA,東明段,14.27,都市：其他:第一種商業區,105000,806,持分移轉,00710000
RPTNMLLKKHLGFAO68DA,光復段,5.42,都市：其他:第一種住宅區,1000,17,持分移轉,10230000
RPSNMLMKKHLGFAO68DA,中央段,11.73,都市：其他:道路用地,75,1,持分移轉,07390000
RPTPMLOLKHLGFAO66DA,鹽水段,16.91,都市：其他:農業區,1200000,36000,持分移轉,12280000
RPUNMLTJKHLGFAO86DA,虎山段,24.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,617,持分移轉,07950000
RPQNMLOJLHLGFAO68DA,新港段,86.73,都市：其他:第一之一種住宅區,1,1,全筆移轉,09320000
RPVOMLMJKHLGFAO98DA,聚吉段,5.73,都市：其他:第二種商業區,100000,260,持分移轉,00010000
RPUNMLMJKHLGFAO78DA,崙子段,27.35,都市：其他:住宅區,20,1,持分移轉,26230000
RPRNMLNJLHLGFAO78EA,竹蓮段,20.50,都市：其他:第二種住宅區,4,1,持分移轉,11340000
RPRNMLPKJHLGFAO88EA,鹽水段,50.00,都市：其他:農業區,1,1,全筆移轉,04950001
RPVNMLLKKHLGFAO88DA,青山段,170.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03070000
RPRNMLNKJHLGFAO68EA,成功段,1.29,都市：其他:第二種住宅區,100000,10,持分移轉,00260000
RPRNMLNKJHLGFAO68EA,大學段,.02,都市：其他:第二種住宅區,100000,10,持分移轉,04950000
RPUPMLOKJHLGFAO56DA,西濱段,7.43,都市：其他:道路用地,24,4,持分移轉,04520001
