鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
水林鄉,土地,埔尾段656-3地號,2.67,住,,,1150304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,120000,44944,,0.0,0,土地增值稅由買方負擔。水林鄉埔尾段656-13地號為法院判決道路用地。買方係水林鄉埔尾段656-13地號土地共有人。親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPPNMLPJLHLGFEP56DA,0.0,0.0,0.0,無,0001
水林鄉,土地,西井段2214-3地號,134.0,,特定農業區,甲種建築用地,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,3731,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQJLHLGFEP86DA,0.0,0.0,0.0,無,
台西鄉,土地,萬厝段884地號,1983.0,,一般農業區,農牧用地,1150302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,605,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJLHLGFFP07DA,0.0,0.0,0.0,無,
大埤鄉,土地,豐田段821地號,2387.0,,特定農業區,農牧用地,1150301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,419,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJLHLGFBP56EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市公正街３９號七樓之１７,4.99,商,,,1150202,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871030,46.11,0,0,0,無,有,1800000,39037,,0.0,0,含傢俱設備費；,RPPNMLKKKHLGFAP28DA,23.03,0.0,5.48,有,0002
大埤鄉,土地,怡然段705地號,741.63,,特定農業區,農牧用地,1150203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2290000,3088,,0.0,0,未登記建物；,RPPNMLTJKHLGFBP56DA,0.0,0.0,0.0,無,
麥寮鄉,土地,施厝寮段946-24地號,15.83,,鄉村區,乙種建築用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,445284,28129,,0.0,0,,RPRNMLNJKHLGFFP56DA,0.0,0.0,0.0,無,
東勢鄉,土地,和平段921地號,985.47,,特定農業區,農牧用地,1150205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,810000,822,,0.0,0,,RPPNMLLKKHLGFFP88DA,0.0,0.0,0.0,無,
古坑鄉,土地,荷苞段621地號,2.95,,鄉村區,乙種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,40000,13559,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJKHLGFAP58DA,0.0,0.0,0.0,無,0003
元長鄉,土地,東庄段505-5地號,123.0,,特定農業區,甲種建築用地,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1413600,11493,,0.0,0,,RPQNMLKKKHLGFEP78DA,0.0,0.0,0.0,無,
四湖鄉,土地,溪南段138地號,470.73,,一般農業區,農牧用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,282438,600,,0.0,0,,RPRNMLLKKHLGFEP98DA,0.0,0.0,0.0,無,0004
東勢鄉,土地,安南段615地號,3299.68,,特定農業區,農牧用地,1150204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3088500,936,,0.0,0,,RPRNMLTJKHLGFFP17DA,0.0,0.0,0.0,無,
西螺鎮,土地,埤頭段702地號,129.59,,鄉村區,乙種建築用地,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,7717,,0.0,0,,RPPNMLTJKHLGFCP76EA,0.0,0.0,0.0,無,0005
西螺鎮,土地,埤頭段701地號,14.21,,鄉村區,交通用地,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,7037,,0.0,0,,RPQNMLTJKHLGFCP86EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市久安路１３９巷１０號,91.0,,特定農業區,甲種建築用地,1150201,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0731012,125.22,5,2,4,有,無,7650000,61092,,0.0,0,,RPPOMLKKKHLGFAP38DA,125.22,0.0,0.0,無,0006
