編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQJLHLGFBP56EA,豐田段,2387.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08210000
RPPNMLTJKHLGFBP56DA,怡然段,587.47,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07050000
RPPNMLTJKHLGFBP56DA,怡然段,154.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07050001
RPPNMLLKKHLGFFP88DA,和平段,985.47,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09210000
RPRNMLNJKHLGFFP56DA,施厝寮段,15.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09460024
RPPNMLTJLHLGFFP07DA,萬厝段,1983.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08840000
RPPNMLTJKHLGFCP76EA,埤頭段,129.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,3,持分移轉,07020000
RPRNMLMKKHLGFCP88DA,崩溝寮段,1200.00,非都市：特定農業區 ; 非都市編定：農牧用地,3626,1200,持分移轉,04350000
RPQNMLTJKHLGFCP86EA,埤頭段,14.21,非都市：鄉村區 ; 非都市編定：交通用地,16,1,持分移轉,07010000
RPRNMLLKKHLGFEP98DA,溪南段,470.73,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01380000
RPRNMLTJKHLGFFP17DA,安南段,1642.08,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06140000
RPRNMLTJKHLGFFP17DA,安南段,1657.60,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150000
RPQNMLKKKHLGFEP78DA,東庄段,123.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05050005
RPQNMLTJKHLGFEP96DA,埔尾段,83.00,都市：其他:住宅區,1,1,全筆移轉,06560006
RPQNMLTJKHLGFEP96DA,埔尾段,7.07,都市：其他:住宅區,20310,1414,持分移轉,06560013
RPPNMLKKKHLGFAP28DA,中正一段,4.99,都市：其他:商業區,10000,33,持分移轉,08100000
RPPNMLLLKHLGFAP48DA,虎溪段,67.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,06760000
RPRNMLKKKHLGFEP88DA,青山段,94.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04750005
RPPNMLOJKHLGFAP58DA,荷苞段,2.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,1,持分移轉,06210000
RPPOMLKKKHLGFAP38DA,九老爺段,91.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,15870018
RPQNMLNKKHLGFEP09DA,頂鹿段,2020.44,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06050000
RPSNMLKKKHLGFEP98DA,青山段,120.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04750006
RPRNMLKKKHLGFAP48DA,虎溪段,118.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00640000
RPRNMLKKKHLGFAP48DA,新虎溪段,87.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01760000
RPQNMLMKKHLGFCP88EA,漢南段,101.20,都市：其他:住宅區,1,1,全筆移轉,05280000
RPQNMLMKKHLGFCP88EA,漢南段,4.24,都市：其他:住宅區,35669,10120,持分移轉,05280003
RPQNMLQLKHLGFFP96DA,萬東段,1040.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02150000
RPPNMLKLKHLGFEP78DA,埔尾段,18.67,都市：其他:住宅區,1,1,全筆移轉,06680004
RPQNMLPLKHLGFEP76DA,長興段,561.00,都市：其他:住宅區,1,1,全筆移轉,02140002
RPPNMLPLKHLGFFP76DA,泉州段,2490.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00220000
RPPNMLPLKHLGFFP76DA,泉州段,2563.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00230000
RPQNMLNLKHLGFCP09EA,湳仔段,30.39,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,01990002
RPQNMLLKKHLGFDP78DA,龍林段,166.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,2,持分移轉,00160000
RPPNMLNLKHLGFCP98EA,永安段,76.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,05710009
RPROMLQLKHLGFEP07DA,埔中段,120.91,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,01260000
RPROMLQLKHLGFEP07DA,埔中段,1346.21,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01270000
RPSNMLLKKHLGFEP09DA,豐德段,1172.01,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01500000
RPRNMLQJLHLGFEP86DA,西井段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,22140003
RPPNMLPJLHLGFEP56DA,埔尾段,2.46,都市：其他:住宅區,1,1,全筆移轉,06560003
RPPNMLPJLHLGFEP56DA,埔尾段,.21,都市：其他:住宅區,10155,21,持分移轉,06560013
RPRNMLPLKHLGFBP56DA,鎮平段,22.08,非都市：河川區 ; 非都市編定：水利用地,16,1,持分移轉,00990000
RPRNMLPLKHLGFBP56DA,鎮平段,22.14,非都市：河川區 ; 非都市編定：水利用地,16,1,持分移轉,01020000
RPVOMLQLKHLGFEP47DA,埔中段,165.01,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,01200000
RPQNMLKKKHLGFBP48DA,新安段,467.64,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,18830000
RPSNMLOLKHLGFDP76DA,文化段,5.00,都市：其他:商業區,1,1,全筆移轉,05110000
