編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLPLJIKGFDP66CC,7,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLPLJIKGFDP66CC,7,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLPLJIKGFDP66CC,7,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQLJIKGFDP66CC,7,9.01,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLLLJIKGFAP48CC,42,96.10,住家用,鋼筋混凝土加強磚造,73年1月30日,二層,,
RPPNMLQLJIKGFDP66CC,7,3.94,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLMLJIKGFBP78CC,29,24.24,住家用,鋼筋混凝土造,85年10月20日,十一層,,
RPPNMLQLJIKGFDP66CC,7,.37,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLTKJIKGFCP76CC,31,164.42,住商用,鋼筋混凝土造,83年12月6日,四層,,
RPQNMLMLJIKGFBP78CC,29,8.10,共有部份,鋼筋混凝土造,85年10月20日,十一層,,
RPQNMLMLJIKGFBP78CC,29,2.09,共有部份,鋼筋混凝土造,85年10月20日,十一層,,
RPPNMLRKJIKGFDP66CC,31,43.81,住家用,鋼筋混凝土造,84年4月6日,十二層,,
RPPNMLRKJIKGFDP66CC,31,25.85,共有部份,鋼筋混凝土造,84年4月6日,十二層,,
RPQNMLLLJIKGFAP58CC,2,81.70,集合住宅,鋼筋混凝土造,112年7月26日,十層,,
RPPNMLRKJIKGFDP66CC,31,7.36,共有部份,鋼筋混凝土造,84年4月6日,十二層,,
RPQNMLLLJIKGFAP58CC,2,69.80,防空避難室兼停車空間、停車空間、管委會空間、梯廳、樓梯間、樓電梯間、水箱、機械室,鋼筋混凝土造,112年7月26日,十層,,
RPQNMLQKJIKGFCP56CC,49,39.86,住商用,加強磚造,65年11月20日,三層,,
RPQNMLKLJIKGFDP78CC,7,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLKLJIKGFDP78CC,7,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPQNMLKLJIKGFDP78CC,7,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLKLJIKGFDP68CC,6,36.56,集合住宅,鋼筋混凝土造,109年5月19日,十層,,
RPPNMLPKJIKGFAP78CC,28,76.71,住家用,鋼筋混凝土造,86年5月15日,十六層,,
RPPNMLPLJIKGFDP56CC,7,9.01,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLPKJIKGFAP78CC,28,29.56,共有部份,鋼筋混凝土造,86年5月15日,十六層,,
RPPNMLPLJIKGFDP56CC,7,3.94,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLPKJIKGFAP78CC,28,16.00,共有部份,鋼筋混凝土造,86年5月15日,十六層,,
RPPNMLPLJIKGFDP56CC,7,.37,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQKJIKGFCP09CC,49,39.86,住商用,加強磚造,65年11月20日,三層,,
RPRNMLKLJIKGFAP58CC,3,23.25,住宅、停車空間,鋼筋混凝土造,112年3月25日,三層,,
