編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKKHLGFDQ88DA,新大崙段,31.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,60,1,持分移轉,04710000
RPPNMLMKKHLGFDQ88DA,新大崙段,31.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,60,1,持分移轉,04710000
RPPNMLMKKHLGFDQ88DA,新大崙段,13.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,300,1,持分移轉,04730000
RPPNMLMKKHLGFDQ88DA,新大崙段,13.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,300,1,持分移轉,04730000
RPWNMLOLKHLGFDQ27DA,石硦段,1867.56,非都市：山坡地保育區 ; 非都市編定：農牧用地,9,1,持分移轉,02530001
RPPNMLQLKHLGFDQ86EA,麻寮段,25.90,都市：其他:住宅區,12,1,持分移轉,04800000
RPQNMLMKKHLGFDQ09EA,鹿北段,2.48,都市：其他:住宅區,4800,107,持分移轉,10150000
RPTNMLNLKHLGFEQ07EA,大草埔段,430.67,非都市：山坡地保育區 ; 非都市編定：林業用地,9,1,持分移轉,01220016
RPTNMLNLKHLGFEQ07EA,大草埔段,1897.50,非都市：山坡地保育區 ; 非都市編定：國土保安用地,12,5,持分移轉,01410011
SPPNMLQLKHLGFDQ96EA,麻寮段,15.68,都市：其他:住宅區,12,1,持分移轉,04810000
RPQNMLNKKHLGFEQ66EA,崎腳段,1479.01,非都市：山坡地保育區 ; 非都市編定：林業用地,2,1,持分移轉,05820001
RPPNMLNLKHLGFEQ66EA,瓦厝埔段,220.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,07290000
RPPNMLNLKHLGFEQ66EA,瓦厝埔段,17.25,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉,07290003
RPPNMLPLKHLGFEQ86EA,緞厝寮段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04610003
RPSNMLQJKHLGFCQ76DA,游厝段游西小段,54.00,非都市：特定農業區 ; 非都市編定：交通用地,28,3,持分移轉,01280000
RPSNMLQJKHLGFCQ76DA,游厝段游西小段,237.86,非都市：特定農業區 ; 非都市編定：農牧用地,28,3,持分移轉,01360000
RPSNMLQJKHLGFCQ76DA,游厝段游西小段,81.86,非都市：特定農業區 ; 非都市編定：農牧用地,28,3,持分移轉,01380000
