編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLMJLHLGFCT17DA,一樓平面,0,,一樓
RPQOMLOJLHLGFAT66DA,坡道平面,0,,地下一樓
RPQNMLQJLHLGFDT07DA,一樓平面,1000000,,一樓
RPVNMLOKJHLGFAT96DA,一樓平面,0,,一樓
RPUOMLQLJHLGFCT47DA,坡道平面,0,,地下一樓
RPUNMLKMJHLGFAT66DA,一樓平面,0,,一樓
RPTOMLSLJHLGFAT37DA,一樓平面,1500000,,一樓
RPSNMLPJKHLGFDT07DA,一樓平面,0,,一樓
RPXNMLKMJHLGFAT96DA,坡道平面,0,42.28,地下一樓
RPXOMLQLJHLGFCT77DA,一樓平面,1000000,,一樓
RPQOMLRLJHLGFCT17DA,一樓平面,800000,,一樓
RPTOMLQJKHLGFDT37DA,一樓平面,0,,一樓
RPVOMLSLJHLGFAT57DA,一樓平面,1500000,13.72,一樓
RPQNMLNJKHLGFDT66DA,坡道平面,0,,地下一樓
RPPNMLTKJHLGFCT07DA,一樓平面,0,,一樓
RPPNMLLMJHLGFCT09DA,一樓平面,0,,一樓
RPQOMLQJKHLGFDT07DA,一樓平面,0,,一樓
RPOSMLNJKHLGFAT66DA,坡道平面,0,24.01,地下二樓
RPRNMLPJKHLGFET07DA,一樓平面,0,,一樓
RPQOMLLKKHLGFAT98DA,一樓平面,0,,一樓
RPWNMLLKKHLGFAT86DA,一樓平面,0,,一樓
RPQNMLOLKHLGFCT86DA,一樓平面,700000,,一樓
RPPNMLMJLHLGFAT88DA,一樓平面,0,,一樓
RPSNMLQLKHLGFAT07DA,坡道平面,0,24.01,地下一樓
RPPNMLOJKHLGFAT98DA,坡道平面,0,24.01,地下一樓
RPQNMLSLJHLGFCT17DA,一樓平面,1000000,14.15,一樓
RPRNMLOLKHLGFDT07DA,一樓平面,1100000,,一樓
RPUNMLNLKHLGFAT96DA,坡道平面,0,,地下一樓
RPVNMLNLKHLGFAT07DA,一樓平面,1600000,13.72,一樓
RPVNMLNKKHLGFAT96DA,坡道平面,0,,地下一樓
RPPNMLQJLHLGFCT86DA,坡道平面,0,,地下二樓
RPVNMLPJLHLGFCT37DA,一樓平面,1000000,,一樓
RPXNMLQLKHLGFAT57DA,坡道平面,0,,地下一樓
RPPNMLOKKIKGFCT66DA,坡道平面,0,,地下一樓
RPQNMLTKKIKGFAT07DA,坡道平面,0,,地下一樓
RPPQMLMLKIKGFAT66DA,升降機械,0,,地下一樓
RPSNMLLJJHLGFDT56DA,一樓平面,0,,一樓
RPQOMLPKKIKGFAT76DA,一樓平面,0,,一樓
RPVNMLPKKIKGFDT47DA,其他,0,,一樓
RPWNMLPKKIKGFDT57DA,一樓平面,0,,一樓
RPSNMLTLKIKGFDT67DA,其他,0,,一樓
RPQNMLMJJHLGFDT09DA,一樓平面,0,,一樓
RPPNMLTJJHLGFCT96DA,一樓平面,850000,12.16,一樓
RPTOMLPKKIKGFAT07DA,一樓平面,0,,一樓
RPSOMLPKKIKGFAT96DA,一樓平面,0,,一樓
RPQNMLSJJHLGFDT07DA,一樓平面,800000,,
RPXNMLTJJHLGFCT77DA,一樓平面,1000000,,一樓
RPQNMLPKKIKGFAT66DA,一樓平面,0,,一樓
RPQOMLOKJHLGFAT56DA,一樓平面,1000000,,一樓
RPQNMLKLJHLGFAT78DA,一樓平面,1600000,,一樓
RPSNMLKLJHLGFCT56DA,坡道平面,0,,地下一樓
RPQNMLMKJHLGFCT09DA,一樓平面,0,,一樓
RPXNMLMLJHLGFAT07DA,坡道平面,0,24.01,地下一樓
RPRNMLQLKIKGFCT17DA,一樓平面,0,,一樓
RPUNMLLLJHLGFAT66DA,升降平面,1500000,12.67,地下二樓
RPOOMLPKKIKGFDT86DA,一樓平面,0,,一樓
RPPNMLLLJHLGFAT78DA,一樓平面,0,,一樓
RPVNMLNLJHLGFAT96DA,坡道平面,0,,地下一樓
RPSOMLSLJHLGFAT27DA,一樓平面,0,,一樓
RPVNMLTKKIKGFAT57DA,坡道平面,0,,地下一樓
RPUOMLSLJHLGFAT47DA,一樓平面,1500000,,一樓
RPVNMLMJKHLGFAT76DA,一樓平面,0,,一樓
RPRNMLRLJHLGFAT96DA,坡道平面,0,24.01,地下一樓
RPTNMLMJKHLGFAT56DA,一樓平面,0,,一樓
RPPOMLKMKIKGFAT98DA,一樓平面,0,,一樓
RPSNMLRLJHLGFAT07DA,一樓平面,0,,一樓
RPUNMLTJKHLGFCT57DA,一樓平面,0,,一樓
RPSNMLRLJHLGFBT17DA,一樓平面,1350000,,一樓
RPSOMLSJJHLGFAT07DA,一樓平面,0,13.78,一樓
RPRNMLKMJHLGFCT56DA,坡道平面,0,,地下二樓
RPPOMLTJKHLGFCT17DA,一樓平面,1000000,,一樓
RPQOMLTJKHLGFCT27DA,一樓平面,0,,一樓
RPWNMLTLJHLGFAT67DA,一樓平面,0,,一樓
RPRNMLPJKHLGFAT66DA,坡道平面,0,,一樓
RPQNMLSLJHLGFDT27DA,一樓平面,1000000,,一樓
RPTNMLPLKHLGFAT07DA,坡道平面,0,,地下一樓
RPXNMLPLKHLGFCT67DA,一樓平面,0,,一樓
RPQNMLOLKHLGFDT96DA,一樓平面,0,14.01,一樓
RPVNMLTLJHLGFAT57DA,一樓平面,0,,一樓
RPQOMLNLJHLGFAT56DA,一樓平面,0,,一樓
RPUNMLLMKIKGFCT07DA,一樓平面,1100000,12.16,一樓
RPPNMLOJLHLGFCT66DA,坡道平面,1300000,18.02,地下一樓
RPWNMLNKKHLGFAT07DA,一樓平面,0,,一樓
RPUNMLQLKHLGFDT57DA,一樓平面,1000000,,一樓
RPUNMLPJLHLGFCT27DA,一樓平面,0,,
RPUNMLSJJHLGFBT27DA,一樓平面,0,,一樓
RPRNMLSKKIKGFAT07DA,坡道平面,0,,地下一樓
RPUOMLTJKIKGFCT67DA,一樓平面,0,,一樓
RPPNMLSJKIKGFDT07DA,一樓平面,0,11.63,一樓
RPTNMLPKKIKGFAT96DA,一樓平面,1500000,23.14,一樓
RPROMLRKKIKGFCT27DA,一樓平面,0,,一樓
RPQNMLPJKIKGFDT86DA,一樓平面,0,,一樓
RPXOMLPJKIKGFAT37DA,坡道平面,1300000,27.12,地下二樓
RPSOMLTJKIKGFDT57DA,一樓平面,0,,一樓
RPXNMLOLJIKGFCT47DA,坡道機械,0,,地下一樓
RPRPMLMKKIKGFAT66DA,坡道平面,0,,地下一樓
RPRNMLSLJIKGFAT07DA,坡道平面,0,24.01,地下一樓
RPPNMLNLKIKGFAT09DA,一樓平面,0,,一樓
RPQOMLTLKIKGFCT47DA,一樓平面,1000000,,一樓
RPVNMLOLKIKGFCT37DA,一樓平面,1000000,,一樓
RPROMLMJKIKGFAT09DA,一樓平面,0,,一樓
RPQNMLOLKIKGFCT86DA,坡道平面,0,,一樓
RPQNMLMJKIKGFDT56DA,一樓平面,1000000,,一樓
RPWOMLPJKIKGFAT27DA,一樓平面,0,5.62,一樓
RPUNMLLJKIKGFDT86DA,一樓平面,0,,一樓
RPPNMLLMKIKGFDT66DA,一樓平面,0,,一樓
RPOOMLMJJHLGFAT68DA,坡道平面,0,,地下一樓
RPUOMLLMKIKGFCT17DA,坡道平面,0,,地下二樓
RPQNMLKMKIKGFCT56DA,一樓平面,0,,一樓
RPRNMLLMKIKGFAT56DA,坡道平面,0,,地下一樓
RPWNMLSJJHLGFAT37DA,一樓平面,1200000,,一樓
RPPNMLQJJHLGFDT76DA,坡道平面,0,,地下二樓
RPPNMLMKJHLGFDT09DA,一樓平面,1700000,13.75,一樓
RPTNMLRKKIKGFAT17DA,一樓平面,0,,一樓
RPTNMLMJJHLGFAT09DA,坡道平面,0,24.01,地下二樓
RPRNMLRJJHLGFAT76DA,一樓平面,0,,一樓
RPUNMLRJJHLGFAT07DA,一樓平面,0,,一樓
RPPNMLLKJHLGFCT88DA,坡道平面,1000000,,一樓
RPOOMLPJJHLGFAT98DA,坡道平面,0,,地下一樓
RPRNMLKMKIKGFCT66DA,一樓平面,0,,一樓
RPPNMLPJJHLGFAT98DA,坡道平面,0,,地下一樓
RPTNMLLMKIKGFAT76DA,坡道平面,0,20.78,地下一樓
RPTNMLLMKIKGFAT76DA,坡道平面,0,20.78,地下一樓
RPUNMLQJJHLGFAT96DA,一樓平面,0,,一樓
RPUNMLOLKIKGFAT07DA,一樓平面,0,,一樓
RPUNMLPJJHLGFET27DA,一樓平面,400000,,一樓
RPRNMLLLJHLGFCT56DA,一樓平面,0,,一樓
RPRNMLMKJHLGFCT56DA,一樓平面,0,,一樓
RPTNMLPKJHLGFDT17DA,一樓平面,1500000,13.75,一樓
RPWNMLRLJHLGFAT47DA,坡道平面,0,,地下一樓
RPRNMLTLKIKGFCT47DA,一樓平面,0,,一樓
RPQNMLQKJHLGFAT66DA,坡道平面,0,,地下一樓
RPQNMLKMJHLGFCT56EA,一樓平面,0,,一樓
RPQNMLOLKIKGFDT96DA,一樓平面,1000000,,一樓
