鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
屏東市,房地(土地+建物)+車位,屏東縣屏東市民生路7巷,32.26,住,,,1141115,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.02,3,2,2,有,無,11050000,83521,坡道平面,11.48,1400000,,RPPNMLPKJIKGFAT09CB,安庭民生,A5棟5號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公勤二街,20.16,住,,,1141114,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,98.63,2,2,2,有,無,10000000,99552,一樓平面,13.75,1550000,,RPPNMLRKJIKGFAT66CB,明正金鑽,A棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公園東路,36.32,住,,,1141117,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,166.81,3,2,2,有,無,17830000,113727,坡道平面,23.66,1550000,,RPPNMLSKJIKGFAT76CB,萬吉謙山,G-2號,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉大憲街117巷,83.69,住,,,1141119,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,185.83,4,2,4,有,無,17880000,96217,,0.0,0,,RPPNMLOLJIKGFAT56DB,麗晶ONE,B棟1號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,45.72,住,,,1141117,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.87,3,2,2,有,無,8500000,67530,一樓平面,0.0,0,,RPPNMLPLJIKGFAT56CB,森活家三期,B2棟5號,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉新社皮段277-16地號,82.1,,鄉村區,乙種建築用地,1141116,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,142.05,5,2,4,有,無,11600000,81661,,0.0,0,,RPPNMLLJKIKGFAT68CB,龍本家人3,E7號,
潮州鎮,房地(土地+建物),屏東縣潮州鎮萬大街,69.29,住,,,1141120,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.63,4,2,3,有,無,11980000,90326,,0.0,0,,RPQNMLMJKIKGFCT09CB,天景潮院,D棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市明正段1277地號,25.09,住,,,1141129,土地1建物1車位1,十七層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,150.67,3,1,2,有,無,15350000,109195,坡道平面,26.58,1800000,,RPPNMLNJKIKGFAT88CB,旺千禧-哈佛皇家NO.2,A2棟17F號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,34.44,住,,,1141128,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.35,2,2,2,有,無,6980000,73980,一樓平面,0.0,0,,RPQNMLNJKIKGFAT98CB,森活家三期,C5棟1號,
