編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKKKIKGFCT88CB,新東段,42.76,都市：住,10000,435,持分移轉,00830000
RPPNMLNJKIKGFAT88CB,明正段,25.09,都市：住,10000,110,持分移轉,12770000
RPPNMLRJKIKGFCT86CB,學人段,22.83,都市：住,10000,368,持分移轉,07210063
RPPNMLQKKIKGFAT66CB,洛陽段,83.55,都市：住,100000,4739,持分移轉,00640000
RPPNMLRJKIKGFCT86CB,學人段,.43,都市：住,10000,368,持分移轉,07210064
RPPNMLRJKIKGFCT86CB,學人段,4.11,都市：住,56,1,持分移轉,07210041
RPPNMLLKKIKGFAT78CB,麟孝段,29.08,都市：住,10000,118,持分移轉,09700000
RPPNMLPLJIKGFAT56CB,潭頭段,20.80,都市：住,1000000,23024,持分移轉,12800000
RPPNMLPLJIKGFAT56CB,潭頭段,24.93,都市：住,1000000,23024,持分移轉,12810000
RPPNMLMKKIKGFAT88CB,大埔段一小段,26.39,都市：住,10000,337,持分移轉,01170000
RPPNMLQJKIKGFAT56CB,橋福段,31.40,都市：住,100000,3411,持分移轉,04090000
RPPNMLSKJIKGFAT76CB,水源段二小段,36.32,都市：住,10000,145,持分移轉,16300000
RPPNMLRJKIKGFAT66CB,瑞光段,25.77,都市：住,100000,1556,持分移轉,10820000
RPQNMLMJKIKGFCT09CB,五福段,69.29,都市：住,1,1,全筆移轉,07380009
RPPNMLLJKIKGFAT68CB,新社皮段,65.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02770016
RPPNMLLJKIKGFAT68CB,新社皮段,15.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,1,持分移轉,02770000
RPPNMLLJKIKGFAT68CB,新社皮段,.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,02770033
RPPNMLSJKIKGFAT76CB,潭頭段,18.63,都市：商,10000,376,持分移轉,03300000
RPQNMLLKKIKGFAT88CB,麟孝段,33.27,都市：住,10000,135,持分移轉,09700000
RPQNMLRKKIKGFAT86CB,萬惠段,20.05,都市：住,10000,132,持分移轉,06860000
RPPNMLPKJIKGFAT09CB,瑞光段,32.26,都市：住,100000,1948,持分移轉,10820000
RPSNMLPJJHLGFAT66CB,洛陽段,21.17,都市：住,10000,117,持分移轉,09370000
RPPNMLLMKIKGFAT98CB,洛陽段,55.90,都市：住,100000,3171,持分移轉,00640000
RPPNMLTLKIKGFCT27CB,五福段,67.50,都市：住,1,1,全筆移轉,07380015
RPVNMLPJJHLGFAT96CB,洛陽段,21.17,都市：住,10000,117,持分移轉,09370000
