編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLKKKIKGFCT88CB,一樓平面,1200000,10.79,一樓
RPPNMLNJKIKGFAT88CB,坡道平面,1800000,26.58,地下一樓
RPPNMLRJKIKGFCT86CB,升降機械,700000,5.50,一樓
RPPNMLLKKIKGFAT78CB,一樓平面,1200000,20.50,一樓
RPPNMLPLJIKGFAT56CB,一樓平面,0,,一樓
RPPNMLQJKIKGFAT56CB,一樓平面,1300000,,一樓
RPPNMLSKJIKGFAT76CB,坡道平面,1550000,23.66,地下二樓
RPPNMLRJKIKGFAT66CB,坡道平面,1400000,11.48,地下一樓
RPQNMLLKKIKGFAT88CB,坡道平面,1500000,28.70,地下一樓
RPPNMLPKJIKGFAT09CB,坡道平面,1400000,11.48,地下一樓
RPSNMLPJJHLGFAT66CB,坡道平面,1700000,22.17,地下一樓
RPPNMLLMKIKGFAT98CB,坡道平面,1600000,19.43,地下一樓
RPVNMLPJJHLGFAT96CB,坡道平面,1700000,22.17,地下一樓
RPRNMLPJJHLGFAT56CB,坡道平面,1600000,22.17,地下一樓
RPPNMLPJJHLGFAT98CB,坡道平面,1700000,22.17,地下一樓
RPQNMLPJJHLGFAT09CB,坡道平面,1600000,22.17,地下一樓
RPPNMLPJJHLGFCT56CB,坡道平面,1250000,23.13,地下二樓
RPTNMLPJJHLGFAT76CB,坡道平面,1700000,22.17,地下一樓
RPUNMLPJJHLGFAT86CB,坡道平面,1700000,22.17,地下一樓
RPPNMLRJKIKGFDT96CB,坡道平面,1200000,22.02,地下一樓
RPQNMLNJKIKGFAT98CB,一樓平面,0,,一樓
RPPNMLRKJIKGFAT66CB,一樓平面,1550000,13.75,一樓
RPSNMLTJJHLGFAT07CB,坡道平面,1750000,26.35,地下一樓
RPRNMLTJJHLGFAT96CB,坡道平面,1600000,26.35,地下二樓
RPPNMLRJJHLGFAT56CB,坡道平面,1800000,33.84,地下一樓
RPQNMLMKJHLGFAT88CB,一樓平面,1550000,22.17,一樓
RPPNMLMKJHLGFAT78CB,坡道平面,1700000,26.35,地下二樓
RPQNMLTJJHLGFAT86CB,坡道平面,1550000,26.35,地下二樓
RPSNMLRJJHLGFAT86CB,一樓平面,1400000,7.39,一樓
RPTNMLRJJHLGFAT96CB,一樓平面,1400000,7.39,一樓
RPPNMLMJKHLGFET56CB,一樓平面,600000,3.56,一樓
RPQNMLLLJHLGFAT88CB,坡道平面,1600000,28.70,地下一樓
RPPNMLKMJHLGFAT78CB,一樓平面,1300000,9.20,一樓
RPPNMLLLJHLGFAT78CB,坡道平面,1500000,28.70,地下一樓
RPRNMLLLJHLGFAT98CB,坡道平面,1500000,28.70,地下一樓
RPQNMLLJKHLGFAT78CB,一樓平面,1600000,22.17,一樓
RPPNMLQKJHLGFDT96DB,一樓平面,1000000,13.75,一樓
RPPNMLLKJHLGFET09CB,一樓平面,600000,7.88,一樓
RPQNMLTLJHLGFFT57CB,一樓平面,1000000,15.02,一樓
RPPNMLNLJHLGFAT98CB,一樓平面,1550000,22.17,一樓
RPPNMLLKKHLGFAT78CB,一樓平面,0,,一樓
RPPNMLSJKHLGFAT76CB,坡道平面,1600000,22.17,地下一樓
RPPNMLLJKHLGFAT68CB,坡道平面,1700000,22.17,地下一樓
RPRNMLLKKHLGFAT98CB,一樓平面,1300000,,一樓
RPQNMLMJKHLGFET66CB,一樓平面,500000,7.44,一樓
RPQNMLSJKHLGFAT86CB,坡道平面,1600000,22.17,地下一樓
RPQNMLLKJHLGFET56CB,一樓平面,500000,11.85,一樓
RPQNMLLKKHLGFAT88CB,坡道平面,1600000,25.48,地下二樓
RPRNMLMLKHLGFAT56CB,坡道平面,1600000,22.17,地下一樓
RPPNMLNKKHLGFAT98CB,一樓平面,1230000,15.92,一樓
RPPNMLOLKHLGFAT56CB,一樓平面,1400000,10.02,一樓
RPPNMLTJLHLGFAT96CB,一樓平面,1400000,10.02,一樓
RPRNMLMKJHLGFAT98CB,一樓平面,1400000,22.17,一樓
RPPNMLQLJHLGFDT07DB,一樓平面,1000000,13.75,一樓
RPPNMLOKJHLGFAT98CB,一樓平面,1300000,,一樓
RPPNMLOJLHLGFCT66CB,一樓平面,1200000,14.98,一樓
