編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKJIKGFAT88CC,18,8.51,辦公室,鋼筋混凝土造,96年5月30日,八層,,
RPSNMLSKJIKGFAT17CC,1,42.04,集合住宅,鋼筋混凝土造,114年1月17日,五層,,
RPPNMLOLJIKGFAT56CC,35,18.00,住家用,鋼筋混凝土造,79年8月6日,四層,,
RPUNMLSKJIKGFAT37CC,46,51.03,住家用,加強磚造,68年12月18日,二層,,
RPPNMLLLJIKGFAT88CC,1,34.41,集合住宅,鋼筋混凝土造,114年1月17日,五層,,
RPSNMLSKJIKGFAT17CC,1,14.45,本建物共有部分項目有停車空間、電梯間、梯廳、安全梯、樓梯間,鋼筋混凝土造,114年1月17日,五層,,
RPPNMLMKJIKGFAT88CC,18,7.69,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,
RPPNMLLLJIKGFAT88CC,1,11.72,本建物共有部分項目有停車空間、電梯間、梯廳、安全梯、樓梯間,鋼筋混凝土造,114年1月17日,五層,,
RPQNMLOLJIKGFAT66CC,3,75.48,集合住宅,鋼筋混凝土造,111年12月23日,五層,,
RPPNMLKLJIKGFAT78CC,26,94.05,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPQNMLOLJIKGFAT66CC,3,37.76,停車空間、電信室、公共梯間、樓梯間,鋼筋混凝土造,111年12月23日,五層,,
RPPNMLKLJIKGFAT78CC,26,26.89,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,
RPRNMLKLJIKGFAT98CC,41,93.60,住家用,鋼筋混凝土造,73年11月8日,三層,,
RPQNMLKLJIKGFAT88CC,35,18.00,住家用,鋼筋混凝土造,79年8月6日,四層,,
RPPNMLTKJIKGFAT96CC,30,95.98,住家用,鋼筋混凝土造,84年5月25日,十二層,,
RPSNMLKLJIKGFAT09CC,30,19.41,住家用,鋼筋混凝土造,84年10月6日,十二層,,
RPRNMLOLJIKGFAT76CC,26,36.65,集合住宅,鋼筋混凝土造,89年2月2日,十六層,,
RPPNMLTKJIKGFAT96CC,30,40.50,樓梯間，防空避難室兼停車空間,鋼筋混凝土造,84年5月25日,,,
RPPNMLRKJIKGFAT76CC,25,132.28,住宅、機械房,鋼筋混凝土造,89年12月30日,四層,,
RPSNMLKLJIKGFAT09CC,30,7.40,停車空間，集合住宅，防空避難室,鋼筋混凝土造,84年10月6日,十二層,,
RPPNMLNKJIKGFAT98CC,21,13.22,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPRNMLOLJIKGFAT76CC,26,20.22,停車空間、防空避難室兼停車空間、集合住宅、便利商店、店舖、梯間、機械室、水箱,鋼筋混凝土造,89年2月2日,十六層,,
RPPNMLRKJIKGFAT76CC,25,47.53,停車空間,鋼筋混凝土造,89年12月30日,四層,,
RPPNMLNKJIKGFAT98CC,21,2.38,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLNKJIKGFAT98CC,21,6.83,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPRNMLNKJIKGFAT56CC,44,95.86,住家用,加強磚造,70年9月30日,二層,,
RPRNMLTKJIKGFAT17CC,2,180.48,工場﹝廠﹞,鋼骨造,113年5月3日,一層,,
RPSNMLTKJIKGFAT27CC,21,12.59,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPSNMLTKJIKGFAT27CC,21,2.38,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPSNMLTKJIKGFAT27CC,21,6.73,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLSKJIKGFDT17CC,43,154.13,店鋪　住宅,鋼筋混凝土造,71年9月27日,三層,,
RPQNMLOLJIKGFCT86CC,33,163.53,住宅,鋼筋混凝土構造,81年9月1日,四層,,
RPSNMLQLJIKGFAT07CC,46,81.60,住家用,加強磚造,68年10月29日,二層,,
RPPNMLMKJIKGFCT09CC,31,96.18,住家用,鋼筋混凝土造,83年9月15日,六層,,
RPPNMLMKJIKGFCT09CC,31,37.32,機械室、水箱、梯間、防空避難室、停車空間,鋼筋混凝土造,83年9月15日,六層,,
RPRNMLOLJIKGFCT96CC,21,12.06,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLOLJIKGFCT96CC,21,5.97,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLOLJIKGFCT96CC,21,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPROMLQLJIKGFAT07CC,26,45.81,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPROMLQLJIKGFAT07CC,26,13.44,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,
RPVNMLQLJIKGFAT37CC,36,68.00,住家用,鋼筋混凝土造,79年4月17日,五層,,
RPVNMLQLJIKGFAT37CC,36,24.73,地下室、突出物、梯間,鋼筋混凝土造,79年4月17日,五層,,
RPRNMLQLJIKGFAT96CC,26,47.14,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPRNMLQLJIKGFAT96CC,26,14.40,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,
RPQNMLQLJIKGFAT86CC,18,8.51,辦公室,鋼筋混凝土造,96年5月30日,八層,,
RPQNMLQLJIKGFAT86CC,18,7.62,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,
RPPNMLQLJIKGFAT76CC,41,77.05,集合住宅,鋼筋混凝土造,73年11月20日,五層,,
RPPNMLQLJIKGFAT76CC,41,17.68,共同部份,鋼筋混凝土造,73年11月20日,五層,,
RPWNMLQLJIKGFAT47CC,36,98.83,住家用,鋼筋混凝土造,78年11月24日,五層,,
RPWNMLQLJIKGFAT47CC,36,7.08,住家用,鋼筋混凝土造,78年11月24日,五層,,
RPPNMLPLJIKGFDT96CC,5,59.81,集合住宅,鋼筋混凝土構造,109年7月13日,五層,,
RPPNMLPLJIKGFDT96CC,5,26.29,本共有部分之項目有停車空間、車道、管委會使用空間、台電配電室、配電室、電信室、樓梯間等７項,鋼筋混凝土構造,109年7月13日,五層,,
RPQNMLRLJIKGFAT96CC,18,9.19,辦公室,鋼筋混凝土造,97年3月5日,四層,,
RPUNMLQLJIKGFAT27CC,30,24.90,住家用,鋼筋混凝土造,85年1月10日,四層,,
RPQNMLRLJIKGFAT96CC,18,4.54,辦公室、機電空間、梯廳,鋼筋混凝土造,97年3月5日,四層,,
RPUNMLQLJIKGFAT27CC,30,9.34,住家用,鋼筋混凝土造,85年1月10日,四層,,
RPQOMLQLJIKGFAT96CC,43,72.08,住家用,鋼筋混凝土造,72年3月30日,五層,,
RPQOMLQLJIKGFAT96CC,43,3.74,地下室、樓梯間、走廊,鋼筋混凝土造,72年3月30日,,,
RPPNMLQLJIKGFCT96CC,32,92.85,住家用,鋼筋混凝土造,83年2月7日,九層,,
RPQOMLQLJIKGFAT96CC,43,3.93,地下室，樓梯間，走廊,鋼筋混凝土造,72年3月30日,,,
RPPNMLQLJIKGFCT96CC,32,42.26,地下室兼防空避難室、頂蓋型開放空間、樓梯間、水箱、機械房等公共設施,鋼筋混凝土造,83年2月7日,九層,,
RPTNMLQLJIKGFAT17CC,38,85.26,住家用,加強磚造,77年3月7日,二層,,
RPPNMLOLJIKGFCT76CC,9,19.13,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPPNMLOLJIKGFCT76CC,9,11.34,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPRNMLRLJIKGFAT07CC,44,64.25,公寓,鋼筋混凝土造,70年12月21日,五層,,
RPSNMLOLJIKGFAT86CC,31,101.15,住家用,鋼筋混凝土造,83年12月19日,五層,,
RPSNMLOLJIKGFAT86CC,31,14.54,梯間及停車空間,鋼筋混凝土造,83年12月19日,五層,,
RPPNMLRLJIKGFAT86CC,21,12.57,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLRLJIKGFAT86CC,21,7.13,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLRLJIKGFAT86CC,21,3.39,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLRLJIKGFAT86CC,21,7.59,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLRLJIKGFAT86CC,21,6.29,機械房,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLRLJIKGFAT86CC,21,6.29,機械房,鋼筋混凝土造,93年6月30日,六層,,
RPPOMLQLJIKGFAT86CC,44,64.61,公寓,鋼筋混凝土造,70年12月30日,五層,,
RPPOMLQLJIKGFAT86CC,44,13.53,樓梯，走廊，地下室,鋼筋混凝土造,70年12月30日,五層,,
RPQNMLQLJIKGFCT07CC,31,97.92,住家用,鋼筋混凝土造,84年1月4日,十一層,,
RPQNMLQLJIKGFCT07CC,31,26.64,防空避難室、停車空間、梯間,鋼筋混凝土造,84年1月4日,十一層,,
RPPNMLLJKIKGFCT98CC,18,163.85,住家用,鋼筋混凝土造,96年9月12日,三層,,
RPPNMLKLJIKGFCT98CC,32,63.10,住家用,鋼筋混凝土造,83年1月20日,八層,,
RPPNMLKLJIKGFCT98CC,32,35.02,地下室梯間水箱機械室,鋼筋混凝土造,83年1月20日,八層,,
RPPNMLMJKIKGFCT09CC,2,69.32,集合住宅,鋼筋混凝土造,112年11月1日,七層,,
